date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,SOFI,USD,0001818874,2026-02-17,2026-02-17 16:06:47,2025,FY,4929452000,0,4929452000,0,0,427321000,5356773000,510389000,1393505000,610097000,2003602000,25387422000,0,17402292000,45303705000,0,50660478000,0,0,0,0,0,0,1815682000,0,0,38355301000,40170983000,0,0,40170983000,0,126000,-824278000,10979000,11302668000,10489495000,10489495000,50660478000,0,50660478000,25387422000,1815682000,-3113770000,https://www.sec.gov/Archives/edgar/data/1818874/000181887426000013/0001818874-26-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1818874/000181887426000013/sofi-20251231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,SOFI,USD,0001818874,2025-02-24,2025-02-24 16:09:10,2024,FY,2538293000,1804043000,4342336000,587496000,0,276931000,5206763000,369088000,1393505000,639922000,2033427000,28031784000,267220000,342669000,31044188000,0,36250951000,132784000,486000000,0,0,26243520000,26862304000,2718210000,7474000,20164000,117665000,2863513000,0,110909000,29725817000,0,109000,-1305598000,-8365000,7838988000,6525134000,6525134000,36250951000,0,36250951000,29835827000,3204210000,665917000,https://www.sec.gov/Archives/edgar/data/1818874/000181887425000016/0001818874-25-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1818874/000181887425000016/sofi-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,SOFI,USD,0001818874,2024-02-27,2024-02-27 17:14:38,2023,FY,3085020000,500942000,3585962000,169852000,0,112748000,3868562000,306543000,1393505000,544517000,1938022000,23292447000,0,669284000,26206296000,0,30074858000,159915000,486000000,0,0,18822922000,19468837000,4876633000,5718000,40229000,128455000,5051035000,0,121821000,24519872000,320374000,97000,-1804263000,-1209000,7039987000,5554986000,5554986000,30074858000,0,30074858000,23793389000,5362633000,2277613000,https://www.sec.gov/Archives/edgar/data/1818874/000181887424000026/0001818874-24-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1818874/000181887424000026/sofi-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,SOFI,USD,0001818874,2023-03-01,2023-03-01 17:06:13,2022,FY,1421907000,39432000,1461339000,127050000,0,73429000,1661818000,267239000,1622991000,592009000,2215000000,14279803000,0,583815000,17345857000,0,19007675000,144575000,486000000,0,0,7488267000,8118842000,5148371000,10028000,56482000,145476000,5360357000,0,131441000,13479199000,320374000,93000,-1503521000,-8296000,6719826000,5528476000,5528476000,19007675000,0,19007675000,14319235000,5634371000,4212464000,https://www.sec.gov/Archives/edgar/data/1818874/000181887423000018/0001818874-23-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1818874/000181887423000018/sofi-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,SOFI,USD,0001818874,2022-03-01,2022-03-01 17:03:20,2021,FY,494711000,194907000,689618000,85523000,0,57903000,833044000,227064000,898527000,452838000,1351365000,6484702000,0,280151000,8343282000,0,9176326000,158063000,497810000,0,0,94199000,750072000,3696823000,2553000,1787000,27388000,3728551000,0,152968000,4478623000,320374000,83000,-1183114000,-1471000,5561831000,4697703000,4697703000,9176326000,0,9176326000,6679609000,4194633000,3699922000,https://www.sec.gov/Archives/edgar/data/1818874/000181887422000031/0001818874-22-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1818874/000181887422000031/sofi-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,SOFI,USD,0001818874,2026-02-17,2026-02-17 16:06:47,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1818874/000181887426000013/0001818874-26-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1818874/000181887426000013/sofi-20251231.htm,income_statement,4769597000,1491481000,3278116000,0.6872941257,648332000,704436000,1095412000,1799848000,-852164000,1596016000,3087497000,0,1156243000,234151000,1916251000,0.401763713,1682100000,0.3526713054,-1156243000,525857000,0.1102518724,44537000,481320000,0.1009141863,0.42,0.39,1150140000,1251767000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,SOFI,USD,0001818874,2025-02-24,2025-02-24 16:09:10,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1818874/000181887425000016/0001818874-25-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1818874/000181887425000016/sofi-20241231.htm,income_statement,3703678000,1123048000,2580630000,0.6967749356,0,600089000,796293000,1396382000,950903000,2347285000,3470333000,2807817000,1091336000,203498000,436843000,0.1179484286,233345000,0.0630035872,0,233345000,0.0630035872,-265320000,498665000,0.1346404844,0.46,0.39,1050219000,1101390000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,SOFI,USD,0001818874,2024-02-27,2024-02-27 17:14:38,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1818874/000181887424000026/0001818874-24-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1818874/000181887424000026/sofi-20231231.htm,income_statement,2897542000,844272000,2053270000,0.7086247585,0,511011000,719400000,1230411000,1124017000,2354428000,3198700000,2051067000,789327000,201416000,-99742000,-0.0344229695,-301158000,-0.1039356807,0,-301158000,-0.1039356807,-416000,-300742000,-0.1037921107,-0.36,-0.36,945024160,945024160,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,SOFI,USD,0001818874,2023-03-01,2023-03-01 17:06:13,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1818874/000181887423000018/0001818874-23-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1818874/000181887423000018/sofi-20221231.htm,income_statement,1762810000,243607000,1519203000,0.8618075686,0,501618000,617823000,1119441000,718483000,1837924000,2081531000,773371000,189275000,151360000,-167361000,-0.0949398971,-318721000,-0.1808028092,0,-318721000,-0.1808028092,1686000,-320407000,-0.1817592367,-0.4,-0.4,900886113,900886113,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,SOFI,USD,0001818874,2022-03-01,2022-03-01 17:03:20,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1818874/000181887422000031/0001818874-22-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1818874/000181887422000031/sofi-20211231.htm,income_statement,1087648000,110349000,977299000,0.8985434626,0,498534000,426875000,925409000,533067000,1458476000,1568825000,355020000,102776000,101568000,-379609000,-0.3490182486,-481177000,-0.4424014019,0,-481177000,-0.4424014019,2760000,-483937000,-0.4449389876,-1,-1,526730261,526730261,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,SOFI,USD,0001818874,2026-02-17,2026-02-17 16:06:47,2025,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1818874/000181887426000013/0001818874-26-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1818874/000181887426000013/sofi-20251231.htm,cash_flow,,,,,,,,,,,,,,234151000,,,,,,,,,481320000,,,,,,16188000,262058000,0,0,0,0,-4736175000,-3742458000,-242444000,0,-3734829000,1464144000,-4205978000,-6719107000,0,0,0,0,0,0,0,-2709360000,0,0,-3742458000,-242444000,-3984902000
