date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,ALK,USD,0000766421,2026-01-22,2026-01-22 17:15:14,2025,FY,627000000,1496000000,2123000000,565000000,203000000,375000000,3266000000,11857000000,2723000000,815000000,3538000000,0,0,1700000000,17095000000,0,20361000000,324000000,918000000,0,1722000000,3625000000,6589000000,5975000000,1711000000,1004000000,964000000,9654000000,0,1338000000,16243000000,0,1000000,5030000000,-173000000,-740000000,4118000000,4118000000,20361000000,0,20361000000,1496000000,6893000000,6266000000,https://www.sec.gov/Archives/edgar/data/766421/000076642126000007/0000766421-26-000007-index.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642126000007/ex9911222026earningsrelease.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,ALK,USD,0000766421,2025-02-14,2025-02-14 16:06:31,2024,FY,1201000000,1274000000,2475000000,558000000,199000000,528000000,3760000000,12077000000,2721000000,873000000,3594000000,0,90000000,247000000,16008000000,0,19768000000,186000000,657000000,0,3304000000,1998000000,6145000000,5736000000,1664000000,934000000,917000000,9251000000,0,1460000000,15396000000,0,1000000,4930000000,-239000000,-320000000,4372000000,4372000000,19768000000,0,19768000000,1274000000,6393000000,5192000000,https://www.sec.gov/Archives/edgar/data/766421/000076642125000009/0000766421-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642125000009/alk-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,ALK,USD,0000766421,2024-02-14,2024-02-14 16:02:52,2023,FY,281000000,1510000000,1791000000,383000000,116000000,415000000,2705000000,9583000000,2033000000,0,2033000000,30000000,1221000000,262000000,13129000000,0,15834000000,207000000,511000000,0,2357000000,1384000000,4459000000,3307000000,1382000000,1916000000,657000000,7262000000,0,1125000000,11721000000,0,1000000,4535000000,-299000000,-124000000,4113000000,4113000000,15834000000,0,15834000000,1540000000,3818000000,3537000000,https://www.sec.gov/Archives/edgar/data/766421/000076642124000012/0000766421-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642124000012/alk-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,ALK,USD,0000766421,2023-02-13,2023-02-13 17:15:47,2022,FY,338000000,2079000000,2417000000,296000000,104000000,223000000,3040000000,8728000000,2038000000,0,2038000000,49000000,1160000000,331000000,12306000000,0,15346000000,221000000,504000000,0,2303000000,1465000000,4493000000,3276000000,1374000000,1734000000,653000000,7037000000,0,1393000000,11530000000,0,1000000,4300000000,-388000000,-97000000,3816000000,3816000000,15346000000,0,15346000000,2128000000,3780000000,3442000000,https://www.sec.gov/Archives/edgar/data/766421/000076642123000009/0000766421-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642123000009/alk-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,ALK,USD,0000766421,2022-02-11,2022-02-11 16:01:50,2021,FY,470000000,2646000000,3116000000,546000000,62000000,196000000,3920000000,7591000000,2044000000,0,2044000000,34000000,1013000000,362000000,11044000000,0,14964000000,200000000,634000000,0,2075000000,1082000000,3991000000,3452000000,1446000000,1591000000,683000000,7172000000,0,1279000000,11163000000,0,1000000,4242000000,-262000000,-180000000,3801000000,3801000000,14964000000,0,14964000000,2680000000,4086000000,3616000000,https://www.sec.gov/Archives/edgar/data/766421/000076642122000009/0000766421-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642122000009/alk-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,ALK,USD,0000766421,2026-01-22,2026-01-22 17:15:14,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/766421/000076642126000007/0000766421-26-000007-index.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642126000007/ex9911222026earningsrelease.htm,income_statement,14239000000,5744000000,8495000000,0.5966008849,0,0,407000000,407000000,7785000000,8192000000,13936000000,94000000,243000000,795000000,1294000000,0.0908771683,303000000,0.0212795842,-157000000,146000000,0.010253529,46000000,100000000,0.0070229651,0.91,0.87,115533000,117356000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,ALK,USD,0000766421,2025-02-14,2025-02-14 16:06:31,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/766421/000076642125000009/0000766421-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642125000009/alk-20241231.htm,income_statement,11735000000,8874000000,2861000000,0.2438005965,0,0,349000000,349000000,1942000000,2291000000,11165000000,101000000,142000000,536000000,1425000000,0.1214316148,570000000,0.0485726459,-25000000,545000000,0.0464422667,150000000,395000000,0.0336599915,3.13,3.08,126136000,128372000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,ALK,USD,0000766421,2024-02-14,2024-02-14 16:02:52,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/766421/000076642124000012/0000766421-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642124000012/alk-20231231.htm,income_statement,10426000000,7963000000,2463000000,0.2362363322,0,0,303000000,303000000,1766000000,2069000000,10032000000,80000000,121000000,426000000,1244000000,0.1193170919,394000000,0.03779014,-71000000,323000000,0.0309802417,88000000,235000000,0.0225398043,1.84,1.83,127375000,128708000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,ALK,USD,0000766421,2023-02-13,2023-02-13 17:15:47,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/766421/000076642123000009/0000766421-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642123000009/alk-20221231.htm,income_statement,9646000000,7513000000,2133000000,0.2211279287,0,0,295000000,295000000,1768000000,2063000000,9576000000,53000000,94000000,398000000,1104000000,0.1144515861,70000000,0.007256894,9000000,79000000,0.0081899233,21000000,58000000,0.0060128551,0.46,0.45,126657000,127899000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,ALK,USD,0000766421,2022-02-11,2022-02-11 16:01:50,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/766421/000076642122000009/0000766421-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642122000009/alk-20211231.htm,income_statement,6176000000,5359000000,817000000,0.1322862694,0,0,173000000,173000000,-41000000,132000000,5491000000,25000000,117000000,394000000,137000000,0.0221826425,685000000,0.1109132124,-56000000,629000000,0.1018458549,151000000,478000000,0.0773963731,3.82,3.77,125063000,126775000,,,,,,,,,,,,,,,,,,,,,,,,,,,
