date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,AS,USD,0001988894,2025-03-07,2025-03-07 16:20:52,2024,FY,345400000,0,345400000,746700000,1223300000,83900000,2399300000,1073800000,2127700000,2590100000,4717800000,16800000,67600000,61000000,5937000000,0,8336300000,549000000,253400000,84700000,0,667300000,1554400000,1229800000,0,487400000,56300000,1773500000,0,555900000,3327900000,0,18400000,-984900000,2776700000,3189100000,4999300000,5008400000,8336300000,9100000,8336300000,16800000,1483200000,1137800000,https://www.sec.gov/Archives/edgar/data/1988894/000162828025011314/0001628280-25-011314-index.htm,https://www.sec.gov/Archives/edgar/data/1988894/000162828025011314/as-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,AS,USD,0001988894,2024-03-18,2024-03-18 16:16:05,2023,FY,483400000,0,483400000,717000000,1099600000,51700000,2351700000,719000000,2270000000,2748700000,5018700000,9200000,161700000,113500000,6022100000,0,8373800000,426500000,470400000,72059023,50700000,554240977,1573900000,6190800000,0,675000000,90900000,6956700000,0,339800000,8530600000,0,642200000,-1057500000,255100000,0,-160200000,-156800000,8373800000,3400000,8373800000,9200000,6661200000,6177800000,https://www.sec.gov/Archives/edgar/data/1988894/000110465924035553/0001104659-24-035553-index.htm,https://www.sec.gov/Archives/edgar/data/1988894/000110465924035553/as-20231231x20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,AS,USD,0001988894,2022-12-31,2022-12-30 19:00:00,2022,FY,402000000,0,402000000,757900000,855001171,157798829,2172700000,511126727,2242400000,2756000000,4998400000,8339189,101850550,-257898711,5361817755,0,7397610681,435600000,271800000,38416490,45900000,487683510,1279400000,5964200000,124619350,655300000,70100000,6689600000,0,196500000,7466854064,0,601733427,-805621925,134645115,0,-69243382,-69243382,7397610681,0,7397610681,8339189,6236000000,5834000000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AS,USD,0001988894,2021-12-31,2021-12-30 19:00:00,2021,FY,566700000,0,566700000,629700000,512486809,183413191,1892300000,510464298,2480300000,2870400000,5350700000,263805,89342244,-623826978,5326943369,0,6990942666,320200000,101300000,36141399,53000000,436558601,947200000,6194200000,0,678300000,92400000,6964900000,0,224700000,6957527259,0,563137530,-524270137,-5451987,0,33415406,33415406,6990942666,0,6990942666,263805,6295500000,5728800000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,AS,USD,0001988894,2020-12-31,2020-12-30 19:00:00,2020,FY,389500000,0,389500000,602900000,569500000,593700000,2155600000,653600000,2561200000,3083300000,5644500000,400000,154900000,13500000,6466900000,0,8622500000,293000000,264200000,78900000,38200000,485600000,1159900000,6721300000,0,0,894200000,7615500000,0,261000000,8775400000,0,640400000,-469900000,-323400000,0,-152900000,-152900000,8622500000,0,8622500000,400000,6985500000,6596000000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,AS,USD,0001988894,2025-03-07,2025-03-07 16:20:52,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1988894/000162828025011314/0001628280-25-011314-index.htm,https://www.sec.gov/Archives/edgar/data/1988894/000162828025011314/as-20241231.htm,income_statement,5183300000,2311500000,2871800000,0.5540485791,0,0,0,2430400000,-29400000,2401000000,4712500000,8800000,230800000,273800000,653800000,0.1261358594,470800000,0.0908301661,-309600000,161200000,0.0310998785,82800000,72600000,0.0140065209,0.15,0.14,498029000,501745000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,AS,USD,0001988894,2024-03-18,2024-03-18 16:16:05,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1988894/000110465924035553/0001104659-24-035553-index.htm,https://www.sec.gov/Archives/edgar/data/1988894/000110465924035553/as-20231231x20f.htm,income_statement,4400400000,2092300000,2308100000,0.5245204981,0,0,0,2014500000,-8900000,2005600000,4097900000,2400000,401700000,220900000,518000000,0.1177165712,302500000,0.0687437506,-407100000,-104600000,-0.0237705663,104200000,-208600000,-0.0474047814,-0.43,-0.43,489499607,489499607,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,AS,USD,0001988894,2022-12-31,2022-12-30 19:00:00,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,3571200000,1785200000,1786000000,0.5001120072,0,0,0,1545000000,190400000,1735400000,3520600000,3100000,248900000,197000000,258300000,0.072328629,50600000,0.0141689068,-233200000,-182600000,-0.0511312724,48300000,-252700000,-0.0707605287,-0.52,-0.52,489499607,489499607,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AS,USD,0001988894,2021-12-31,2021-12-30 19:00:00,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,3066500000,1560900000,1505600000,0.4909832056,0,0,0,1327000000,-8300000,1318700000,2879600000,1600000,278600000,206100000,381600000,0.1244415457,186900000,0.0609489646,-276700000,-89800000,-0.0292842002,34700000,-126300000,-0.041187021,-0.26,-0.26,489499607,489499607,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,AS,USD,0001988894,2020-12-31,2020-12-30 19:00:00,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,2446300000,1297400000,1148900000,0.4696480399,0,0,0,1010500000,13300000,1023800000,2321200000,1000000,272400000,230100000,342700000,0.1400891142,125100000,0.051138454,-272500000,-147400000,-0.0602542615,26200000,-237200000,-0.0969627601,-0.48,-0.48,489499607,489499607,,,,,,,,,,,,,,,,,,,,,,,,,,,
