date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,B,USD,0000009984,2025-12-31,2025-12-31 00:00:00,2025,FY,6693796000,0,6693796000,1120956000,2064237000,319418000,10217000000,29354000000,3034000000,148000000,3182000000,4216000000,0,4608000000,41360000000,0,51577000000,644824000,55898000,0,0,2789913000,3497000000,4685457000,0,3976750000,3479656000,12164000000,0,46914000,15661000000,0,26834000000,-1170000000,-234572000,1125947000,26557000000,35916000000,51577000000,9359000000,51577000000,4216000000,4741356000,-1952440000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,B,USD,0000009984,2024-12-31,2024-12-31 00:00:00,2024,FY,4074000000,0,4074000000,1363000000,1942000000,253000000,7632000000,28641000000,3097000000,66000000,3163000000,4154000000,0,4036000000,39994000000,0,47626000000,655000000,84000000,545000000,0,1358000000,2642000000,5172000000,30000000,3887000000,2639000000,11728000000,0,59000000,14370000000,0,27661000000,-5269000000,33000000,1865000000,24290000000,33256000000,47626000000,8966000000,47626000000,4154000000,5256000000,1182000000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,B,USD,0000009984,2024-02-26,2024-02-26 16:47:29,2023,FY,4148000000,0,4148000000,1178000000,1782000000,330000000,7438000000,26498000000,3581000000,67000000,3648000000,4264000000,0,3963000000,38373000000,0,45811000000,678000000,43000000,49138000,0,1585862000,2356000000,5180000000,36000000,3439000000,2798000000,11453000000,0,56000000,13809000000,0,28117000000,-6713000000,24000000,1875000000,23341000000,32002000000,45811000000,8661000000,45811000000,4264000000,5223000000,1075000000,https://www.sec.gov/Archives/edgar/data/9984/000000998424000051/0000009984-24-000051-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998424000051/b-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,B,USD,0000009984,2023-02-21,2023-02-21 16:47:06,2022,FY,4440000000,0,4440000000,906000000,1781000000,1338000000,8465000000,25903000000,3581000000,67000000,3648000000,4095000000,19000000,3835000000,37500000000,0,45965000000,741000000,45000000,29201000,54000000,2250799000,3120000000,5205000000,0,3247000000,3104000000,11556000000,0,70000000,14676000000,0,28114000000,-7282000000,26000000,1913000000,22771000000,31289000000,45965000000,8518000000,45965000000,4095000000,5250000000,810000000,https://www.sec.gov/Archives/edgar/data/9984/000000998423000060/0000009984-23-000060-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998423000060/b-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,B,USD,0000009984,2022-02-22,2022-02-22 12:51:32,2021,FY,5280000000,0,5280000000,942000000,1734000000,293000000,8249000000,25036000000,4769000000,68000000,4837000000,5008000000,29000000,3731000000,38641000000,0,46890000000,539000000,24000000,37908000,43000000,1442092000,2086000000,5449000000,592000000,3293000000,3163000000,12497000000,0,68000000,14583000000,0,28497000000,-6566000000,-23000000,1949000000,23857000000,32307000000,46890000000,8450000000,46890000000,5008000000,5473000000,193000000,https://www.sec.gov/Archives/edgar/data/9984/000000998422000047/0000009984-22-000047-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998422000047/b-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,B,USD,0000009984,2025-12-31,2025-12-31 00:00:00,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,16956000000,8265000000,8691000000,0.512561925,0,222000000,367000000,589000000,0,589000000,8854000000,270656471,371389519,1939366000,10509000000,0.6197806086,8102000000,0.4778249587,703000000,8805000000,0.5192852088,1651000000,4993000000,0.2944680349,2.93,2.93,1704096000,1704096000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,B,USD,0000009984,2024-12-31,2024-12-31 00:00:00,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,12922000000,7961000000,4961000000,0.383918898,0,115000000,0,115000000,661000000,777000000,8738000000,283691918,407450138,1915000000,6946000000,0.5375328896,4184000000,0.3237888872,424000000,4608000000,0.3566011453,1520000000,2144000000,0.1659185885,1.22,1.22,1751000000,1751000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,B,USD,0000009984,2024-02-26,2024-02-26 16:47:29,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/9984/000000998424000051/0000009984-24-000051-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998424000051/b-20231231.htm,income_statement,11397000000,7932000000,3465000000,0.3040273756,10000000,126000000,0,126000000,519000000,655000000,8587000000,295318256,360491940,2043000000,5207000000,0.4568746161,2810000000,0.2465561113,4000000,2814000000,0.2469070808,861000000,1272000000,0.111608318,0.72,0.72,1755000000,1755000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,B,USD,0000009984,2023-02-21,2023-02-21 16:47:06,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/9984/000000998423000060/0000009984-23-000060-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998423000060/b-20221231.htm,income_statement,11013000000,7497000000,3516000000,0.3192590575,15000000,159000000,0,159000000,318000000,492000000,7989000000,90275467,332290552,1997000000,4019000000,0.3649323527,3024000000,0.2745845819,-1343000000,1681000000,0.1526377917,664000000,432000000,0.0392263688,8.49,8.46,1731020886,1735998520,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,B,USD,0000009984,2022-02-22,2022-02-22 12:51:32,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/9984/000000998422000047/0000009984-22-000047-index.htm,https://www.sec.gov/Archives/edgar/data/9984/000000998422000047/b-20211231.htm,income_statement,11985000000,7089000000,4896000000,0.4085106383,16000000,151000000,0,151000000,388000000,555000000,7644000000,56498457,350885158,2102000000,7080000000,0.590738423,4341000000,0.3622027534,291000000,4632000000,0.3864831039,1344000000,2022000000,0.1687108886,39.67,39.56,1733165028,1737868928,,,,,,,,,,,,,,,,,,,,,,,,,,,
