date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,BILI,CNY,0001723690,2025-03-25,2025-03-25 06:07:33,2024,FY,10249382000,6433571000,16682953000,1226875000,294769000,1551458000,19756055000,589227000,2725130000,3201012000,5926142000,3911592000,0,2515484000,12942445000,0,32698500000,4805965000,1786460000,428932000,0,7741446000,14762803000,3360568000,0,0,471216000,3831784000,0,311039000,18594587000,0,268000,-27612817000,266816000,41454130000,14108397000,14103913000,32698500000,-4484000,32698500000,10345163000,5147028000,-5102354000,https://www.sec.gov/Archives/edgar/data/1723690/000119312525061847/0001193125-25-061847-index.htm,https://www.sec.gov/Archives/edgar/data/1723690/000119312525061847/d930276d20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,BILI,CNY,0001723690,2024-03-27,2024-03-27 06:05:48,2023,FY,7191821000,7925180000,15117001000,1573900000,240995000,1795143000,18727039000,714734000,2725130000,3627533000,6352663000,4366632000,0,2997999000,14432028000,0,33159067000,4333730000,7644257000,345250000,0,5780458000,18103695000,646000,0,0,650459000,651105000,0,188504000,18754800000,0,265000,-26266017000,212476999,40445175000,14391900000,14404267000,33159067000,12367000,33159067000,12291812000,7644903000,453082000,https://www.sec.gov/Archives/edgar/data/1723690/000119312524078124/0001193125-24-078124-index.htm,https://www.sec.gov/Archives/edgar/data/1723690/000119312524078124/d646539d20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,BILI,CNY,0001723690,2023-04-27,2023-04-27 06:13:56,2022,FY,10172584000,9422885000,19595469000,1328584000,514049000,3014786000,24452888000,1227163000,2725130000,4326790000,7051920000,5651018000,0,3447581000,17377682000,0,41830570000,4291656000,6860073000,316244000,0,5625431000,17093404000,8683150000,0,0,814429000,9497579000,0,238687000,26590983000,0,253000,-21443696000,58110000,36623161000,15237828000,15239587000,41830570000,1759000,41830570000,15073903000,15543223000,5370639000,https://www.sec.gov/Archives/edgar/data/1723690/000119312523119748/0001193125-23-119748-index.htm,https://www.sec.gov/Archives/edgar/data/1723690/000119312523119748/d432541d20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,BILI,CNY,0001723690,2022-04-25,2022-04-25 06:24:05,2021,FY,7523108000,22799611000,30322719000,1382328000,550513000,4191296000,36446856000,1350256000,2338303000,3835600000,6173903000,5502524000,0,2579612000,15606295000,0,52053151000,4360906000,1438864000,203770000,0,6067471000,12071011000,17784092000,0,0,481982000,18266074000,0,206758000,30337085000,0,251000,-13946683000,-279862000,35929961000,21703667000,21716066000,52053151000,12399000,52053151000,28302135000,19222956000,11699848000,https://www.sec.gov/Archives/edgar/data/1723690/000119312522116261/0001193125-22-116261-index.htm,https://www.sec.gov/Archives/edgar/data/1723690/000119312522116261/d648072d20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,BILI,CNY,0001723690,2021-03-05,2021-03-05 16:19:45,2020,FY,4678109000,8128939000,12807048000,1053641000,179976000,1698882000,15739547000,761941000,1295786000,2356959000,3652745000,2232938000,0,1478437000,8126061000,0,23865608000,3074298000,250402000,127192000,0,3939656000,7391548000,8340922000,0,0,350934000,8691856000,0,150402000,16083404000,0,224000,-7157455000,141129000,14616302000,7600200000,7782204000,23865608000,182004000,23865608000,10361877000,8591324000,3913215000,https://www.sec.gov/Archives/edgar/data/1723690/000119312521071497/0001193125-21-071497-index.htm,https://www.sec.gov/Archives/edgar/data/1723690/000119312521071497/d28513d20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,BILI,CNY,0001723690,2025-03-25,2025-03-25 06:07:33,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1723690/000119312525061847/0001193125-25-061847-index.htm,https://www.sec.gov/Archives/edgar/data/1723690/000119312525061847/d930276d20f.htm,income_statement,26831525000,18057562000,8773963000,0.3270020247,3685214000,2031063000,4401655000,6432718000,0,10117932000,28175494000,434980000,89193000,2501165000,1190163000,0.0443568899,-1343969000,-0.0500891768,-56226000,-1400195000,-0.0521846969,-36544000,-1346800000,-0.050194687,-3.23,-3.23,416470000,416470000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,BILI,CNY,0001723690,2024-03-27,2024-03-27 06:05:48,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1723690/000119312524078124/0001193125-24-078124-index.htm,https://www.sec.gov/Archives/edgar/data/1723690/000119312524078124/d646539d20f.htm,income_statement,22527987000,17086122000,5441865000,0.241560198,4467470000,2122432000,3916150000,6038582000,0,10506052000,27592174000,542472000,164927000,2899686000,-1668395000,-0.0740587697,-5064187000,-0.2247953623,331179000,-4733008000,-0.2100945815,78705000,-4822321000,-0.2140591168,-11.67,-11.67,413210271,413210271,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,BILI,CNY,0001723690,2023-04-27,2023-04-27 06:13:56,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1723690/000119312523119748/0001193125-23-119748-index.htm,https://www.sec.gov/Archives/edgar/data/1723690/000119312523119748/d432541d20f.htm,income_statement,21899167000,18049872000,3849295000,0.1757735808,4765360000,2521134000,4920745000,7441879000,0,12207239000,30257111000,281051000,250923000,3566072000,-3586513000,-0.1637739463,-8357944000,-0.3816557954,954436000,-7403508000,-0.3380725851,104145000,-7507653000,-0.3428282455,-21.71,-21.71,345816023,345816023,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,BILI,CNY,0001723690,2022-04-25,2022-04-25 06:24:05,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1723690/000119312522116261/0001193125-22-116261-index.htm,https://www.sec.gov/Archives/edgar/data/1723690/000119312522116261/d648072d20f.htm,income_statement,19383684000,15340537000,4043147000,0.2085850657,2839862000,1837506000,5794853000,7632359000,0,10472221000,25812758000,70367000,155467000,2603700000,-3954283000,-0.2040005914,-6429074000,-0.3316745155,-284376000,-6713450000,-0.3463454109,95289000,-6808739000,-0.3512613495,-17.92,-17.92,379898121,379898121,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,BILI,CNY,0001723690,2021-03-05,2021-03-05 16:19:45,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1723690/000119312521071497/0001193125-21-071497-index.htm,https://www.sec.gov/Archives/edgar/data/1723690/000119312521071497/d28513d20f.htm,income_statement,11998976000,9158800000,2840176000,0.2367015319,1512966000,976082000,3492091000,4468173000,0,5981139000,15139939000,83301000,108547000,1817876000,-1074225000,-0.0895263896,-3140963000,-0.2617692543,140315000,-3000648000,-0.2500753398,53369000,-3011704000,-0.2509967517,-8.71,-8.71,345775470,345816023,,,,,,,,,,,,,,,,,,,,,,,,,,,
