date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-06-30,BILL,USD,0001786352,2025-08-28,2025-08-28 16:08:40,2025,FY,1139966000,1180110000,2320076000,717449000,0,4201268000,7238793000,172697000,2396509000,222805000,2619314000,4885000,0,28293000,2825189000,0,10063982000,16293000,213426000,0,22435000,4336506000,4588660000,1559416000,285000,0,1581000,1561282000,0,58372000,6149942000,0,2000,-1510804000,10197000,5414645000,3914040000,3914040000,10063982000,0,10063982000,1184995000,1772842000,632876000,https://www.sec.gov/Archives/edgar/data/1786352/000178635225000037/0001786352-25-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000178635225000037/bill-20250630.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,BILL,USD,0001786352,2024-08-23,2024-08-23 16:06:07,2024,FY,985941000,601535000,1587476000,725265000,0,4002076000,6314817000,147448000,2396509000,281471000,2677980000,0,0,38568000,2863996000,0,9178813000,7447000,0,0,3721913000,333664000,4063024000,976847000,4167000,0,574000,981588000,0,62847000,5044612000,0,2000,-1096948000,-1890000,5233037000,4134201000,4134201000,9178813000,0,9178813000,601535000,976847000,-9094000,https://www.sec.gov/Archives/edgar/data/1786352/000178635224000035/0001786352-24-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000178635224000035/bill-20240630.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,BILL,USD,0001786352,2023-08-29,2023-08-29 16:05:26,2023,FY,1617151000,1043110000,2660261000,486883000,3355909000,170111000,6673164000,150552000,2396509000,361427000,2757936000,0,-13810000,68176000,2962854000,0,9636018000,8519000,135046000,0,3382237000,227634000,3753436000,1777259000,410000,0,18944000,1796613000,0,72477000,5550049000,0,2000,-856168000,-4488000,4946623000,4085969000,4085969000,9636018000,0,9636018000,1043110000,1912305000,295154000,https://www.sec.gov/Archives/edgar/data/1786352/000178635223000054/0001786352-23-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000178635223000054/bill-20230630.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,BILL,USD,0001786352,2022-08-22,2022-08-22 16:10:04,2022,FY,1596542000,1108493000,2705035000,280437000,3142660000,151258000,6279390000,133430000,2362893000,432583000,2795476000,0,-6724000,54454000,2976636000,0,9256026000,9948000,75097000,0,3174528000,149084000,3408657000,1780713000,2159000,0,20803000,1803675000,0,82728000,5212332000,0,2000,-544828000,-10217000,4598737000,4043694000,4043694000,9256026000,0,9256026000,1108493000,1855810000,259268000,https://www.sec.gov/Archives/edgar/data/1786352/000178635222000017/0001786352-22-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000178635222000017/bill-20220630.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,BILL,USD,0001786352,2021-08-30,2021-08-30 16:55:08,2021,FY,509615000,655314000,1164929000,165315000,0,2275793000,3606037000,120827000,1772043000,417341000,2189384000,0,9090000,43835000,2363136000,0,5969173000,11904000,0,0,2221446000,92309000,2325659000,1076020000,2926000,9090000,25888000,1113924000,0,86639000,3439583000,0,2000,-247467000,-100000,2777155000,2529590000,2529590000,5969173000,0,5969173000,655314000,1076020000,566405000,https://www.sec.gov/Archives/edgar/data/1786352/000156459021046383/0001564590-21-046383-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000156459021046383/bill-10k_20210630.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,BILL,USD,0001786352,2025-08-28,2025-08-28 16:08:40,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1786352/000178635225000037/0001786352-25-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000178635225000037/bill-20250630.htm,income_statement,1462570000,272103000,1190467000,0.8139555714,340059000,281913000,543711000,825624000,105386000,1271069000,1543172000,90903000,18563000,89443000,138416000,0.0946388891,-80602000,-0.0551098409,111012000,30410000,0.0207921672,6611000,23799000,0.0162720417,0.23,0.23,103568000,103912000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,BILL,USD,0001786352,2024-08-23,2024-08-23 16:06:07,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1786352/000178635224000035/0001786352-24-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000178635224000035/bill-20240630.htm,income_statement,1290172000,234616000,1055556000,0.8181513783,336754000,277662000,478540000,756202000,136764000,1229720000,1464336000,122298000,19182000,103163000,96026000,0.0744288358,-174164000,-0.1349928537,147845000,-26319000,-0.0203996056,2559000,-28878000,-0.0223830621,-0.27,-0.27,106102000,106102000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,BILL,USD,0001786352,2023-08-29,2023-08-29 16:05:26,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1786352/000178635223000054/0001786352-23-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000178635223000054/bill-20230630.htm,income_statement,1058468000,193977000,864491000,0.8167379647,314632000,411699000,385437000,797136000,48496000,1160264000,1354241000,91279000,15203000,105171000,-102543000,-0.0968786964,-295773000,-0.2794349947,72856000,-222917000,-0.2106034382,808000,-223725000,-0.2113668056,-2.11,-2.11,105976000,105976000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,BILL,USD,0001786352,2022-08-22,2022-08-22 16:10:04,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1786352/000178635222000017/0001786352-22-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000178635222000017/bill-20220630.htm,income_statement,641959000,145004000,496955000,0.7741226465,219818000,241174000,307151000,548325000,45630000,813773000,958777000,6691000,9419000,96105000,-225155000,-0.3507311215,-316818000,-0.4935174988,-13861000,-330679000,-0.5151092204,-4318000,-326361000,-0.5083829341,-3.21,-3.21,101753000,101753000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,BILL,USD,0001786352,2021-08-30,2021-08-30 16:55:08,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1786352/000156459021046383/0001564590-21-046383-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000156459021046383/bill-10k_20210630.htm,income_statement,238265000,61806000,176459000,0.7405997524,89503000,128116000,67935000,196051000,4872000,290426000,352232000,2992000,28158000,11009000,-100170000,-0.4204142446,-113967000,-0.4783203576,-25370000,-139337000,-0.5847984387,-40617000,-98720000,-0.4143285837,-1.19,-1.19,82813000,82813000,,,,,,,,,,,,,,,,,,,,,,,,,,,
