date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,BVN,USD,0001013131,2025-04-30,2025-04-30 17:27:03,2024,FY,478435000,0,478435000,260859000,79594000,19474000,838362000,1889785000,34023000,24812000,58835000,1548392000,91677000,620852000,4209541000,0,5047903000,295028000,9169000,0,0,175541000,479738000,617613000,0,43064000,347791048,1008464000,0,5654000,1488202000,0,751288000,2225611000,195340000,218450000,3390689000,3559701000,5047903000,169012000,5047903000,1548392000,626782000,148347000,https://www.sec.gov/Archives/edgar/data/1013131/000141057825001056/0001410578-25-001056-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000141057825001056/tmb-20241231x20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,BVN,USD,0001013131,2025-01-14,2025-01-14 17:14:04,2023,FY,219790000,0,219790000,255469000,76527000,25976000,577762000,1600295000,34023000,25796000,59819000,2140003000,131863000,24057000,3956037000,0,4533799000,293621000,36306000,6274000,19913000,85491000,441605000,672361000,-8233000,30414000,220208000,922983000,0,10320000,1364588000,791000,750497000,1841549000,195173000,218450000,3006460000,3169211000,4533799000,162751000,4533799000,2140003000,706580000,486790000,https://www.sec.gov/Archives/edgar/data/1013131/000141057825000021/0001410578-25-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000141057825000021/tmb-20231231x20fa.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,BVN,USD,0001013131,2022-12-31,2022-12-31 00:00:00,2022,FY,253918000,0,253918000,249945000,88345000,28172000,620380000,1535195000,0,23845000,23845000,2194604000,106170000,23032999,3882846999,0,4503227000,247989000,35071000,2366000,0,94171000,379597000,703463000,0,32421000,224805000,960689000,0,0,1340286000,0,751288000,1841761000,197351000,218450000,3008850000,3162941000,4503227000,154091000,4503227000,2194604000,738534000,484616000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,BVN,USD,0001013131,2022-05-13,2022-05-13 17:33:32,2021,FY,376999000,0,376999000,255888000,86264000,20394000,739545000,1537870000,0,25196000,25196000,2058127000,164351000,36721999,3822265999,0,4561811000,259641000,229417000,3026000,0,352853000,844937000,878558000,0,46742000,253042999,1178342999,0,0,2023280000,0,751288000,1239526000,159062000,218450000,2368326000,2538531000,4561811000,170205000,4561811000,2058127000,1107975000,730976000,https://www.sec.gov/Archives/edgar/data/1013131/000110465922060511/0001104659-22-060511-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000110465922060511/tmb-20211231x20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,BVN,USD,0001013131,2021-04-30,2021-04-30 16:34:35,2020,FY,235449000,0,235449000,250667000,77327000,25709000,589152000,1655916000,0,20948000,20948000,1488775000,73850000,150976000,3390465000,0,3979617000,196140000,65793000,3162000,0,95341000,360436000,506567000,0,38319000,274438000,819324000,0,0,1179760000,791000,750497000,1503785000,153937000,218450000,2627460000,2799857000,3979617000,172397000,3979617000,1488775000,572360000,336911000,https://www.sec.gov/Archives/edgar/data/1013131/000110465921059081/0001104659-21-059081-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000110465921059081/tm214042d1_20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,BVN,USD,0001013131,2025-04-30,2025-04-30 17:27:03,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1013131/000141057825001056/0001410578-25-001056-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000141057825001056/tmb-20241231x20f.htm,income_statement,1154605000,591478000,563127000,0.4877226411,965000,61274000,24172000,85446000,28752000,115163000,708950000,11540468,46498800,150821000,599207000,0.5189714231,445655000,0.3859804868,127794000,573449000,0.496662495,156164000,402689000,0.3487677604,1.59,1.59,253987000,253987000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,BVN,USD,0001013131,2025-01-14,2025-01-14 17:14:04,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1013131/000141057825000021/0001410578-25-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000141057825000021/tmb-20231231x20fa.htm,income_statement,823845000,732597000,91248000,0.1107586985,0,72123000,18256000,90379000,-20252000,70127000,802724000,2111000,39560000,201609000,173705000,0.2108467005,21121000,0.0256371041,61403000,82524000,0.100169328,42994000,19855000,0.0241004072,0.0782,0.0782,253986867,253986867,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,BVN,USD,0001013131,2022-12-31,2022-12-31 00:00:00,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,824802000,763473000,61329000,0.0743560273,401000,65705000,19217000,84922000,15025000,100348000,863821000,4210000,47544000,2460000,170983000,0.2073018737,-39019000,-0.0473071113,163448000,124429000,0.1508592365,41000,602550000,0.7305389657,0.49,0.49,253986867,253986867,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,BVN,USD,0001013131,2022-05-13,2022-05-13 17:33:32,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1013131/000110465922060511/0001104659-22-060511-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000110465922060511/tmb-20211231x20f.htm,income_statement,900450000,813106000,87344000,0.0970003887,379000,69599000,19853000,89452000,63471000,153302000,966408000,1189979,44378666,3680000,158045000,0.1755177967,-65958000,-0.0732500416,167087000,101129000,0.1123094009,-23671000,-264075000,-0.2932700317,0.49,0.49,253986867,253986867,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,BVN,USD,0001013131,2021-04-30,2021-04-30 16:34:35,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1013131/000110465921059081/0001104659-21-059081-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000110465921059081/tm214042d1_20f.htm,income_statement,676542000,652613000,23929000,0.0353695706,352000,63300000,17661000,80961000,23890000,105203000,757816000,1537494,24493291,3700000,-30214000,-0.0446594594,-81274000,-0.1201314922,23175000,-58099000,-0.0858764127,25430000,-135718000,-0.2006054317,-0.61,-0.61,253986867,253986867,,,,,,,,,,,,,,,,,,,,,,,,,,,
