date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-11-30,CCL,USD,0000815097,2026-01-27,2026-01-27 10:06:35,2025,FY,1928000000,0,1928000000,678000000,505000000,1108000000,4219000000,44822000000,579000000,1177000000,1756000000,221000000,0,669000000,47468000000,0,51687000000,1245000000,2778000000,0,0,9069000000,13092000000,25215000000,0,0,1097000000,26312000000,0,1353000000,39404000000,0,374000000,4817000000,-1810000000,8903000000,12284000000,12284000000,51687000000,0,51687000000,221000000,27993000000,26065000000,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/0000815097-26-000007-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/ccl-20251130.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-30,CCL,USD,0000815097,2025-01-27,2025-01-27 06:11:17,2024,FY,1210000000,0,1210000000,590000000,507000000,1071000000,3378000000,43163000000,579000000,1163000000,1742000000,184000000,0,591000000,45680000000,-1000000,49057000000,1133000000,1701000000,0,6425000000,2358000000,11617000000,27175000000,0,0,1013000000,28189000000,0,1402000000,39806000000,0,374000000,2101000000,-1974000000,8751000000,9252000000,9252000000,49057000000,0,49057000000,184000000,28876000000,27666000000,https://www.sec.gov/Archives/edgar/data/815097/000081509725000007/0000815097-25-000007-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509725000007/ccl-20241130.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-30,CCL,USD,0000815097,2024-01-26,2024-01-26 10:09:35,2023,FY,2415000000,0,2415000000,556000000,528000000,1767000000,5266000000,41381000000,579000000,1169000000,1748000000,149000000,0,576000000,43854000000,0,49120000000,1168000000,2238000000,0,6072000000,2003000000,11481000000,29653000000,0,0,1103000000,30756000000,1000000,1319000000,42238000000,0,373000000,185000000,-1939000000,8263000000,6882000000,6882000000,49120000000,0,49120000000,149000000,31891000000,29476000000,https://www.sec.gov/Archives/edgar/data/815097/000081509724000011/0000815097-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509724000011/ccl-20231130.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,CCL,USD,0000815097,2023-01-27,2023-01-27 11:36:20,2022,FY,4029000000,0,4029000000,395000000,428000000,2640000000,7492000000,39961000000,579000000,1156000000,1735000000,1000000,0,2514000000,44211000000,0,51703000000,1050000000,2739000000,0,4874000000,1942000000,10605000000,33142000000,0,0,892000000,34034000000,0,1335000000,44639000000,0,373000000,269000000,-1982000000,8404000000,7064000000,7064000000,51703000000,0,51703000000,1000000,35881000000,31852000000,https://www.sec.gov/Archives/edgar/data/815097/000081509723000012/0000815097-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509723000012/ccl-20221130.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-30,CCL,USD,0000815097,2022-01-27,2022-01-27 12:40:15,2021,FY,8939000000,200000000,9139000000,246000000,356000000,392000000,10133000000,39440000000,579000000,1181000000,1760000000,0,0,2011000000,43211000000,0,53344000000,797000000,4859000000,0,3112000000,1640000000,10408000000,29748000000,0,0,1044000000,30791000000,0,1381000000,41199000000,0,372000000,6448000000,-1501000000,6826000000,12145000000,12145000000,53344000000,0,53344000000,200000000,34607000000,25668000000,https://www.sec.gov/Archives/edgar/data/815097/000081509722000009/0000815097-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509722000009/ccl-20211130.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-30,CCL,USD,0000815097,2026-01-27,2026-01-27 10:06:35,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/0000815097-26-000007-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/ccl-20251130.htm,income_statement,26622000000,18737000000,7885000000,0.2961836075,0,0,0,3402000000,0,3402000000,22139000000,51000000,1349000000,2790000000,6911000000,0.2595973255,4483000000,0.1683945609,-1711000000,2772000000,0.1041244084,12000000,2760000000,0.1036736534,2.1,2.02,1312000000,1402000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-30,CCL,USD,0000815097,2025-01-27,2025-01-27 06:11:17,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/815097/000081509725000007/0000815097-25-000007-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509725000007/ccl-20241130.htm,income_statement,25021000000,15638000000,9383000000,0.3750049958,0,0,0,3252000000,2557000000,5809000000,21447000000,93000000,1755000000,2557000000,6227000000,0.2488709484,3574000000,0.1428400144,-1659000000,1915000000,0.07653571,-1000000,1916000000,0.0765756764,1.5,1.44,1274000000,1398000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-30,CCL,USD,0000815097,2024-01-26,2024-01-26 10:09:35,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/815097/000081509724000011/0000815097-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509724000011/ccl-20231130.htm,income_statement,21593000000,14317000000,7276000000,0.3369610522,0,0,0,2950000000,2370000000,5320000000,19637000000,233000000,2066000000,2370000000,4374000000,0.2025656463,1956000000,0.0905849118,-2018000000,-62000000,-0.0028713009,13000000,-74000000,-0.0034270365,-0.0586,-0.0586,1262000000,1262000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,CCL,USD,0000815097,2023-01-27,2023-01-27 11:36:20,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/815097/000081509723000012/0000815097-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509723000012/ccl-20221130.htm,income_statement,12169000000,11757000000,412000000,0.0338565207,0,0,0,2515000000,2276000000,4791000000,16548000000,74000000,1609000000,2275000000,-2196000000,-0.1804585422,-4379000000,-0.3598487961,-1701000000,-6080000000,-0.4996302079,14000000,-6093000000,-0.5006984962,-5.16,-5.16,1180000000,1180000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-30,CCL,USD,0000815097,2022-01-27,2022-01-27 12:40:15,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/815097/000081509722000009/0000815097-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509722000009/ccl-20211130.htm,income_statement,1908000000,4655000000,-2747000000,-1.4397274633,0,0,0,1885000000,2457000000,4342000000,8997000000,12000000,1601000000,2233000000,-5688000000,-2.9811320755,-7089000000,-3.715408805,-2433000000,-9522000000,-4.9905660377,-21000000,-9501000000,-4.9795597484,-8.46,-8.46,1123000000,1123000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
