date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,CELH,USD,0001341766,2025-03-03,2025-03-03 16:02:01,2024,FY,890190000,0,890190000,270342000,131165000,32883000,1324580000,77438000,71582000,12213000,83795000,0,38699000,242369000,442301000,0,1766881000,41287000,3365000,10834000,23267000,286782000,365535000,16885000,157714000,2330000,0,176929000,0,20250000,542464000,824488000,79000,105521000,-3250000,297579000,1224417000,1224417000,1766881000,0,1766881000,0,20250000,-869940000,https://www.sec.gov/Archives/edgar/data/1341766/000134176625000024/0001341766-25-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000134176625000024/celh-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,CELH,USD,0001341766,2024-02-29,2024-02-28 20:59:46,2023,FY,755981000,0,755981000,186021000,229275000,33627000,1204904000,27033000,14173000,12139000,26312000,0,29518000,248629000,331492000,0,1536396000,42840000,1039000,50424000,21364000,160946000,276613000,1148000,167227000,2880000,0,171255000,0,2187000,447868000,824488000,77000,-12053000,-701000,276717000,1088528000,1088528000,1536396000,0,1536396000,0,2187000,-753794000,https://www.sec.gov/Archives/edgar/data/1341766/000134176624000015/0001341766-24-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000134176624000015/celh-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,CELH,USD,0001341766,2023-04-19,2023-04-18 20:39:33,2022,FY,614159000,0,614159000,66290000,173289000,64233000,917971000,11365000,13679000,12254000,25933000,0,501000,266299000,304098000,0,1222069000,36248000,731000,198000,18347000,105771000,161295000,488000,179788000,15919000,0,196195000,0,1219000,357490000,824488000,76000,-238772000,-1881000,280668000,864579000,864579000,1222069000,0,1222069000,0,1219000,-612940000,https://www.sec.gov/Archives/edgar/data/1341766/000095017023005612/0000950170-23-005612-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000095017023005612/celh-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,CELH,USD,0001341766,2022-03-16,2022-03-16 17:16:56,2021,FY,16255000,0,16255000,41329000,191222000,13555000,262361000,4394000,14527000,16301000,30828000,0,9019000,7416000,51657000,0,314018000,35820000,669000,0,5439000,51196000,93124000,703000,0,3146000,0,3849000,0,1372000,96973000,0,75000,-51490000,614000,267846000,217045000,217045000,314018000,0,314018000,0,1372000,-14883000,https://www.sec.gov/Archives/edgar/data/1341766/000095017022003965/0000950170-22-003965-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000095017022003965/celh-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CELH,USD,0001341766,2021-03-11,2021-03-11 08:40:05,2020,FY,43248021,0,43248021,16872100,18403622,14626922,93150665,1577534,10419321,16590083,27009404,0,0,9552170,38139108,0,131289773,11854421,527107,0,40433,13943131,26365092,597238,0,0,0,597238,0,1124345,26962330,0,72263,-55426832,-202142,159884154,104327443,104327443,131289773,0,131289773,0,1124345,-42123676,https://www.sec.gov/Archives/edgar/data/1341766/000182912621001412/0001829126-21-001412-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000182912621001412/celsiusholdings_10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,CELH,USD,0001341766,2025-03-03,2025-03-03 16:02:01,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1341766/000134176625000024/0001341766-25-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000134176625000024/celh-20241231.htm,income_statement,1355630000,675423000,680207000,0.5017644933,1000000,0,0,524479000,-1000000,524479000,1199902000,39263000,0,7274000,163002000,0.1202407737,155728000,0.1148750028,39322000,195050000,0.1438814426,49976000,145074000,0.1070159262,0.46,0.45,233667000,237404000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,CELH,USD,0001341766,2024-02-29,2024-02-28 20:59:46,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1341766/000134176624000015/0001341766-24-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000134176624000015/celh-20231231.htm,income_statement,1318014000,684875000,633139000,0.4803735013,0,0,0,366773000,0,366773000,1051648000,26629000,0,3226000,269592000,0.2045441095,266366000,0.2020964876,25383000,291749000,0.2213550084,64948000,226801000,0.1720778383,0.79,0.77,230784000,236964000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,CELH,USD,0001341766,2023-04-19,2023-04-18 20:39:33,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1341766/000095017023005612/0000950170-23-005612-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000095017023005612/celh-20221231.htm,income_statement,653604000,382735000,270869000,0.4144237183,0,75903000,352767000,428670000,0,428670000,811405000,5529000,0,1917000,-155884000,-0.2384991524,-157801000,-0.241432121,5137000,-152664000,-0.233572622,34618000,-187282000,-0.2865374141,-0.83,-0.83,226947000,226947000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,CELH,USD,0001341766,2022-03-16,2022-03-16 17:16:56,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1341766/000095017022003965/0000950170-22-003965-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000095017022003965/celh-20211231.htm,income_statement,314272000,186103000,128169000,0.4078282507,0,57519745,74738295,132259000,0,132259000,318362000,315000,8000,1264000,-2787000,-0.0088681142,-4090000,-0.0130142043,31000,-4059000,-0.0129155636,-7996000,3937000,0.0125273648,0.02,0.02,221343000,233067000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CELH,USD,0001341766,2021-03-11,2021-03-11 08:40:05,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1341766/000182912621001412/0001829126-21-001412-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000182912621001412/celsiusholdings_10k.htm,income_statement,130726000,69752000,60974000,0.4664259596,0,18187000,34875000,53062000,0,53062000,122814000,356000,1074000,1611000,11325000,0.0866315806,7912000,0.0605235378,728000,8640000,0.0660924376,116000,8524000,0.0652050854,0.04,0.0367,210585000,223332000,,,,,,,,,,,,,,,,,,,,,,,,,,,
