date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-02-02,CHWY,USD,0001766502,2025-03-26,2025-03-26 07:29:13,2024,FY,595765000,899000,596664000,169031000,836695000,59976000,1662366000,1012573000,39442000,0,39442000,0,257453000,42693000,1352161000,0,3014527000,1175869000,0,0,0,1030854000,2206723000,502404000,0,0,43941000,546345000,0,502404000,2753068000,0,4136000,-1582914000,77000,1840160000,261459000,261459000,3014527000,0,3014527000,899000,502404000,-93361000,https://www.sec.gov/Archives/edgar/data/1766502/000176650225000014/0001766502-25-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650225000014/chwy-20250202.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-28,CHWY,USD,0001766502,2024-03-20,2024-03-20 16:33:31,2023,FY,602232000,531785000,1134017000,154043000,719273000,97015000,2104348000,995915000,39442000,0,39442000,0,0,47146000,1082503000,0,3186851000,1104940000,0,0,0,1005937000,2110877000,527795000,0,0,37935000,565730000,0,527795000,2676607000,0,4318000,-1975652000,-406000,2481984000,510244000,510244000,3186851000,0,3186851000,531785000,527795000,-74437000,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/0001766502-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/chwy-20240128.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-29,CHWY,USD,0001766502,2023-03-22,2023-03-22 16:33:57,2022,FY,331641000,346944000,678585000,126969000,678005000,41221000,1524780000,902403000,39442000,0,39442000,0,0,53193000,995038000,0,2519818000,1033184000,0,0,0,794534000,1827718000,471821000,0,0,60011000,531832000,0,471821000,2359550000,0,4253000,-2015232000,0,2171247000,160268000,160268000,2519818000,0,2519818000,346944000,471821000,140180000,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/0001766502-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/chwy-20230129.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-30,CHWY,USD,0001766502,2022-03-29,2022-03-29 16:30:10,2021,FY,603079000,0,603079000,123510000,560430000,36513000,1323532000,739859000,0,0,0,0,0,22890000,762749000,0,2086281000,883316000,0,0,0,761563000,1644879000,410168000,0,0,16498000,426666000,0,410168000,2071545000,0,4201000,-2010775000,0,2021310000,14736000,14736000,2086281000,0,2086281000,0,410168000,-192911000,https://www.sec.gov/Archives/edgar/data/1766502/000176650222000008/0001766502-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650222000008/chwy-20220130.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,CHWY,USD,0001766502,2021-03-30,2021-03-30 16:43:44,2020,FY,563345000,0,563345000,100699000,513304000,49430000,1226778000,507230000,0,0,0,0,0,6902000,514132000,0,1740910000,778365000,0,0,0,602497000,1380862000,328231000,0,0,33821000,362052000,0,328231000,1742914000,0,4150000,-1936958000,0,1930804000,-2004000,-2004000,1740910000,0,1740910000,0,328231000,-235114000,https://www.sec.gov/Archives/edgar/data/1766502/000176650221000008/0001766502-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650221000008/chwy-20210131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,CHWY,USD,0001766502,2025-03-26,2025-03-26 07:29:13,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1766502/000176650225000014/0001766502-25-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650225000014/chwy-20250202.htm,income_statement,11861335000,8393631000,3467704000,0.292353601,37600000,2551004000,804113000,3355117000,-37600000,3355117000,11748748000,40587000,5519000,114557000,271769000,0.0229121764,112587000,0.0094919332,39106000,151693000,0.012788864,-241045000,392738000,0.0331107755,0.93,0.91,421351000,430990000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,CHWY,USD,0001766502,2024-03-20,2024-03-20 16:33:31,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/0001766502-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/chwy-20240128.htm,income_statement,11147720000,7986202000,3161518000,0.2836022074,30200000,2442683000,742460000,3185143000,-30200000,3185143000,11171345000,62083000,3582000,109693000,161505000,0.0144877159,-23625000,-0.0021192674,71855000,48230000,0.0043264452,8650000,39580000,0.0035505018,0.0922,0.0916,429457000,432040000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,CHWY,USD,0001766502,2023-03-22,2023-03-22 16:33:57,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/0001766502-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/chwy-20230129.htm,income_statement,10119000000,7284505000,2834495000,0.2801161182,22400000,2128688000,649386000,2778074000,-22400000,2778074000,10062579000,11865000,2575000,83440000,138560000,0.0136930527,56421000,0.0055757486,-3876000,52545000,0.0051927068,2646000,49899000,0.0049312185,0.12,0.12,422331000,427770000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,CHWY,USD,0001766502,2022-03-29,2022-03-29 16:30:10,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1766502/000176650222000008/0001766502-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650222000008/chwy-20220130.htm,income_statement,8967407000,6581936000,2385471000,0.2660156944,14200000,1840135000,618902000,2459037000,-14200000,2459037000,9040973000,0,1639000,55319000,-17724000,-0.0019764911,-73566000,-0.0082037093,-1641000,-75207000,-0.0083867053,0,-75207000,-0.0083867053,-0.18,-0.18,417218000,417218000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,CHWY,USD,0001766502,2021-03-30,2021-03-30 16:43:44,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1766502/000176650221000008/0001766502-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650221000008/chwy-20210131.htm,income_statement,7146264000,5325457000,1820807000,0.2547914547,7400000,1397969000,513302000,1911271000,-7400000,1911271000,7236728000,0,2021999,35664000,-54800000,-0.0076683425,-90464000,-0.0126589222,-2022000,-92486000,-0.0129418672,0,-92486000,-0.0129418672,-0.23,-0.23,407240000,407240000,,,,,,,,,,,,,,,,,,,,,,,,,,,
