date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-04-30,CRDO,USD,0001807794,2025-07-02,2025-07-01 17:52:06,2025,FY,236328000,195010000,431338000,162144000,90029000,30023000,713534000,78865000,0,0,0,0,0,16858000,95723000,0,809257000,56158000,3342000,0,0,48211000,107711000,12693000,0,0,7271000,19964000,0,16035000,127675000,0,8000,-83162000,-437000,765173000,681582000,681582000,809257000,0,809257000,195010000,16035000,-220293000,https://www.sec.gov/Archives/edgar/data/1807794/000162828025033813/0001628280-25-033813-index.htm,https://www.sec.gov/Archives/edgar/data/1807794/000162828025033813/crdo-20250503.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,CRDO,USD,0001807794,2024-06-24,2024-06-24 17:13:11,2024,FY,66942000,343061000,410003000,81224000,25907000,13131000,530265000,56742000,0,0,0,0,0,14925000,71667000,0,601932000,13417000,2741000,0,3902000,24560000,44620000,11133000,128000,0,5853000,17114000,0,13874000,61734000,0,8000,-135345000,-519000,676054000,540198000,540198000,601932000,0,601932000,343061000,13874000,-53068000,https://www.sec.gov/Archives/edgar/data/1807794/000162828024029629/0001628280-24-029629-index.htm,https://www.sec.gov/Archives/edgar/data/1807794/000162828024029629/crdo-20240427.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-30,CRDO,USD,0001807794,2023-06-23,2023-06-22 19:33:22,2023,FY,108583000,109228000,217811000,58986000,46023000,5412000,328232000,55082000,0,0,0,0,0,13975000,69057000,0,397289000,6067000,2630000,960000,4040000,17335000,31032000,12869000,380000,0,5373000,18622000,0,15499000,49654000,0,7000,-106976000,-191000,454795000,347635000,347635000,397289000,0,397289000,109228000,15499000,-93084000,https://www.sec.gov/Archives/edgar/data/1807794/000162828023023187/0001628280-23-023187-index.htm,https://www.sec.gov/Archives/edgar/data/1807794/000162828023023187/crdo-20230429.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30,CRDO,USD,0001807794,2022-06-08,2022-06-08 16:41:39,2022,FY,259322000,0,259322000,39595000,27337000,5923000,332177000,38798000,0,0,0,0,0,4714000,43512000,0,375689000,8487000,2379000,1312000,1234000,13085000,26497000,14809000,0,0,220000,15029000,0,17188000,41526000,0,7000,-90429000,23000,424562000,334163000,334163000,375689000,0,375689000,0,17188000,-242134000,https://www.sec.gov/Archives/edgar/data/1807794/000162828022016593/0001628280-22-016593-index.htm,https://www.sec.gov/Archives/edgar/data/1807794/000162828022016593/crdo-20220430.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,CRDO,USD,0001807794,2021-04-30,2021-04-30 00:00:00,2021,FY,103757000,0,103757000,18207000,7104000,8731000,137799000,14231000,0,0,0,0,34000,3426000,17691000,0,155490000,3590000,0,625000,4116000,4201000,12532000,0,0,424000,197965000,198389000,0,0,210921000,0,3000,-68253000,227000,12592000,-55431000,-55431000,155490000,0,155490000,0,0,-103757000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30,CRDO,USD,0001807794,2025-07-02,2025-07-01 17:52:06,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1807794/000162828025033813/0001628280-25-033813-index.htm,https://www.sec.gov/Archives/edgar/data/1807794/000162828025033813/crdo-20250503.htm,income_statement,436775000,153866000,282909000,0.6477225116,145994000,0,0,98918000,873000,245785000,399651000,0,0,21938000,59935000,0.1372216816,37124000,0.0849957072,17746000,54870000,0.125625322,2687000,52183000,0.1194734131,0.31,0.29,167505000,181158000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,CRDO,USD,0001807794,2024-06-24,2024-06-24 17:13:11,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1807794/000162828024029629/0001628280-24-029629-index.htm,https://www.sec.gov/Archives/edgar/data/1807794/000162828024029629/crdo-20240427.htm,income_statement,192970000,73539000,119431000,0.6189096751,95531000,0,0,60193000,765000,156489000,230028000,0,0,13771000,-22522000,-0.1167124423,-37058000,-0.1920402135,14313000,-22745000,-0.1178680624,5624000,-28369000,-0.147012489,-0.18,-0.18,155091000,155091000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-30,CRDO,USD,0001807794,2023-06-23,2023-06-22 19:33:22,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1807794/000162828023023187/0001628280-23-023187-index.htm,https://www.sec.gov/Archives/edgar/data/1807794/000162828023023187/crdo-20230429.htm,income_statement,184194000,78000000,106194000,0.5765334376,76774000,0,0,48248000,2407000,127429000,205429000,0,0,9514000,-9314000,-0.0505662508,-21235000,-0.1152860571,3321000,-17914000,-0.0972561538,-1367000,-16547000,-0.0898346309,-0.11,-0.11,146556000,146556000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30,CRDO,USD,0001807794,2022-06-08,2022-06-08 16:41:39,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1807794/000162828022016593/0001628280-22-016593-index.htm,https://www.sec.gov/Archives/edgar/data/1807794/000162828022016593/crdo-20220430.htm,income_statement,106477000,42462000,64015000,0.6012096509,47949000,0,0,34900000,3134000,85983000,128445000,0,0,4793000,-14041000,-0.1318688543,-21968000,-0.2063168572,-245000,-22213000,-0.2086178236,-37000,-22176000,-0.2082703307,-0.16,-0.15,142512032,145012032,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,CRDO,USD,0001807794,2021-04-30,2021-04-30 00:00:00,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,58697000,20419000,38278000,0.6521287289,34845000,11147000,17520000,28667000,0,63512000,83931000,0,0,2218000,-23016000,-0.3921154403,-25234000,-0.4299027208,-62000,-25296000,-0.4309589928,2215000,-27511000,-0.4686951633,-0.2,-0.2,139947064,139947064,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30,CRDO,USD,0001807794,2025-07-02,2025-07-01 17:52:06,2025,FY,,,,,-70470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1807794/000162828025033813/0001628280-25-033813-index.htm,https://www.sec.gov/Archives/edgar/data/1807794/000162828025033813/crdo-20250503.htm,cash_flow,,,,,,,,,,,,,,21938000,,,,,,,,,52183000,,,,,,0,77355000,-108404000,-102482000,41930000,22618000,22011000,65083000,-36061000,0,-258726000,406777000,0,111990000,0,0,0,0,-7728000,-7728000,41000,169386000,236328000,66942000,65083000,-36061000,29022000
2024-04-30,CRDO,USD,0001807794,2024-06-24,2024-06-24 17:13:11,2024,FY,,,,,15762000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1807794/000162828024029629/0001628280-24-029629-index.htm,https://www.sec.gov/Archives/edgar/data/1807794/000162828024029629/crdo-20240427.htm,cash_flow,,,,,,,,,,,,,,13771000,,,,,,,,,-28369000,,,,,,0,39022000,-731000,-10121000,8806000,-15178000,9044000,32737000,-15652000,0,-403587000,169754000,0,-249485000,0,173431000,0,0,1845000,175276000,-169000,-41641000,66942000,108583000,32737000,-15652000,17085000
2023-04-30,CRDO,USD,0001807794,2023-06-23,2023-06-22 19:33:22,2023,FY,,,,,-24379000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1807794/000162828023023187/0001628280-23-023187-index.htm,https://www.sec.gov/Archives/edgar/data/1807794/000162828023023187/crdo-20230429.htm,cash_flow,,,,,,,,,,,,,,9514000,,,,,,,,,-16547000,,,,,,0,23516000,-50418000,-20017000,-3843000,-2179000,9320000,-24615000,-21713000,0,-159228000,50000000,0,-130941000,0,0,0,0,4885000,4885000,-68000,-150739000,108583000,259322000,-24615000,-21713000,-46328000
