date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,DAL,USD,0000027904,2026-01-13,2026-01-13 06:30:15,2025,FY,4310000000,0,4310000000,2850000000,1601000000,2205000000,10966000000,45987000000,9753000000,5966000000,15719000000,4222000000,0,4291000000,70219000000,0,81185000000,5226000000,3223000000,0,4876000000,14342000000,27667000000,17860000000,4386000000,3369000000,7150000000,32765000000,0,6162000000,60432000000,0,0,0,0,20753000000,20753000000,20753000000,81185000000,0,81185000000,4222000000,21083000000,16773000000,https://www.sec.gov/Archives/edgar/data/27904/000002790426000008/0000027904-26-000008-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790426000008/deltaairlinesannouncesdece.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,DAL,USD,0000027904,2025-02-11,2025-02-11 17:02:24,2024,FY,3069000000,0,3069000000,3224000000,1428000000,2123000000,9844000000,44239000000,9753000000,5975000000,15728000000,2846000000,0,2715000000,65528000000,0,75372000000,4650000000,2938000000,0,4314000000,14768000000,26670000000,19833000000,4512000000,2176000000,6888000000,33409000000,0,6577000000,60079000000,0,0,8783000000,-4979000000,11489000000,15293000000,15293000000,75372000000,0,75372000000,2846000000,22771000000,19702000000,https://www.sec.gov/Archives/edgar/data/27904/000002790425000004/0000027904-25-000004-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790425000004/dal-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,DAL,USD,0000027904,2024-02-12,2024-02-12 17:04:29,2023,FY,2741000000,1127000000,3868000000,3130000000,1314000000,1957000000,10269000000,42490000000,9753000000,5983000000,15736000000,3457000000,0,1692000000,63375000000,0,73644000000,4446000000,3742000000,0,3908000000,14322000000,26418000000,23539000000,4512000000,908000000,7162000000,36121000000,0,7227000000,62539000000,0,0,5650000000,-5845000000,11300000000,11105000000,11105000000,73644000000,0,73644000000,4584000000,27281000000,24540000000,https://www.sec.gov/Archives/edgar/data/27904/000002790424000003/0000027904-24-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790424000003/dal-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,DAL,USD,0000027904,2023-02-10,2023-02-10 16:38:33,2022,FY,3266000000,3268000000,6534000000,3176000000,1424000000,1877000000,13011000000,40145000000,9753000000,5992000000,15745000000,2128000000,325000000,934000000,59277000000,0,72275000000,5106000000,3073000000,0,3434000000,14327000000,25940000000,27537000000,4448000000,24000000,7757000000,39766000000,0,7580000000,65706000000,0,0,1170000000,-5801000000,11213000000,6582000000,6582000000,72288000000,0,72288000000,5396000000,30610000000,27344000000,https://www.sec.gov/Archives/edgar/data/27904/000002790423000003/0000027904-23-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790423000003/dal-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,DAL,USD,0000027904,2022-02-11,2022-02-11 16:49:30,2021,FY,7933000000,3386000000,11319000000,2404000000,1098000000,1119000000,15940000000,35922000000,9753000000,6001000000,15754000000,1712000000,1294000000,1773000000,56519000000,0,72471000000,4240000000,2485000000,0,2710000000,11531000000,20966000000,32194000000,4849000000,0,10563000000,47606000000,0,7759000000,68572000000,0,0,-148000000,-7130000000,11165000000,3887000000,3887000000,72459000000,0,72459000000,5098000000,34679000000,26746000000,https://www.sec.gov/Archives/edgar/data/27904/000002790422000003/0000027904-22-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790422000003/dal-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,DAL,USD,0000027904,2026-01-13,2026-01-13 06:30:15,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/27904/000002790426000008/0000027904-26-000008-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790426000008/deltaairlinesannouncesdece.htm,income_statement,63364000000,48889000000,14475000000,0.2284420175,0,0,2485000000,2485000000,6168000000,8653000000,57542000000,0,679000000,2443000000,8032000000,0.1267596743,5822000000,0.0918818256,363000000,6185000000,0.0976106306,1180000000,5005000000,0.0789880689,7.72,7.66,648000000,654000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,DAL,USD,0000027904,2025-02-11,2025-02-11 17:02:24,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/27904/000002790425000004/0000027904-25-000004-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790425000004/dal-20241231.htm,income_statement,61643000000,45086000000,16557000000,0.2685949743,0,1389000000,2485000000,3874000000,6688000000,10562000000,55648000000,0,747000000,2513000000,7918000000,0.1284492968,5995000000,0.0972535405,-1337000000,4658000000,0.0755641354,1201000000,3457000000,0.0560809824,5.39,5.33,648000000,648000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,DAL,USD,0000027904,2024-02-12,2024-02-12 17:04:29,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/27904/000002790424000003/0000027904-24-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790424000003/dal-20231231.htm,income_statement,58048000000,42530000000,15518000000,0.2673304851,0,1383000000,2334000000,3717000000,6280000000,9997000000,52527000000,0,834000000,2341000000,8783000000,0.1513058159,5521000000,0.0951109427,87000000,5608000000,0.0966097023,999000000,4609000000,0.0793998071,7.21,7.17,639000000,643000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,DAL,USD,0000027904,2023-02-10,2023-02-10 16:38:33,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/27904/000002790423000003/0000027904-23-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790423000003/dal-20221231.htm,income_statement,50582000000,39422000000,11160000000,0.2206318453,0,563000000,1891000000,2454000000,5045000000,7499000000,46921000000,0,1029000000,2107000000,5050000000,0.099837887,3661000000,0.0723775256,-1747000000,1914000000,0.0378395477,596000000,1318000000,0.0260567,2.07,2.06,638000000,641000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,DAL,USD,0000027904,2022-02-11,2022-02-11 16:49:30,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/27904/000002790422000003/0000027904-22-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790422000003/dal-20211231.htm,income_statement,29899000000,27766000000,2133000000,0.0713401786,0,-451000000,953000000,502000000,-255000000,247000000,28013000000,0,1279000000,1998000000,3675000000,0.1229138098,1886000000,0.0630790327,-1488000000,398000000,0.013311482,118000000,280000000,0.0093648617,0.44,0.44,636000000,641000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
