date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-03-31,DECK,USD,0000910521,2025-05-23,2025-05-23 12:55:21,2025,FY,1889188000,0,1889188000,390605000,495226000,85456000,2860475000,562951000,13990000,15699000,29689000,0,140568000,39545999,772753999,0,3633229000,417955000,54453000,0,0,297533000,769941000,222522000,0,62977000,64775999,350274999,0,276975000,1120216000,0,1502000,2307699000,-49654000,253466000,2513013000,2513013000,3633229000,0,3633229000,0,276975000,-1612213000,https://www.sec.gov/Archives/edgar/data/910521/000091052125000017/0000910521-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052125000017/deck-20250331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,DECK,USD,0000910521,2024-05-24,2024-05-24 14:32:03,2024,FY,1502051000,0,1502051000,353990000,474311000,113131000,2443483000,527791000,13990000,27083000,41073000,0,72584000,50648000,692096000,0,3135579000,378503000,53581000,57471000,0,230438000,719993000,213298000,0,0,94820000,308118000,0,266879000,1028111000,0,1536000,1913615000,-50733000,243050000,2107468000,2107468000,3135579000,0,3135579000,0,266879000,-1235172000,https://www.sec.gov/Archives/edgar/data/910521/000091052124000017/0000910521-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052124000017/deck-20240331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,DECK,USD,0000910521,2023-05-26,2023-05-26 13:38:57,2023,FY,981795000,0,981795000,321980000,532852000,73626000,1910253000,479981000,13990000,37457000,51447000,0,72592000,41930000,645950000,0,2556203000,265605000,50765000,30476000,0,150534000,497380000,195723000,0,0,97367000,293090000,0,246488000,790470000,0,262000,1571574000,-39035000,232932000,1765733000,1765733000,2556203000,0,2556203000,0,246488000,-735307000,https://www.sec.gov/Archives/edgar/data/910521/000091052123000016/0000910521-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052123000016/deck-20230331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,DECK,USD,0000910521,2022-05-27,2022-05-27 12:43:59,2022,FY,843527000,0,843527000,332422000,506796000,69383000,1752128000,404908000,13990000,39688000,53678000,0,64217000,57319000,580122000,0,2332250000,327487000,50098000,15146000,0,148953000,541684000,171972000,0,0,79769000,251741000,0,222070000,793425000,0,270000,1352685000,-24955000,210825000,1538825000,1538825000,2332250000,0,2332250000,0,222070000,-621457000,https://www.sec.gov/Archives/edgar/data/910521/000091052122000017/0000910521-22-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052122000017/deck-20220331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,DECK,USD,0000910521,2021-05-28,2021-05-28 13:43:58,2021,FY,1089361000,0,1089361000,232732000,278242000,50464000,1650799000,393201000,13990000,41945000,55935000,0,37194000,30576000,516906000,0,2167705000,231632000,46768000,41821000,0,148147000,468368000,176274000,0,0,78838000,255112000,0,223042000,723480000,0,279000,1257379000,-16743000,203310000,1444225000,1444225000,2167705000,0,2167705000,0,223042000,-866319000,https://www.sec.gov/Archives/edgar/data/910521/000091052121000017/0000910521-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052121000017/deck-20210331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,DECK,USD,0000910521,2025-05-23,2025-05-23 12:55:21,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/910521/000091052125000017/0000910521-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052125000017/deck-20250331.htm,income_statement,4985612000,2099949000,2885663000,0.5787981496,56676000,1213407000,432198000,1645605000,4290000,1706571000,3806520000,68389000,3517000,68426000,1315242000,0.2638075326,1179092000,0.2364989494,64207000,1243299000,0.2493774084,277208000,966091000,0.1937758093,6.36,6.33,151992000,152670000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,DECK,USD,0000910521,2024-05-24,2024-05-24 14:32:03,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/910521/000091052124000017/0000910521-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052124000017/deck-20240331.htm,income_statement,4287763000,1902275000,2385488000,0.5563479138,49171000,0,0,1457974000,-49171000,1457974000,3360249000,52208000,2564000,57166000,1038671000,0.2422407675,927514000,0.2163165268,51427000,978941000,0.2283104267,219378000,759563000,0.1771466846,4.89,4.86,155226000,156288000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,DECK,USD,0000910521,2023-05-26,2023-05-26 13:38:57,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/910521/000091052123000016/0000910521-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052123000016/deck-20230331.htm,income_statement,3627286000,1801916000,1825370000,0.5032329957,38657000,0,0,1172619000,-38657000,1172619000,2974535000,15563000,3442000,47345000,716869000,0.1976323345,652751000,0.1799557576,13331000,666082000,0.1836309571,149260000,516822000,0.1424817343,3.25,3.23,159024000,160116000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,DECK,USD,0000910521,2022-05-27,2022-05-27 12:43:59,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/910521/000091052122000017/0000910521-22-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052122000017/deck-20220331.htm,income_statement,3150339000,1542788000,1607551000,0.5102787351,33344000,0,0,1042844000,-33344000,1042844000,2585632000,1901000,2083000,42878000,609599000,0.1935026675,564707000,0.1792527725,-69000,564638000,0.1792308701,112689000,451949000,0.1434604339,2.74,2.71,165048000,166734000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,DECK,USD,0000910521,2021-05-28,2021-05-28 13:43:58,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/910521/000091052121000017/0000910521-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052121000017/deck-20210331.htm,income_statement,2545641000,1171551000,1374090000,0.5397815324,28626000,0,0,869885000,-28626000,869885000,2041436000,2637000,6028000,40530000,548072000,0.2152982294,504205000,0.1980660274,-2691000,501514000,0.1970089262,118939000,382575000,0.150286313,2.27,2.25,168330000,170436000,,,,,,,,,,,,,,,,,,,,,,,,,,,
