date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-01-31,DELL,USD,0001571996,2025-03-25,2025-03-25 16:21:05,2025,FY,3633000000,0,3633000000,15602000000,6716000000,10278000000,36229000000,6336000000,19120000000,4988000000,24108000000,1496000000,0,11577000000,43517000000,0,79746000000,20832000000,5204000000,0,13673000000,6818000000,46527000000,19363000000,12292000000,0,2951000000,34606000000,0,0,81133000000,0,9119000000,-1160000000,-939000000,-8502000000,-1482000000,-1387000000,79746000000,95000000,79746000000,1496000000,24567000000,20934000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199625000034/0001571996-25-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199625000034/dell-20250131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,DELL,USD,0001571996,2024-03-25,2024-03-25 16:20:07,2024,FY,7366000000,0,7366000000,13986000000,3622000000,11010000000,35984000000,6432000000,19700000000,5701000000,25401000000,1316000000,0,12993000000,46142000000,0,82126000000,19226000000,6982000000,0,15318000000,6828000000,48354000000,19012000000,13827000000,0,3065000000,35904000000,0,0,84258000000,0,8926000000,-4453000000,-800000000,-5900000000,-2227000000,-2132000000,82126000000,95000000,82126000000,1316000000,25994000000,18628000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000036/0001571996-24-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000036/dell-20240202.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,DELL,USD,0001571996,2023-03-30,2023-03-30 16:19:36,2023,FY,8607000000,0,8607000000,18141000000,4776000000,10827000000,42351000000,6209000000,19676000000,6468000000,26144000000,1518000000,0,13389000000,47260000000,0,89611000000,18598000000,6573000000,0,15542000000,10941000000,51654000000,23015000000,14744000000,0,3223000000,40982000000,0,0,92636000000,0,8424000000,-6732000000,-1001000000,-3813000000,-3122000000,-3025000000,89611000000,97000000,89611000000,1518000000,29588000000,20981000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000007/0001571996-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000007/dell-20230203.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,DELL,USD,0001571996,2022-03-24,2022-03-24 16:29:54,2022,FY,9477000000,0,9477000000,18132000000,5898000000,11526000000,45033000000,5415000000,19770000000,7461000000,27231000000,1839000000,0,13217000000,47702000000,0,92735000000,27143000000,5823000000,0,14261000000,8992000000,56219000000,21131000000,13312000000,0,3653000000,38096000000,0,0,94315000000,0,7898000000,-8188000000,-431000000,-964000000,-1685000000,-1580000000,92735000000,105000000,92735000000,1839000000,26954000000,17477000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199622000009/0001571996-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199622000009/dell-20220128.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,DELL,USD,0001571996,2021-03-26,2021-03-26 16:45:18,2021,FY,9508000000,0,9508000000,15994000000,3403000000,14662000000,43567000000,4833000000,20028000000,9115000000,29143000000,1334000000,6230000000,38308000000,79848000000,0,123415000000,21572000000,6793000000,1621000000,13201000000,10945000000,54132000000,34652000000,12391000000,2173000000,12042000000,61258000000,0,2223000000,115390000000,472000000,16849000000,-13751000000,-314000000,-305000000,2951000000,8025000000,123415000000,5074000000,123415000000,1334000000,41445000000,31937000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199621000007/0001571996-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199621000007/dell-20210129.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,DELL,USD,0001571996,2025-03-25,2025-03-25 16:21:05,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1571996/000157199625000034/0001571996-25-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199625000034/dell-20250131.htm,income_statement,95567000000,74317000000,21250000000,0.2223570898,3061000000,0,0,11952000000,0,15013000000,89330000000,160000000,1414000000,3123000000,9585000000,0.1002961273,6237000000,0.0652631138,-1189000000,5048000000,0.0528215807,472000000,4592000000,0.0480500591,6.51,6.38,696130000,724000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,DELL,USD,0001571996,2024-03-25,2024-03-25 16:20:07,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000036/0001571996-24-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000036/dell-20240202.htm,income_statement,88425000000,67356000000,21069000000,0.2382697201,2801000000,11435000000,900000000,12335000000,522000000,15658000000,83014000000,329000000,1501000000,3303000000,8891000000,0.1005484874,5411000000,0.0611931015,-1324000000,4087000000,0.0462199604,715000000,3388000000,0.0383149562,4.71,4.6,736000000,736000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,DELL,USD,0001571996,2023-03-30,2023-03-30 16:19:36,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000007/0001571996-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000007/dell-20230203.htm,income_statement,102301000000,79615000000,22686000000,0.2217573631,2779000000,12673000000,1100000000,13773000000,363000000,16915000000,96530000000,100000000,1281000000,3156000000,7662000000,0.0748966286,5771000000,0.0564119608,-2546000000,3225000000,0.0315246185,803000000,2442000000,0.0238707344,3.33,3.24,734000000,753000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,DELL,USD,0001571996,2022-03-24,2022-03-24 16:29:54,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1571996/000157199622000009/0001571996-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199622000009/dell-20220128.htm,income_statement,101197000000,79306000000,21891000000,0.2163206419,2577000000,13257000000,1300000000,14557000000,98000000,17232000000,96538000000,62000000,1542000000,4551000000,12016000000,0.1187386978,4659000000,0.0460389142,1264000000,5923000000,0.058529403,981000000,5563000000,0.0549719853,7.3,7.02,762000000,791000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,DELL,USD,0001571996,2021-03-26,2021-03-26 16:45:18,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1571996/000157199621000007/0001571996-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199621000007/dell-20210129.htm,income_statement,86670000000,66530000000,20140000000,0.2323756779,2455000000,13000000000,1000000000,14000000000,0,16455000000,82985000000,148000000,2052000000,5390000000,9788000000,0.1129341179,3685000000,0.0425175955,-1339000000,2346000000,0.0270681897,101000000,3250000000,0.0374985577,4.37,4.22,744000000,767000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
