date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-01-31,DG,USD,0000029534,2025-03-21,2025-03-21 06:24:14,2024,FY,932576000,0,932576000,127132000,6711242000,392975000,8163925000,17373244000,4338589000,1199700000,5538289000,0,0,57275000,22968808000,0,31132733000,3833133000,1979577000,320704000,0,735288000,6868702000,15483808000,0,1103701000,262815000,16850324000,0,11224897000,23719026000,0,192447000,3405683000,2987000,3812590000,7413707000,7413707000,31132733000,0,31132733000,0,17463385000,16530809000,https://www.sec.gov/Archives/edgar/data/29534/000155837025003413/0001558370-25-003413-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837025003413/dg-20250131x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-02,DG,USD,0000029534,2024-03-25,2024-03-25 06:45:45,2023,FY,537283000,0,537283000,112262000,6994266000,366913000,8010724000,17185950000,4338589000,1199700000,5538289000,0,0,60628000,22784867000,0,30795591000,3587374000,2155728000,10709000,0,971890000,6725701000,15935038000,0,1133784000,251949000,17320771000,0,11090582000,24046472000,0,192206000,2799415000,493000,3757005000,6749119000,6749119000,30795591000,0,30795591000,0,18090766000,17553483000,https://www.sec.gov/Archives/edgar/data/29534/000155837024003813/0001558370-24-003813-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837024003813/dg-20240202x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-03,DG,USD,0000029534,2023-03-24,2023-03-24 16:42:42,2022,FY,381576000,0,381576000,135775000,6760733000,302925000,7581009000,15906323000,4338589000,1199700000,5538289000,0,0,57746000,21502358000,0,29083367000,3552991000,1288939000,8919000,0,1036919000,5887768000,16372160000,0,1060906000,220761000,17653827000,0,10651700000,23541595000,0,191718000,1656140000,43000,3693871000,5541772000,5541772000,29083367000,0,29083367000,0,17661099000,17279523000,https://www.sec.gov/Archives/edgar/data/29534/000155837023004574/0001558370-23-004574-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837023004574/dg-20230203x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-28,DG,USD,0000029534,2022-03-18,2022-03-18 16:16:38,2021,FY,344829000,0,344829000,97394000,5614325000,247295000,6303843000,14439057000,4338589000,1199750000,5538339000,0,0,46132000,20023528000,0,26327371000,3738604000,1183559000,8055000,0,1049139000,5979357000,13062777000,0,825254000,197997000,14086028000,0,10074268000,20065385000,0,201265000,2473999000,-1192000,3587914000,6261986000,6261986000,26327371000,0,26327371000,0,14246336000,13901507000,https://www.sec.gov/Archives/edgar/data/29534/000155837022003921/0001558370-22-003921-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837022003921/dg-20220128x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,DG,USD,0000029534,2021-03-19,2021-03-19 08:19:58,2020,FY,1376577000,0,1376577000,90760000,5247477000,199405000,6914219000,13373327000,4338589000,1199870000,5538459000,0,0,36619000,18948405000,0,25862624000,3614089000,1074079000,16063000,0,1006552000,5710783000,12516363000,0,710549000,263691000,13490603000,0,9459467000,19201386000,0,210687000,3006102000,-2163000,3446612000,6661238000,6661238000,25862624000,0,25862624000,0,13590442000,12213865000,https://www.sec.gov/Archives/edgar/data/29534/000155837021003245/0001558370-21-003245-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837021003245/dg-20210129x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,DG,USD,0000029534,2025-03-21,2025-03-21 06:24:14,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/29534/000155837025003413/0001558370-25-003413-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837025003413/dg-20250131x10k.htm,income_statement,40612308000,28594811000,12017497000,0.2959077578,0,0,0,10303423000,0,10303423000,38898234000,0,274320000,971703000,2685777000,0.0661320947,1714074000,0.0422057766,-274320000,1439754000,0.0354511741,314501000,1125253000,0.0277071916,5.12,5.11,219877000,220027000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-02,DG,USD,0000029534,2024-03-25,2024-03-25 06:45:45,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/29534/000155837024003813/0001558370-24-003813-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837024003813/dg-20240202x10k.htm,income_statement,38691609000,26972585000,11719024000,0.3028828292,0,9135424000,130600000,9266024000,0,9272724000,36245309000,0,326781000,848793000,3295093000,0.0851629871,2446300000,0.063225595,-326781000,2119519000,0.0547798103,458245000,1661274000,0.0429362863,7.57,7.55,219415000,219938000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-03,DG,USD,0000029534,2023-03-24,2023-03-24 16:42:42,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/29534/000155837023004574/0001558370-23-004574-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837023004574/dg-20230203x10k.htm,income_statement,37844863000,26024765000,11820098000,0.3123303155,0,8365796000,126000000,8491796000,-415000,8491796000,34516561000,0,211273000,724877000,4052764000,0.1070888802,3328302000,0.0879459387,-211688000,3116614000,0.0823523658,700625000,2415989000,0.0638392851,10.73,10.68,225148000,226297000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-28,DG,USD,0000029534,2022-03-18,2022-03-18 16:16:38,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/29534/000155837022003921/0001558370-22-003921-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837022003921/dg-20220128x10k.htm,income_statement,34220449000,23407443000,10813006000,0.3159808336,0,7475131000,117200000,7592331000,0,7592331000,30999774000,0,157526000,641316000,3861991000,0.112856234,3220675000,0.0941155097,-157526000,3063149000,0.0895122387,663917000,2399232000,0.0701110614,10.24,10.17,234261000,235812000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,DG,USD,0000029534,2021-03-19,2021-03-19 08:19:58,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/29534/000155837021003245/0001558370-21-003245-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837021003245/dg-20210129x10k.htm,income_statement,33746839000,23027977000,10718862000,0.3176256597,0,7056697000,107400000,7164097000,0,7164097000,30192074000,0,150385000,574237000,4129002000,0.1223522594,3554765000,0.1053362361,-150385000,3404380000,0.1008799669,749330000,2655050000,0.0786755168,10.7,10.62,248171000,250076000,,,,,,,,,,,,,,,,,,,,,,,,,,,
