date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-02-01,DLTR,USD,0000935703,2025-03-26,2025-03-26 16:13:49,2024,FY,1256500000,0,1256500000,0,2672000000,5178700000,9107200000,8645700000,421200000,0,421200000,75700000,260600000,133600000,9536800000,0,18644000000,1705800000,1960700000,240300000,0,4679100000,8585900000,5869900000,0,0,210800000,6080700000,0,4399400000,14666600000,0,2200000,3941500000,-59200000,92900000,3977400000,3977400000,18644000000,0,18644000000,75700000,7830600000,6574100000,https://www.sec.gov/Archives/edgar/data/935703/000093570325000015/0000935703-25-000015-index.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570325000015/dltr-20250201.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-03,DLTR,USD,0000935703,2024-03-20,2024-03-20 16:30:22,2023,FY,425200000,0,425200000,0,2495800000,3211700000,6132700000,7494800000,423300000,0,423300000,0,9000000,7963700000,15890800000,0,22023500000,1167100000,899800000,198500000,0,2431300000,4696700000,6468600000,0,841100000,2704000000,10013700000,0,3942100000,14710400000,0,2200000,7124600000,-43600000,229900000,7313100000,7313100000,22023500000,0,22023500000,0,7368400000,6943200000,https://www.sec.gov/Archives/edgar/data/935703/000093570324000011/0000935703-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570324000011/dltr-20240203.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-28,DLTR,USD,0000935703,2023-03-10,2023-03-10 16:04:41,2022,FY,642800000,0,642800000,0,5449300000,275000000,6367100000,11430200000,1983100000,3100000000,5083100000,0,15000000,126700000,16655000000,0,23022100000,1899800000,1449600000,311800000,0,564000000,4225200000,8676900000,0,1105700000,262800000,10045400000,0,6704900000,14270600000,0,2200000,8123000000,-41200000,667500000,8751500000,8751500000,23022100000,0,23022100000,0,10126500000,9483700000,https://www.sec.gov/Archives/edgar/data/935703/000093570323000016/0000935703-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570323000016/dltr-20230128.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-29,DLTR,USD,0000935703,2022-03-15,2022-03-15 08:07:20,2021,FY,984900000,0,984900000,0,4367300000,257000000,5609200000,10902600000,1984400000,3100000000,5084400000,0,20300000,105300000,16112600000,0,21721800000,1884200000,1407800000,396100000,0,488500000,4176600000,8562500000,0,987200000,277000000,9826700000,0,6553300000,14003300000,0,2200000,6507600000,-35200000,1243900000,7718500000,7718500000,21721800000,0,21721800000,0,9970300000,8985400000,https://www.sec.gov/Archives/edgar/data/935703/000093570322000020/0000935703-22-000020-index.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570322000020/dltr-20220129.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,DLTR,USD,0000935703,2021-03-16,2021-03-16 08:50:43,2020,FY,1416700000,0,1416700000,0,3427000000,207100000,5050800000,10440400000,1984400000,3100000000,5084400000,0,23200000,97200000,15645200000,0,20696000000,1480500000,1348200000,391300000,0,510300000,3730300000,8291700000,0,1013500000,375200000,9680400000,0,6413700000,13410700000,0,2300000,5179700000,-35200000,2138500000,7285300000,7285300000,20696000000,0,20696000000,0,9639900000,8223200000,https://www.sec.gov/Archives/edgar/data/935703/000093570321000014/0000935703-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570321000014/dltr-20210130.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-01,DLTR,USD,0000935703,2025-03-26,2025-03-26 16:13:49,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/935703/000093570325000015/0000935703-25-000015-index.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570325000015/dltr-20250201.htm,income_statement,17578500000,11284100000,6294400000,0.3580737833,0,0,0,4832400000,0,4832400000,16116500000,0,107500000,526900000,2018000000,0.1147993287,1462000000,0.0831697813,-78400000,1383600000,0.0787097875,341100000,-3030100000,-0.1723753449,-14.05,-14.05,215700000,215900000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-03,DLTR,USD,0000935703,2024-03-20,2024-03-20 16:30:22,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/935703/000093570324000011/0000935703-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570324000011/dltr-20240203.htm,income_statement,16781100000,10761400000,6019700000,0.3587190351,0,0,0,4245200000,0,4245200000,15006600000,0,112500000,400500000,2174900000,0.129604138,1774500000,0.105743962,-112600000,1661900000,0.0990340323,396100000,-998400000,-0.0594955039,-4.55,-4.55,219500000,219500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-28,DLTR,USD,0000935703,2023-03-10,2023-03-10 16:04:41,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/935703/000093570323000016/0000935703-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570323000016/dltr-20230128.htm,income_statement,15411500000,9630200000,5781300000,0.3751289621,0,0,0,3682000000,0,3682000000,13312200000,0,127200000,365300000,2464200000,0.159893586,2099300000,0.1362164617,-127600000,1971700000,0.1279369302,471600000,1615400000,0.1048178308,7.24,7.21,223200000,224100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-29,DLTR,USD,0000935703,2022-03-15,2022-03-15 08:07:20,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/935703/000093570322000020/0000935703-22-000020-index.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570322000020/dltr-20220129.htm,income_statement,26321200000,18583900000,7737300000,0.2939569624,0,0,0,5925900000,0,5925900000,24509800000,0,178900000,716000000,2527100000,0.0960100603,1811400000,0.0688190508,-179200000,1632200000,0.0620108506,304300000,1327900000,0.0504498275,5.83,5.8,227900000,229000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,DLTR,USD,0000935703,2021-03-16,2021-03-16 08:50:43,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/935703/000093570321000014/0000935703-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570321000014/dltr-20210130.htm,income_statement,25509300000,17721000000,7788300000,0.3053121803,0,0,0,5900400000,0,5900400000,23621400000,0,147300000,686600000,2573700000,0.1008926156,1887900000,0.0740083029,-148100000,1739800000,0.0682025771,397900000,1341900000,0.0526043443,5.68,5.65,236400000,237300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
