date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-04-30,ESTC,USD,0001707753,2025-06-10,2025-06-09 18:08:47,2025,FY,727543000,669717000,1397260000,375613000,0,158134000,1931007000,28923000,319417000,11404000,330821000,0,168045000,134057000,661846000,0,2592853000,17150000,8928000,31569000,802117000,148492000,1008256000,586086000,50340000,0,20937000,657363000,0,25285000,1665619000,0,1112000,-1099721000,-23204000,2049047000,927234000,927234000,2592853000,0,2592853000,669717000,595014000,-132529000,https://www.sec.gov/Archives/edgar/data/1707753/000170775325000021/0001707753-25-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775325000021/estc-20250430.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,ESTC,USD,0001707753,2024-06-14,2024-06-14 16:10:20,2024,FY,540397000,544002000,1084399000,323011000,0,123487000,1530897000,25959000,319380000,20620000,340000000,0,225544000,120166000,711669000,0,2242566000,26075000,12187000,10596000,663846000,158387000,871091000,581510000,30293000,0,21487000,633290000,0,25085000,1504381000,0,1070000,-991607000,-21638000,1750360000,738185000,738185000,2242566000,0,2242566000,544002000,593697000,53300000,https://www.sec.gov/Archives/edgar/data/1707753/000170775324000014/0001707753-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775324000014/estc-20240430.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-30,ESTC,USD,0001707753,2023-06-16,2023-06-16 16:04:15,2023,FY,644167000,271041000,915208000,260919000,0,98153000,1274280000,25089000,303642000,29104000,332746000,0,7412000,103955000,469202000,0,1743482000,35151000,12749000,19141000,528704000,120874000,716619000,581485000,34248000,0,12233000,627966000,0,26691000,1344585000,0,1024000,-1053327000,-20015000,1471215000,398897000,398897000,1743482000,0,1743482000,271041000,594234000,-49933000,https://www.sec.gov/Archives/edgar/data/1707753/000170775323000021/0001707753-23-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775323000021/estc-20230430.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30,ESTC,USD,0001707753,2022-06-21,2022-06-21 17:10:05,2022,FY,860949000,0,860949000,215228000,0,87531000,1163708000,32644000,303906000,45800000,349706000,0,5811000,91062000,479223000,0,1642931000,28403000,11219000,13212000,431776000,108720000,593330000,583002000,33518000,0,17648000,634168000,0,27701000,1227498000,0,990000,-817166000,-18130000,1249739000,415433000,415433000,1642931000,0,1642931000,0,594221000,-266728000,https://www.sec.gov/Archives/edgar/data/1707753/000170775322000025/0001707753-22-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775322000025/estc-20220430.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,ESTC,USD,0001707753,2021-06-25,2021-06-25 08:30:56,2021,FY,400814000,0,400814000,160415000,0,75985000,637214000,34345000,198851000,36286000,235137000,0,3697000,62779000,335958000,0,973172000,7248000,8528000,10089000,352805000,71345000,450015000,19649000,44895000,0,7782000,72326000,0,28177000,522341000,0,948000,-613318000,-8105000,1071306000,450831000,450831000,973172000,0,973172000,0,28177000,-372637000,https://www.sec.gov/Archives/edgar/data/1707753/000170775321000026/0001707753-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775321000026/estc-20210430.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30,ESTC,USD,0001707753,2025-06-10,2025-06-09 18:08:47,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1707753/000170775325000021/0001707753-25-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775325000021/estc-20250430.htm,income_statement,1483296000,379873000,1103423000,0.743899397,365758000,175186000,617176000,792362000,225000,1158345000,1538218000,0,25307000,12315000,6053000,0.0040807769,-54922000,-0.0370269993,23353000,-31569000,-0.0212830076,76545000,-108114000,-0.0728876772,-1.04,-1.04,103662000,103662000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,ESTC,USD,0001707753,2024-06-14,2024-06-14 16:10:20,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1707753/000170775324000014/0001707753-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775324000014/estc-20240430.htm,income_statement,1267321000,330079000,937242000,0.7395458609,341951000,160628000,559648000,720276000,4917000,1067144000,1397223000,0,26132000,17999000,-78625000,-0.0620403197,-129902000,-0.1025012605,7146000,-122756000,-0.0968625944,-184476000,61720000,0.0487011578,0.62,0.59,99646231,103980132,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-30,ESTC,USD,0001707753,2023-06-16,2023-06-16 16:04:15,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1707753/000170775323000021/0001707753-23-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775323000021/estc-20230430.htm,income_statement,1068989000,296626000,772363000,0.722517257,313454000,143247000,503537000,646784000,31297000,991535000,1288161000,0,25159000,20233000,-171485000,-0.1604179276,-219172000,-0.205027367,2295000,-216877000,-0.2028804787,19284000,-236161000,-0.2209199533,-2.47,-2.47,95729844,95729844,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30,ESTC,USD,0001707753,2022-06-21,2022-06-21 17:10:05,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1707753/000170775322000025/0001707753-22-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775322000025/estc-20220430.htm,income_statement,862374000,232194000,630180000,0.7307502313,273761000,123441000,406658000,530099000,0,803860000,1036054000,0,20716000,19728000,-157345000,-0.1824556399,-173680000,-0.2013975375,-24109000,-197789000,-0.2293540854,6059000,-203848000,-0.2363800393,-2.2,-2.2,92547145,92547145,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,ESTC,USD,0001707753,2021-06-25,2021-06-25 08:30:56,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1707753/000170775321000026/0001707753-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775321000026/estc-20210430.htm,income_statement,608489000,161054000,447435000,0.7353214273,199203000,103833000,273877000,377710000,0,576913000,737967000,0,185000,17237000,-104292000,-0.1713950458,-129478000,-0.212786098,7764000,-121714000,-0.2000266233,7720000,-129434000,-0.2127137878,-1.48,-1.48,87207094,87207094,,,,,,,,,,,,,,,,,,,,,,,,,,,
