date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,FCX,USD,0000831259,2026-01-22,2026-01-22 08:06:58,2025,FY,4054000000,0,4054000000,977000000,0,8759000000,13790000000,40736000000,0,0,0,0,0,3641000000,44377000000,0,58167000000,0,466000000,456000000,0,5097000000,6019000000,0,0,4622000000,16760000000,21382000000,0,0,27401000000,0,163000000,1385000000,-305000000,17656000000,18899000000,30766000000,58167000000,11867000000,58167000000,0,466000000,-3588000000,https://www.sec.gov/Archives/edgar/data/831259/000083125926000006/0000831259-26-000006-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125926000006/a4q2025exhibit991.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,FCX,USD,0000831259,2025-02-14,2025-02-14 17:00:48,2024,FY,3923000000,0,3923000000,1142000000,6808000000,1423000000,13296000000,38514000000,0,428000000,428000000,456000000,0,2154000000,41552000000,0,54848000000,2789000000,139000000,989000000,91000000,1488000000,5496000000,9599000000,0,4376000000,6599000000,20574000000,0,790000000,26070000000,0,162000000,-170000000,-314000000,17903000000,17581000000,28778000000,54848000000,11197000000,54848000000,456000000,9738000000,5815000000,https://www.sec.gov/Archives/edgar/data/831259/000083125925000006/0000831259-25-000006-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125925000006/fcx-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,FCX,USD,0000831259,2024-02-16,2024-02-15 18:00:31,2023,FY,4758000000,0,4758000000,1664000000,6060000000,1583000000,14065000000,35295000000,0,422000000,422000000,207000000,0,2517000000,38441000000,0,52506000000,2466000000,850000000,786000000,161000000,1552000000,5815000000,9003000000,0,4453000000,5925000000,19381000000,0,347000000,25196000000,0,162000000,-2059000000,-274000000,18864000000,16693000000,27310000000,52506000000,10617000000,52506000000,207000000,9853000000,5095000000,https://www.sec.gov/Archives/edgar/data/831259/000083125924000011/0000831259-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125924000011/fcx-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,FCX,USD,0000831259,2023-02-15,2023-02-15 17:00:47,2022,FY,8146000000,0,8146000000,1795000000,5180000000,492000000,15613000000,32627000000,0,416000000,416000000,262000000,4269000000,-2094000000,35480000000,0,51093000000,2701000000,1075000000,744000000,76000000,1749000000,6345000000,9877000000,0,4269000000,5731000000,19877000000,0,332000000,26222000000,0,161000000,-3907000000,-320000000,19621000000,15555000000,24871000000,51093000000,9316000000,51093000000,262000000,10952000000,2806000000,https://www.sec.gov/Archives/edgar/data/831259/000083125923000013/0000831259-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125923000013/fcx-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,FCX,USD,0000831259,2022-02-15,2022-02-15 15:08:57,2021,FY,8068000000,0,8068000000,1742000000,4497000000,523000000,14830000000,30345000000,0,412000000,412000000,232000000,-644000000,2847000000,33192000000,0,48022000000,2035000000,410000000,1541000000,191000000,1715000000,5892000000,9359000000,0,4234000000,5518000000,19111000000,0,319000000,25003000000,0,160000000,-7375000000,-388000000,21583000000,13980000000,23019000000,48022000000,9039000000,48022000000,232000000,9769000000,1701000000,https://www.sec.gov/Archives/edgar/data/831259/000083125922000009/0000831259-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125922000009/fcx-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,FCX,USD,0000831259,2026-01-22,2026-01-22 08:06:58,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/831259/000083125926000006/0000831259-26-000006-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125926000006/a4q2025exhibit991.htm,income_statement,25741000000,18796000000,6945000000,0.269803038,0,0,0,545000000,110000000,655000000,19451000000,0,369000000,2244000000,8757000000,0.3401965736,6290000000,0.2443572511,82000000,6372000000,0.2475428305,1817000000,2760000000,0.1072219416,1.51,1.52,1443000000,1443000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,FCX,USD,0000831259,2025-02-14,2025-02-14 17:00:48,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/831259/000083125925000006/0000831259-25-000006-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125925000006/fcx-20241231.htm,income_statement,25455000000,17952000000,7503000000,0.2947554508,0,0,0,513000000,127000000,640000000,18592000000,0,319000000,2241000000,9467000000,0.3719112159,6864000000,0.2696523276,58000000,6922000000,0.2719308584,2523000000,1883000000,0.073973679,1.31,1.3,1445000000,1445000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,FCX,USD,0000831259,2024-02-16,2024-02-15 18:00:31,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/831259/000083125924000011/0000831259-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125924000011/fcx-20231231.htm,income_statement,22707000000,15826000000,6881000000,0.3030343066,0,0,0,479000000,319000000,798000000,16624000000,0,515000000,2068000000,8589000000,0.378253402,6083000000,0.2678909587,-62000000,6021000000,0.2651605232,2270000000,1842000000,0.0811203594,1.2845,1.2765,1434000000,1443000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,FCX,USD,0000831259,2023-02-15,2023-02-15 17:00:47,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/831259/000083125923000013/0000831259-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125923000013/fcx-20221231.htm,income_statement,23334000000,15241000000,8093000000,0.3468329476,0,0,0,420000000,121000000,541000000,15782000000,0,560000000,2019000000,9294000000,0.3983029056,7552000000,0.3236478958,-806000000,6746000000,0.2891060255,2267000000,3461000000,0.1483243336,2.4018,2.3852,1441000000,1451000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,FCX,USD,0000831259,2022-02-15,2022-02-15 15:08:57,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/831259/000083125922000009/0000831259-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125922000009/fcx-20211231.htm,income_statement,22357000000,14070000000,8287000000,0.3706669052,0,0,0,383000000,91000000,474000000,14544000000,0,602000000,1998000000,10259000000,0.4588719417,7813000000,0.3494654918,-149000000,7664000000,0.3428009125,2299000000,4299000000,0.1922887686,2.9325,2.9008,1466000000,1482000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
