date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,FTNT,USD,0001262039,2026-02-05,2026-02-05 16:07:06,2025,FY,2495300000,1087200000,3582500000,1691200000,399500000,227000000,5900200000,1619000000,354700000,0,354700000,339700000,0,2175600000,4489000000,0,10389200000,230800000,499700000,0,0,4303500000,5034000000,496600000,3479800000,0,141300000,4117700000,0,0,9151700000,0,700000,-507900000,-25399999,1770100000,1237500000,1237500000,10389200000,0,10389200000,1426900000,996300000,-1499000000,https://www.sec.gov/Archives/edgar/data/1262039/000126203926000003/0001262039-26-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203926000003/ftntq4-2025ex991.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,FTNT,USD,0001262039,2025-02-21,2025-02-21 17:25:20,2024,FY,2875900000,1190600000,4066500000,1463400000,315500000,126100000,5971500000,1349500000,235400000,115000000,350400000,0,1335600000,756100000,3791600000,0,9763100000,190900000,0,0,3276200000,593600000,4060700000,994300000,3084700000,0,129600000,4208600000,0,0,8269300000,0,800000,-117100000,-26100000,1636200000,1493800000,1493800000,9763100000,0,9763100000,1190600000,994300000,-1881600000,https://www.sec.gov/Archives/edgar/data/1262039/000126203925000011/0001262039-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203925000011/ftnt-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,FTNT,USD,0001262039,2024-02-26,2024-02-23 18:25:06,2023,FY,1397900000,1042500000,2440400000,1402000000,484800000,101100000,4428300000,1044400000,126500000,35300000,161800000,0,868800000,755600000,2830600000,0,7258900000,204300000,0,63600000,2848700000,602400000,3719000000,992300000,2886300000,0,124700000,4003300000,0,0,7722300000,0,800000,-1861700000,-18900000,1416400000,-463400000,-463400000,7258900000,0,7258900000,1042500000,992300000,-405600000,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000014/0001262039-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000014/ftnt-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,FTNT,USD,0001262039,2023-02-24,2023-02-23 21:22:11,2022,FY,1682900000,528100000,2211000000,1261700000,264600000,73100000,3810400000,898500000,128000000,56000000,184000000,45500000,569400000,720200000,2417600000,0,6228000000,243400000,0,67800000,2349300000,417900000,3078400000,990400000,2291000000,0,149800000,3431200000,0,0,6509600000,0,800000,-1546400000,-20200000,1284200000,-281600000,-281600000,6228000000,0,6228000000,573600000,990400000,-692500000,https://www.sec.gov/Archives/edgar/data/1262039/000126203923000010/0001262039-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203923000010/ftnt-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,FTNT,USD,0001262039,2022-02-25,2022-02-25 16:15:15,2021,FY,1319100000,1232600000,2551700000,807700000,175800000,65400000,3600600000,687600000,125100000,63600000,188700000,440800000,342300000,659100000,2318500000,0,5919100000,148400000,0,79500000,1777400000,312800000,2318100000,988400000,1675500000,0,138700000,2802600000,0,0,5120700000,0,800000,-467900000,-4800000,1253600000,781700000,798400000,5919100000,16700000,5919100000,1673400000,988400000,-330700000,https://www.sec.gov/Archives/edgar/data/1262039/000126203922000008/0001262039-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203922000008/ftnt-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,FTNT,USD,0001262039,2026-02-05,2026-02-05 16:07:06,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1262039/000126203926000003/0001262039-26-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203926000003/ftntq4-2025ex991.htm,income_statement,6799600000,1302600000,5497000000,0.8084299076,815500000,233400000,2347500000,2580900000,20000000,3416400000,4719000000,162299999,20100000,152000000,2423100000,0.3563591976,2082000000,0.306194482,210499999,2292499999,0.3371521853,439100000,1853400000,0.2725748573,2.44,2.43,743100000,748000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,FTNT,USD,0001262039,2025-02-21,2025-02-21 17:25:20,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1262039/000126203925000011/0001262039-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203925000011/ftnt-20241231.htm,income_statement,5955800000,1157600000,4798200000,0.8056348433,716800000,237800000,2044800000,2282600000,-4600000,2994800000,4152400000,155200000,20000000,122800000,2201300000,0.3696060983,1803400000,0.3027972732,225700000,2029100000,0.3406931059,283900000,1745200000,0.2930252863,2.28,2.26,764400000,771900000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,FTNT,USD,0001262039,2024-02-26,2024-02-23 18:25:06,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000014/0001262039-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000014/ftnt-20231231.htm,income_statement,5304800000,1237200000,4067600000,0.7667772583,613800000,211300000,2006000000,2217300000,-4600000,2826500000,4063700000,119700000,21000000,113400000,1468100000,0.2767493591,1241100000,0.2339579249,50500000,1291600000,0.2434776052,143800000,1147800000,0.2163700799,1.47,1.46,778600000,788200000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,FTNT,USD,0001262039,2023-02-24,2023-02-23 21:22:11,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1262039/000126203923000010/0001262039-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203923000010/ftnt-20221231.htm,income_statement,4417400000,1084900000,3332500000,0.7544030425,512400000,169000000,1686100000,1855100000,-4600000,2362900000,3447800000,17400000,18000000,104300000,1077800000,0.2439896772,969600000,0.2194956309,-82200000,887400000,0.2008873998,30800000,857300000,0.1940734369,1.08,1.06,791400000,805300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,FTNT,USD,0001262039,2022-02-25,2022-02-25 16:15:15,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1262039/000126203922000008/0001262039-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203922000008/ftnt-20211231.htm,income_statement,3342200000,783000000,2559200000,0.7657231764,424200000,143500000,1345700000,1489200000,-4600000,1908800000,2691800000,4500000,14900000,84400000,727700000,0.217730836,650400000,0.1946023577,-29600000,620800000,0.1857459159,14100000,606800000,0.1815570582,0.74,0.73,816000000,835500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
