date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,FUTU,HKD,0001754581,2025-04-14,2025-04-14 06:04:24,2024,FY,11688383000,2732365000,14420748000,72600373000,0,68864764000,155885885000,440796000,0,85644000,85644000,573190000,111871000,1659547000,2871048000,0,158756933000,117174317000,8421275000,772158000,0,4243737000,130611487000,132924000,0,4882000,3179000,140985000,0,277281000,130752472000,0,99000,14652946000,-249916000,13608112000,28011241000,28004461000,158756933000,-6780000,158756933000,3305555000,8554199000,-3134184000,https://www.sec.gov/Archives/edgar/data/1754581/000141057825000706/0001410578-25-000706-index.htm,https://www.sec.gov/Archives/edgar/data/1754581/000141057825000706/futu-20241231x20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,FUTU,HKD,0001754581,2024-04-24,2024-04-24 16:02:21,2023,FY,4937538000,3253192000,8190730000,42676069000,0,44560712000,95427511000,349056000,0,72071000,72071000,238556000,96820000,951833000,1708336000,0,97135847000,64654329000,5766247000,358832000,0,1649190000,72428598000,123335000,0,6326000,5857000,135518000,0,238017000,72564116000,0,98000,11360890000,-49433000,13257181000,24568736000,24571731000,97135847000,2995000,97135847000,3491748000,5889582000,952044000,https://www.sec.gov/Archives/edgar/data/1754581/000110465924051213/0001104659-24-051213-index.htm,https://www.sec.gov/Archives/edgar/data/1754581/000110465924051213/futu-20231231x20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,FUTU,HKD,0001754581,2023-04-24,2023-04-24 06:15:16,2022,FY,5028898000,712924000,5741822000,36505028000,0,100055000,42346905000,342701000,0,54448000,54448000,26899305000,84564000,24774907000,52155925000,0,94502830000,69176872000,2589948000,267619000,1225000,734709000,72770373000,101727000,4590000,7414000,756947000,870678000,0,211143000,73641051000,0,97000,7079416000,-47846000,13829877000,20861544000,20861779000,94502830000,235000,94502830000,27612229000,2691675000,-2337223000,https://www.sec.gov/Archives/edgar/data/1754581/000110465923048600/0001104659-23-048600-index.htm,https://www.sec.gov/Archives/edgar/data/1754581/000110465923048600/futu-20221231x20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,FUTU,HKD,0001754581,2022-03-18,2022-03-18 08:01:36,2021,FY,4555096000,1275944000,5831040000,40035100000,0,67865000,45934005000,419616000,0,17218000,17218000,29488901000,38317000,25640457000,55604509000,0,101538514000,67192503000,15389987000,494744000,3058000,226641000,83306933000,6521124000,5910000,636000,-9281648000,-2753978000,0,260579000,80552955000,0,96000,4152472000,75994000,16756997000,20985559000,20985559000,101538514000,0,101538514000,30764845000,21911111000,17356015000,https://www.sec.gov/Archives/edgar/data/1754581/000110465922035332/0001104659-22-035332-index.htm,https://www.sec.gov/Archives/edgar/data/1754581/000110465922035332/futu-20211231x20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,FUTU,HKD,0001754581,2021-03-26,2021-03-26 06:15:46,2020,FY,1034668000,300000000,1334668000,26902398000,0,42605399000,70842465000,317179000,0,10216000,10216000,0,17174000,150733000,495302000,0,71337767000,51053624000,11002188000,173911000,2958000,627483000,62860164000,5608935000,5291000,1604000,-5445917000,169913000,0,222231000,63030077000,0,85000,1342262000,4974000,6960369000,8307690000,8307690000,71337767000,0,71337767000,300000000,16611123000,15576455000,https://www.sec.gov/Archives/edgar/data/1754581/000110465921041771/0001104659-21-041771-index.htm,https://www.sec.gov/Archives/edgar/data/1754581/000110465921041771/futu-20201231x20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,FUTU,HKD,0001754581,2025-04-14,2025-04-14 06:04:24,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1754581/000141057825000706/0001410578-25-000706-index.htm,https://www.sec.gov/Archives/edgar/data/1754581/000141057825000706/futu-20241231x20f.htm,income_statement,13590125000,2445471000,11144654000,0.8200552975,1493620000,1620017000,1409313000,3029330000,0,4522950000,6968421000,0,0,175505000,6797209000,0.5001579456,6621704000,0.4872437891,-190306000,6431398000,0.4732405331,998342000,5443094000,0.4005183175,39.44,38.88,139997000,140060000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,FUTU,HKD,0001754581,2024-04-24,2024-04-24 16:02:21,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1754581/000110465924051213/0001104659-24-051213-index.htm,https://www.sec.gov/Archives/edgar/data/1754581/000110465924051213/futu-20231231x20f.htm,income_statement,10008418000,1536230000,8472188000,0.8465062111,1440893000,1313464000,710348000,2023812000,0,3464705000,5000935000,0,0,171206000,5178689000,0.5174333246,5007483000,0.5003271246,19945000,5027428000,0.5023199471,748479000,4281474000,0.4277872887,31.04,30.56,139957000,139957000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,FUTU,HKD,0001754581,2023-04-24,2023-04-24 06:15:16,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1754581/000110465923048600/0001104659-23-048600-index.htm,https://www.sec.gov/Archives/edgar/data/1754581/000110465923048600/futu-20221231x20f.htm,income_statement,7614027000,996132000,6617895000,0.8691714647,1222077000,931144000,895772000,1826916000,0,3048993000,4045125000,3214327000,292503000,149647000,3718549000,0.4883813782,3568902000,0.4687272583,-228047000,3340855000,0.4387763532,413962000,2926944000,0.3844147125,20.56,20.32,142422000,143878000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,FUTU,HKD,0001754581,2022-03-18,2022-03-18 08:01:36,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1754581/000110465922035332/0001104659-22-035332-index.htm,https://www.sec.gov/Archives/edgar/data/1754581/000110465922035332/futu-20211231x20f.htm,income_statement,7115320000,1206064000,5909256000,0.8304975742,805325000,529048000,1392070000,1921118000,0,2726443000,3932507000,2518198000,376902000,120131000,3302944000,0.4642017506,3182813000,0.4473183216,2478000,3185291000,0.4476665842,375081000,2810210000,0.394952019,18.72,18.4,150114000,152459000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,FUTU,HKD,0001754581,2021-03-26,2021-03-26 06:15:46,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1754581/000110465921041771/0001104659-21-041771-index.htm,https://www.sec.gov/Archives/edgar/data/1754581/000110465921041771/futu-20201231x20f.htm,income_statement,3310822000,695954000,2614868000,0.7897941961,513283000,248404000,385320000,633724000,0,1147007000,1842961000,965627000,185090000,79779000,1547640000,0.4674488692,1467861000,0.4433524363,-17545000,1450316000,0.4380531481,124793000,1325523000,0.4003606959,10.24,10.08,129608000,131268000,,,,,,,,,,,,,,,,,,,,,,,,,,,
