date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,GLW,USD,0000024741,2026-01-28,2026-01-28 07:05:33,2025,FY,1526000000,0,1526000000,2779000000,3077000000,1554000000,8936000000,14825000000,2489000000,657000000,3146000000,0,1515000000,2554000000,22040000000,0,30976000000,1934000000,804000000,0,0,2890000000,5628000000,7630000000,0,0,5411000000,13041000000,0,0,18669000000,0,924000000,16551000000,-2105000000,-3563000000,11807000000,12307000000,30976000000,500000000,30976000000,0,8434000000,6908000000,https://www.sec.gov/Archives/edgar/data/24741/000002474126000034/0000024741-26-000034-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000002474126000034/glw-20251231xex99xq42025.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,GLW,USD,0000024741,2025-02-13,2025-02-13 13:15:45,2024,FY,1768000000,0,1768000000,2053000000,2724000000,1447000000,7992000000,14155000000,2363000000,752000000,3115000000,394000000,1130000000,949000000,19743000000,0,27735000000,1472000000,421000000,0,317000000,2709000000,4919000000,7670000000,1626000000,137000000,2313000000,11746000000,0,880000000,16665000000,0,921000000,15926000000,-2543000000,-3618000000,10686000000,11070000000,27735000000,384000000,27735000000,394000000,8091000000,6323000000,https://www.sec.gov/Archives/edgar/data/24741/000162828025005347/0001628280-25-005347-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000162828025005347/glw-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,GLW,USD,0000024741,2024-02-12,2024-02-12 13:58:00,2023,FY,1779000000,0,1779000000,1572000000,2666000000,1195000000,7212000000,15513000000,2380000000,905000000,3285000000,414000000,1153000000,923000000,21288000000,0,28500000000,1466000000,432000000,69000000,329000000,2023000000,4319000000,8052000000,1762000000,218000000,2281000000,12313000000,0,958000000,16632000000,0,916000000,16391000000,-2048000000,-3708000000,11551000000,11868000000,28500000000,317000000,28500000000,414000000,8484000000,6705000000,https://www.sec.gov/Archives/edgar/data/24741/000143774924003735/0001437749-24-003735-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000143774924003735/glw20231231_10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,GLW,USD,0000024741,2023-02-13,2023-02-13 15:17:42,2022,FY,1671000000,0,1671000000,1721000000,2904000000,1157000000,7453000000,16213000000,2394000000,1029000000,3423000000,360000000,1073000000,977000000,22046000000,0,29499000000,1804000000,335000000,127000000,276000000,2633000000,5175000000,7482000000,1862000000,243000000,2462000000,12049000000,0,906000000,17224000000,0,910000000,16778000000,-1830000000,-3850000000,12008000000,12275000000,29499000000,267000000,29499000000,360000000,7817000000,6146000000,https://www.sec.gov/Archives/edgar/data/24741/000143774923003123/0001437749-23-003123-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000143774923003123/glw20221231_10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,GLW,USD,0000024741,2022-02-14,2022-02-14 15:33:51,2021,FY,2148000000,0,2148000000,2004000000,2481000000,1026000000,7659000000,16545000000,2421000000,1148000000,3569000000,318000000,1066000000,997000000,22495000000,0,30154000000,1612000000,149000000,196000000,371000000,2478000000,4806000000,7680000000,1836000000,258000000,3029000000,12803000000,0,785000000,17609000000,0,907000000,16389000000,-1175000000,-3788000000,12333000000,12545000000,30154000000,212000000,30154000000,318000000,7829000000,5681000000,https://www.sec.gov/Archives/edgar/data/24741/000143774922003247/0001437749-22-003247-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000143774922003247/glw20211231_10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,GLW,USD,0000024741,2026-01-28,2026-01-28 07:05:33,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/24741/000002474126000034/0000024741-26-000034-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000002474126000034/glw-20251231xex99xq42025.htm,income_statement,15629000000,10115000000,5514000000,0.3528056817,1110000000,0,0,2073000000,0,3183000000,13298000000,38000000,336000000,1347000000,3735000000,0.2389788214,2331000000,0.1491458187,-279000000,2052000000,0.1312943886,310000000,1596000000,0.1021178578,1.86,1.85,860000000,860000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,GLW,USD,0000024741,2025-02-13,2025-02-13 13:15:45,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/24741/000162828025005347/0001628280-25-005347-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000162828025005347/glw-20241231.htm,income_statement,13118000000,8842000000,4276000000,0.3259643238,1089000000,0,0,1931000000,121000000,3141000000,11983000000,47000000,329000000,1350000000,2492000000,0.1899679829,1135000000,0.0865223357,-322000000,813000000,0.061975911,221000000,506000000,0.0385729532,0.59,0.58,853000000,869000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,GLW,USD,0000024741,2024-02-12,2024-02-12 13:58:00,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/24741/000143774924003735/0001437749-24-003735-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000143774924003735/glw20231231_10k.htm,income_statement,12588000000,8657000000,3931000000,0.312281538,1076000000,0,0,1843000000,122000000,3041000000,11698000000,38000000,329000000,1369000000,2514000000,0.1997140133,890000000,0.0707022561,-74000000,816000000,0.0648236416,168000000,581000000,0.0461550683,0.69,0.68,848000000,859000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,GLW,USD,0000024741,2023-02-13,2023-02-13 15:17:42,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/24741/000143774923003123/0001437749-23-003123-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000143774923003123/glw20221231_10k.htm,income_statement,14189000000,9683000000,4506000000,0.3175699486,1047000000,0,0,1898000000,123000000,3068000000,12751000000,15000000,292000000,1452000000,3541000000,0.2495595179,1438000000,0.1013461132,359000000,1797000000,0.1266474029,411000000,1316000000,0.0927479033,1.56,1.54,843000000,857000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,GLW,USD,0000024741,2022-02-14,2022-02-14 15:33:51,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/24741/000143774922003247/0001437749-22-003247-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000143774922003247/glw20211231_10k.htm,income_statement,14082000000,9019000000,5063000000,0.3595369976,995000000,0,0,1827000000,129000000,2951000000,11970000000,11000000,300000000,1481000000,4207000000,0.2987501775,2112000000,0.1499786962,314000000,2426000000,0.1722766652,491000000,1906000000,0.1353500923,1.3,1.28,828000000,844000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
