date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,GM,USD,0001467858,2026-01-27,2026-01-27 16:08:16,2025,FY,20945000000,6724000000,27669000000,13054000000,14467000000,53577000000,108767000000,85369000000,0,4366000000,4366000000,50947000000,22960000000,8875000000,172517000000,0,281284000000,23919000000,35668000000,0,0,33755000000,93342000000,94609000000,0,0,30164000000,124773000000,0,0,218115000000,0,9000000,51524000000,-10343000000,19929000000,61119000000,63168000000,281284000000,2049000000,281284000000,57671000000,130277000000,109332000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785826000013/0001467858-26-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785826000013/gm-20251231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,GM,USD,0001467858,2025-01-28,2025-01-28 15:40:05,2024,FY,19872000000,7265000000,27137000000,12827000000,14564000000,54017000000,108545000000,83490000000,1902000000,2650000000,4550000000,1000000,21254000000,61921000000,171216000000,0,279761000000,25680000000,39432000000,0,3371000000,27782000000,96265000000,91261000000,5940000000,0,20705000000,117906000000,0,961000000,214171000000,0,10000000,53472000000,-11253000000,20843000000,63072000000,65590000000,279761000000,2518000000,279761000000,7265000000,130693000000,110821000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785825000032/0001467858-25-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785825000032/gm-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,GM,USD,0001467858,2024-01-30,2024-01-30 15:40:20,2023,FY,18853000000,7613000000,26466000000,51454000000,16461000000,7237000000,101618000000,80903000000,1900000000,2941000000,4841000000,10613000000,22339000000,52750000000,171446000000,0,273064000000,28114000000,38968000000,0,2802000000,24561000000,94445000000,83680000000,5019000000,0,21613000000,110312000000,0,907000000,204757000000,0,12000000,55391000000,-10247000000,19130000000,64286000000,68307000000,273064000000,4021000000,273064000000,18226000000,122648000000,103795000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785824000031/0001467858-24-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785824000031/gm-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,GM,USD,0001467858,2023-01-31,2023-01-31 15:50:27,2022,FY,19153000000,12150000000,31303000000,46956000000,15366000000,6826000000,100451000000,77950000000,1900000000,3034000000,4934000000,10176000000,20539000000,49987000000,163586000000,0,264037000000,27486000000,38778000000,0,2489000000,22420000000,91173000000,76888000000,3552000000,0,20140000000,100580000000,0,967000000,191753000000,0,14000000,49251000000,-7901000000,26428000000,67792000000,72284000000,264037000000,4492000000,264037000000,22326000000,115666000000,96513000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785823000029/0001467858-23-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785823000029/gm-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,GM,USD,0001467858,2022-02-02,2022-02-02 06:10:21,2021,FY,20067000000,8609000000,28676000000,34043000000,12988000000,6396000000,82103000000,79044000000,1900000000,3173000000,5087000000,9677000000,21152000000,47655000000,162615000000,0,244718000000,20391000000,33720000000,0,2461000000,17836000000,74408000000,76671000000,3010000000,0,24814000000,104495000000,0,1012000000,178903000000,0,15000000,41937000000,-9269000000,27061000000,59744000000,65815000000,244718000000,6071000000,244718000000,18286000000,110391000000,90324000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785822000034/0001467858-22-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785822000034/gm-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,GM,USD,0001467858,2026-01-27,2026-01-27 16:08:16,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1467858/000146785826000013/0001467858-26-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785826000013/gm-20251231.htm,income_statement,185019000000,173423000000,11596000000,0.0626746442,0,0,0,8687000000,0,8687000000,182110000000,0,727000000,11980000000,15824000000,0.0855263513,2909000000,0.0157227096,208000000,3117000000,0.0168469184,338000000,2697000000,0.0145768813,3.33,3.27,919444000,973000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,GM,USD,0001467858,2025-01-28,2025-01-28 15:40:05,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1467858/000146785825000032/0001467858-25-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785825000032/gm-20241231.htm,income_statement,187442000000,164037000000,23405000000,0.1248652917,0,0,0,10621000000,0,10621000000,174658000000,967000000,846000000,12389000000,21754000000,0.1160572337,12784000000,0.0682024306,-4265000000,8519000000,0.0454487255,2556000000,6008000000,0.0320525816,6.45,6.37,1115000000,1129000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,GM,USD,0001467858,2024-01-30,2024-01-30 15:40:20,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1467858/000146785824000031/0001467858-24-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785824000031/gm-20231231.htm,income_statement,171842000000,152704000000,19138000000,0.1113697466,0,0,0,9840000000,0,9840000000,162544000000,1109000000,911000000,11888000000,23202000000,0.1350193783,9298000000,0.0541078433,1105000000,10403000000,0.0605381688,563000000,10127000000,0.0589320422,7.35,7.32,1364000000,1369000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,GM,USD,0001467858,2023-01-31,2023-01-31 15:50:27,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1467858/000146785823000029/0001467858-23-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785823000029/gm-20221231.htm,income_statement,156735000000,135754000000,20981000000,0.1338628896,0,0,0,10667000000,-1000000,10666000000,146420000000,460000000,987000000,11290000000,23874000000,0.1523207962,10315000000,0.0658117204,1282000000,11597000000,0.0739911315,1888000000,9934000000,0.0633808658,6.17,6.13,1445000000,1454000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,GM,USD,0001467858,2022-02-02,2022-02-02 06:10:21,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1467858/000146785822000034/0001467858-22-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785822000034/gm-20211231.htm,income_statement,127004000000,109126000000,17878000000,0.1407672199,0,0,0,8554000000,0,8554000000,117680000000,146000000,950000000,12051000000,25717000000,0.2024896854,9324000000,0.0734150106,3392000000,12716000000,0.1001228308,2771000000,10019000000,0.0788872791,6.78,6.7,1451000000,1468000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
