date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,HAL,USD,0000045012,2026-02-06,2026-02-06 13:48:18,2025,FY,2206000000,0,2206000000,4942000000,2976000000,1274000000,11398000000,6199000000,2938000000,0,2938000000,0,2298000000,2177000000,13612000000,0,25010000000,3133000000,526000000,0,0,1929000000,5588000000,8582000000,0,0,335000000,8917000000,0,975000000,14505000000,0,2659000000,15036000000,-363000000,0,10505000000,10549000000,25010000000,44000000,25010000000,0,8845000000,6639000000,https://www.sec.gov/Archives/edgar/data/45012/000004501226000015/0000045012-26-000015-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501226000015/hal-20251231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,HAL,USD,0000045012,2025-02-12,2025-02-12 15:03:21,2024,FY,2618000000,0,2618000000,5117000000,3040000000,1607000000,12382000000,6135000000,2838000000,0,2838000000,0,2339000000,1893000000,13205000000,0,25587000000,3189000000,688000000,449000000,0,1724000000,6050000000,8084000000,0,0,905000000,8989000000,0,1231000000,15039000000,0,2662000000,14332000000,-353000000,-6135000000,10506000000,10548000000,25587000000,42000000,25587000000,0,8772000000,6154000000,https://www.sec.gov/Archives/edgar/data/45012/000004501225000010/0000045012-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501225000010/hal-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,HAL,USD,0000045012,2024-02-06,2024-02-06 14:42:35,2023,FY,2264000000,0,2264000000,4860000000,3226000000,1193000000,11543000000,5988000000,2850000000,0,2850000000,0,2505000000,1797000000,13140000000,0,24683000000,3147000000,556000000,760000000,0,1145000000,5608000000,8547000000,0,0,1095000000,9642000000,0,1173000000,15250000000,0,2663000000,12536000000,-331000000,-5477000000,9391000000,9433000000,24683000000,42000000,24683000000,0,8809000000,6545000000,https://www.sec.gov/Archives/edgar/data/45012/000004501224000007/0000045012-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501224000007/hal-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,HAL,USD,0000045012,2023-02-07,2023-02-07 13:18:02,2022,FY,2346000000,0,2346000000,4627000000,2923000000,1056000000,10952000000,5261000000,2829000000,0,2829000000,0,2636000000,1577000000,12303000000,0,23255000000,3121000000,474000000,643000000,0,1107000000,5345000000,8719000000,0,0,1214000000,9933000000,0,1015000000,15278000000,0,2664000000,10572000000,-230000000,-5058000000,7948000000,7977000000,23255000000,29000000,23255000000,0,8943000000,6597000000,https://www.sec.gov/Archives/edgar/data/45012/000004501223000011/0000045012-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501223000011/hal-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,HAL,USD,0000045012,2022-02-04,2022-02-04 13:14:35,2021,FY,3044000000,0,3044000000,3666000000,2361000000,872000000,9943000000,5260000000,2843000000,0,2843000000,349000000,2695000000,1231000000,12378000000,0,22321000000,2353000000,247000000,553000000,0,1153000000,4306000000,9972000000,0,0,1315000000,11287000000,0,1085000000,15593000000,0,2665000000,9710000000,-183000000,-5479000000,6713000000,6728000000,22321000000,15000000,22321000000,349000000,10219000000,7175000000,https://www.sec.gov/Archives/edgar/data/45012/000004501222000013/0000045012-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501222000013/hal-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,HAL,USD,0000045012,2026-02-06,2026-02-06 13:48:18,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/45012/000004501226000015/0000045012-26-000015-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501226000015/hal-20251231.htm,income_statement,22184000000,18687000000,3497000000,0.1576361342,0,246000000,0,246000000,599000000,845000000,19532000000,66000000,418000000,846000000,3037000000,0.1369004688,2652000000,0.1195456185,-881000000,1771000000,0.0798323116,479000000,1283000000,0.0578344753,1.51,1.5,839000000,840000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,HAL,USD,0000045012,2025-02-12,2025-02-12 15:03:21,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/45012/000004501225000010/0000045012-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501225000010/hal-20241231.htm,income_statement,22944000000,18643000000,4301000000,0.1874564156,0,239000000,0,239000000,240000000,479000000,19122000000,97000000,450000000,1079000000,4763000000,0.2075923989,3822000000,0.1665794979,-588000000,3234000000,0.1409518828,718000000,2501000000,0.1090045328,2.83,2.83,882000000,883000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,HAL,USD,0000045012,2024-02-06,2024-02-06 14:42:35,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/45012/000004501224000007/0000045012-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501224000007/hal-20231231.htm,income_statement,23018000000,18658000000,4360000000,0.189416978,0,226000000,0,226000000,51000000,277000000,18935000000,81000000,578000000,998000000,4939000000,0.2145712051,4083000000,0.1773829177,-720000000,3363000000,0.1461030498,701000000,2638000000,0.1146059606,2.93,2.92,899000000,902000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,HAL,USD,0000045012,2023-02-07,2023-02-07 13:18:02,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/45012/000004501223000011/0000045012-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501223000011/hal-20221231.htm,income_statement,20297000000,16984000000,3313000000,0.1632260925,0,240000000,0,240000000,366000000,606000000,17590000000,29000000,492000000,940000000,3542000000,0.1745085481,2707000000,0.1333694635,-597000000,2110000000,0.1039562497,515000000,1572000000,0.0774498694,1.74,1.73,904000000,908000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,HAL,USD,0000045012,2022-02-04,2022-02-04 13:14:35,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/45012/000004501222000013/0000045012-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501222000013/hal-20211231.htm,income_statement,15295000000,13279000000,2016000000,0.1318077803,321000000,204000000,0,204000000,-309000000,216000000,13495000000,9000000,529000000,904000000,2685000000,0.1755475646,1800000000,0.1176855181,-548000000,1252000000,0.081856816,-216000000,1457000000,0.0952598889,1.63,1.63,892000000,892000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,HAL,USD,0000045012,2026-02-06,2026-02-06 13:48:18,2025,FY,,,,,80000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/45012/000004501226000015/0000045012-26-000015-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501226000015/hal-20251231.htm,cash_flow,,,,,,,,,,,,,,1136000000,,,,,,,,,1292000000,,,,,,0,0,-333000000,188000000,-72000000,-333000000,831000000,2926000000,-1254000000,0,-565000000,564000000,-70000000,-1325000000,-389000000,98000000,-1007000000,-579000000,-12000000,-1987000000,-26000000,-412000000,2206000000,2618000000,2926000000,-1254000000,1672000000
2024-12-31,HAL,USD,0000045012,2025-02-12,2025-02-12 15:03:21,2024,FY,,,,,147000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/45012/000004501225000010/0000045012-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501225000010/hal-20241231.htm,cash_flow,,,,,,,,,,,,,,1079000000,,,,,,,,,2516000000,,,,,,148000000,0,-103000000,-312000000,62000000,0,225000000,3865000000,-1442000000,0,-438000000,214000000,12000000,-1654000000,-100000000,105000000,-1005000000,-600000000,-130000000,-1730000000,-127000000,354000000,2618000000,2264000000,3865000000,-1442000000,2423000000
2023-12-31,HAL,USD,0000045012,2024-02-06,2024-02-06 14:42:35,2023,FY,,,,,-303000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/45012/000004501224000007/0000045012-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501224000007/hal-20231231.htm,cash_flow,,,,,,,,,,,,,,998000000,,,,,,,,,2662000000,,,,,,196000000,0,-511000000,-257000000,49000000,0,113000000,3458000000,-1379000000,0,-492000000,131000000,81000000,-1659000000,-305000000,136000000,-800000000,-576000000,-126000000,-1671000000,-210000000,-82000000,2264000000,2346000000,3458000000,-1379000000,2079000000
2022-12-31,HAL,USD,0000045012,2023-02-07,2023-02-07 13:18:02,2022,FY,,,,,-642000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/45012/000004501223000011/0000045012-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501223000011/hal-20221231.htm,cash_flow,,,,,,,,,,,,,,940000000,,,,,,,,,1595000000,,,,,,70000000,0,-941000000,-1151000000,852000000,0,578000000,2242000000,-1011000000,0,-75000000,0,119000000,-967000000,-1242000000,229000000,-250000000,-435000000,-100000000,-1798000000,-175000000,-698000000,2346000000,3044000000,2242000000,-1011000000,1231000000
2021-12-31,HAL,USD,0000045012,2022-02-04,2022-02-04 13:14:35,2021,FY,,,,,-10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/45012/000004501222000013/0000045012-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501222000013/hal-20211231.htm,cash_flow,,,,,,,,,,,,,,904000000,,,,,,,,,1468000000,,,,,,-486000000,0,285000000,-500000000,795000000,0,-260000000,1911000000,-799000000,87000000,-5000000,0,183000000,-534000000,-700000000,79000000,0,-161000000,-56000000,-838000000,-58000000,481000000,3044000000,2563000000,1911000000,-799000000,1112000000
