date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,HUT,USD,0001964789,2024-12-31,2024-12-31 00:00:00,2024,FY,85044000,0,85044000,8062000,0,163735000,256841000,242274000,53082000,13273000,66355000,88393000,0,864997000,1262019000,0,1518860000,11290000,72437000,10554000,6199000,53475000,153955000,273212000,0,111114000,0,384326000,0,45064000,538281000,0,995000,231630000,-45553000,789597000,976669000,980579000,1518860000,3910000,1518860000,88393000,345649000,260605000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Hut 8 Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2030&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Hut 8 Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2030&Variable=Issuer,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,HUT,USD,0001964789,2023-12-31,2023-12-30 19:00:00,2023,FY,40819900,6544211,47364112,4398849,2,29489170,81252132,174850315,75944767,22894156,99205803,108990201,-476945,512573173,895619492,0,976871624,19726256,87160778,0,3560220,18245468,148418978,162609752,18983884,803027,22039080,185451859,0,0,333870838,0,1172235,-132192287,14189454,759831383,643000785,643000785,976871624,0,976871624,115534413,268754414,227934514,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Hut 8 Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2030&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Hut 8 Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2030&Variable=Issuer,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,HUT,CAD,0001964789,2023-06-30,2023-06-30 00:00:00,2022,FY,30515000,0,30515000,1589000,9892000,203627000,245623000,124959000,11543000,3592000,15135000,93583000,-93583000,27220000,167314000,0,412937000,5959000,16217000,0,1031000,967000,30133000,31202000,-1454000,1454000,212000,31414000,-6000000,0,55547000,98503000,767641000,-431073000,2122000,-79803000,357390000,357390000,412937000,0,412937000,93583000,47419000,16904000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,HUT,CAD,0001964789,2022-06-30,2022-06-30 00:00:00,2021,FY,140126642,0,140126642,647428,3359359,323945795,468079224,206886967,0,0,0,0,0,45742370,252629337,0,720708561,7067443,16494463,0,14839000,-19404516,26063833,24200015,0,5456114,99021368,128677497,0,0,154741330,98503000,636597470,-188259503,103540357,-84414093,565967231,565967231,720708561,0,720708561,0,40694478,-99432164,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,HUT,CAD,0001964789,2021-06-30,2021-06-30 00:00:00,2020,FY,6718000,3018000,9736000,0,0,47000,9783000,7416000,0,0,0,0,2097000,23868000,33381000,0,43164000,1462000,4291000,0,0,378000,6131000,307000,0,0,0,307000,0,506000,6438000,24648000,0,-9084000,0,21162000,36726000,36726000,43164000,0,43164000,3018000,4598000,-2120000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,HUT,USD,0001964789,2024-12-31,2024-12-31 00:00:00,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Hut 8 Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2030&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Hut 8 Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2030&Variable=Issuer,income_statement,162385000,86655000,75730000,0.4663608092,0,72917000,0,72917000,-457726000,-384809000,-298154000,0,29794000,47005000,528709000,3.2558980201,460539000,2.8360932352,-8629000,451910000,2.7829540906,113457000,331882000,2.0437971488,3.71,3.4,91320744,101047739,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,HUT,CAD,0001964789,2023-12-31,2023-12-29 19:00:00,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Hut 8 Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2030&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Hut 8 Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2030&Variable=Issuer,income_statement,96046000,54194000,41852000,0.4357495367,0,49133000,0,49133000,-16677000,32456000,86650000,0,24933000,11005000,57901000,0.6028465527,9396000,0.097828124,12567000,21963000,0.2286716782,190000,21850000,0.2274951586,0.57,0.56,47803123,49805421,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,HUT,CAD,0001964789,2023-06-30,2023-06-30 00:00:00,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,86737000,43112000,43625000,0.5029572155,0,27344000,0,27344000,84970000,112314000,155426000,922000,7592000,19075000,-19799000,-0.2282647544,-68689000,-0.7919227089,1880000,-66809000,-0.7702479911,-1198000,-65611000,-0.756436123,-6.47,-6.47,37553914,37553914,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,HUT,CAD,0001964789,2022-06-30,2022-06-30 00:00:00,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,79185000,25783000,53402000,0.6743954032,0,31325000,0,31325000,41892000,73217000,99000000,2853716,1355346,11993000,-7822000,-0.0987813348,-19815000,-0.2502367873,-6919000,-26734000,-0.3376144472,5069000,-31803000,-0.4016290964,-1.53,-1.53,26831231,26831231,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,HUT,CAD,0001964789,2021-06-30,2021-06-30 00:00:00,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,40710527,61810464,-21099937,-0.518291915,0,2567467,0,2567467,5645,2567467,64377931,8301,2449167,4749560,-2388540,-0.0586713112,-7138100,-0.1753379415,11129547,3991447,0.0980445918,-15048707,-19306098,-0.4742286436,1,1,18767444,18848778,,,,,,,,,,,,,,,,,,,,,,,,,,,
