date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,IBKR,USD,0001381197,2026-01-20,2026-01-20 16:02:18,2025,FY,4963000000,0,4963000000,90475000000,0,0,95438000000,0,0,0,0,0,0,0,0,107802000000,203240000000,154336000000,19000000,0,0,2922000000,157277000000,0,0,0,25491000000,25491000000,0,0,182768000000,0,0,0,0,5363000000,5363000000,20472000000,203240000000,15109000000,203240000000,0,19000000,-4944000000,https://www.sec.gov/Archives/edgar/data/1381197/000119312526016540/0001193125-26-016540-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000119312526016540/ibkr-ex99_1.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,IBKR,USD,0001381197,2025-02-27,2025-02-27 17:02:30,2024,FY,3633000000,0,3633000000,67074000000,0,64523000000,135230000000,0,0,48000000,48000000,13791000000,0,1073000000,14912000000,0,150142000000,116484000000,14000000,0,0,506000000,117004000000,16248000000,0,0,293000000,16541000000,0,0,133545000000,0,1000000,2515000000,-45000000,1809000000,4280000000,16597000000,150142000000,12317000000,150142000000,13791000000,16262000000,12629000000,https://www.sec.gov/Archives/edgar/data/1381197/000138119725000036/0001381197-25-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119725000036/ibkr-20241231x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,IBKR,USD,0001381197,2023-12-31,2023-12-30 19:00:00,2023,FY,3753000000,0,3753000000,46490000000,0,64292000000,114535000000,0,0,0,0,12761000000,0,955000000,13716000000,0,128251000000,102106000000,17000000,0,0,521000000,102644000000,11347000000,0,0,193000000,11540000000,0,0,114184000000,0,1000000,1852000000,8000000,1723000000,3584000000,14067000000,128251000000,10483000000,128251000000,12761000000,11364000000,7611000000,https://www.sec.gov/Archives/edgar/data/1381197/000138119724000083/0001381197-24-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119724000083/ibkr-20231231x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,IBKR,USD,0001381197,2023-02-24,2023-02-24 16:05:50,2022,FY,3436000000,0,3436000000,42570000000,0,57037000000,103043000000,0,0,0,0,11174000000,0,926000000,12100000000,0,115143000000,94017000000,18000000,0,0,407000000,94442000000,8940000000,0,0,146000000,9086000000,0,0,103528000000,0,1000000,1294000000,-22000000,1575000000,2848000000,11615000000,115143000000,8767000000,115143000000,11174000000,8958000000,5522000000,https://www.sec.gov/Archives/edgar/data/1381197/000138119723000014/0001381197-23-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119723000014/ibkr-20221231x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,IBKR,USD,0001381197,2022-02-25,2022-02-25 17:24:08,2021,FY,2395000000,0,2395000000,58833000000,0,38123000000,99351000000,0,0,0,0,8851000000,0,911000000,9762000000,0,109113000000,86683000000,27000000,0,0,230000000,86940000000,11769000000,0,0,182000000,11951000000,0,0,98891000000,0,1000000,953000000,4000000,1437000000,2395000000,10222000000,109113000000,7827000000,109113000000,8851000000,11796000000,9401000000,https://www.sec.gov/Archives/edgar/data/1381197/000138119722000010/0001381197-22-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119722000010/ibkr-20211231x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,IBKR,USD,0001381197,2026-01-20,2026-01-20 16:02:18,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1381197/000119312526016540/0001193125-26-016540-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000119312526016540/ibkr-ex99_1.htm,income_statement,10232000000,1046000000,9186000000,0.8977716966,0,279000000,0,279000000,109000000,388000000,1434000000,4173000000,4219000000,97000000,9087000000,0.8880961689,8798000000,0.8598514464,-4027000000,4771000000,0.4662822518,414000000,984000000,0.0961688819,2.23,2.22,445374664,447865539,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,IBKR,USD,0001381197,2025-02-27,2025-02-27 17:02:30,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1381197/000138119725000036/0001381197-25-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119725000036/ibkr-20241231x10k.htm,income_statement,9316000000,1021000000,8295000000,0.8904036067,0,353000000,0,353000000,101000000,454000000,1475000000,0,4191000000,101000000,7987000000,0.857342207,7841000000,0.8416702447,-4146000000,3695000000,0.3966294547,288000000,755000000,0.0810433663,1.75,1.73,432448000,436012000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,IBKR,USD,0001381197,2023-12-31,2023-12-30 19:00:00,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1381197/000138119724000083/0001381197-24-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119724000083/ibkr-20231231x10k.htm,income_statement,7787000000,913000000,6874000000,0.8827533068,0,252000000,0,252000000,99000000,351000000,1264000000,0,3436000000,99000000,6604000000,0.8480801336,6523000000,0.8376781816,-3454000000,3069000000,0.3941184025,257000000,600000000,0.0770514961,1.43,1.4175,419860000,423388000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,IBKR,USD,0001381197,2023-02-24,2023-02-24 16:05:50,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1381197/000138119723000014/0001381197-23-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119723000014/ibkr-20221231x10k.htm,income_statement,4192000000,778000000,3414000000,0.8144083969,0,198000000,0,198000000,90000000,288000000,1066000000,0,1018000000,90000000,3106000000,0.7409351145,3126000000,0.7457061069,-1128000000,1998000000,0.4766221374,156000000,380000000,0.090648855,0.945,0.9375,401840000,405200000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,IBKR,USD,0001381197,2022-02-25,2022-02-25 17:24:08,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1381197/000138119722000010/0001381197-22-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119722000010/ibkr-20211231x10k.htm,income_statement,2940000000,635000000,2305000000,0.7840136054,0,209000000,0,209000000,80000000,289000000,924000000,0,224000000,80000000,2091000000,0.7112244898,2016000000,0.6857142857,-229000000,1787000000,0.6078231293,151000000,308000000,0.1047619048,0.8175,0.81,376672000,380040000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,IBKR,USD,0001381197,2025-02-27,2025-02-27 17:02:30,2024,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1381197/000138119725000036/0001381197-25-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119725000036/ibkr-20241231x10k.htm,cash_flow,,,,,,,,,,,,,,96000000,,,,,,,,,3407000000,,,,,,-2000000,112000000,5075000000,-21204000000,14331000000,11948000000,36000000,8724000000,-49000000,0,-40000000,0,45000000,-44000000,-3000000,56000000,-54000000,-92000000,-740000000,-833000000,-207000000,7640000000,40233000000,32593000000,8724000000,-49000000,8675000000
2023-12-31,IBKR,USD,0001381197,2023-12-31,2023-12-30 19:00:00,2023,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1381197/000138119724000083/0001381197-24-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119724000083/ibkr-20231231x10k.htm,cash_flow,,,,,,,,,,,,,,94000000,,,,,,,,,2812000000,,,,,,30000000,100000000,1510000000,-4488000000,7817000000,-1819000000,-2000000,4544000000,-49000000,0,-26000000,0,23000000,-52000000,-1000000,34000000,-34000000,-42000000,-581000000,-624000000,122000000,3990000000,32593000000,28603000000,4544000000,-49000000,4495000000
2022-12-31,IBKR,USD,0001381197,2023-02-24,2023-02-24 16:05:50,2022,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1381197/000138119723000014/0001381197-23-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119723000014/ibkr-20221231x10k.htm,cash_flow,,,,,,,,,,,,,,84000000,,,,,,,,,1842000000,,,,,,20000000,92000000,1915000000,13774000000,7561000000,-19420000000,15000000,3968000000,-69000000,0,-5000000,0,7000000,-67000000,-9000000,23000000,-20000000,-40000000,-424000000,-470000000,-111000000,3320000000,28603000000,25283000000,3968000000,-69000000,3899000000
2021-12-31,IBKR,USD,0001381197,2022-02-25,2022-02-25 17:24:08,2021,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1381197/000138119722000010/0001381197-22-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119722000010/ibkr-20211231x10k.htm,cash_flow,,,,,,,,,,,,,,74000000,,,,,,,,,1636000000,,,,,,23000000,80000000,4063000000,-20689000000,9754000000,14998000000,20000000,5896000000,-77000000,0,-116000000,0,5000000,-188000000,-92000000,26000000,-27000000,-38000000,-392000000,-523000000,-97000000,5088000000,25283000000,20195000000,5896000000,-77000000,5819000000
2020-12-31,IBKR,USD,0001381197,2021-03-01,2021-03-01 06:23:58,2020,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1381197/000138119721000008/0001381197-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119721000008/ibkr-20201231x10k.htm,cash_flow,,,,,,,,,,,,,,62000000,,,,,,,,,1179000000,,,,,,9000000,65000000,6773000000,-7277000000,19634000000,-5584000000,-20000000,8068000000,-50000000,0,-5000000,0,5000000,-50000000,102000000,18000000,-17000000,-32000000,-300000000,-229000000,124000000,7913000000,20195000000,12282000000,8068000000,-50000000,8018000000
