date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-27,INTC,USD,0000050863,2026-01-23,2026-01-22 18:43:06,2025,FY,14265000000,23151000000,37416000000,3839000000,11618000000,10815000000,63688000000,105414000000,23912000000,2772000000,26684000000,8512000000,0,7131000000,147741000000,0,211429000000,9882000000,2499000000,604000000,0,18590000000,31575000000,44086000000,0,0,9408000000,53494000000,0,0,85069000000,0,65185000000,48983000000,113000000,0,114281000000,126360000000,211429000000,12079000000,211429000000,31663000000,46585000000,32320000000,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/0000050863-26-000011-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-28,INTC,USD,0000050863,2025-01-31,2025-01-31 17:13:51,2024,FY,8249000000,13813000000,22062000000,3478000000,12198000000,9586000000,47324000000,107919000000,24693000000,3691000000,28384000000,5383000000,0,7475000000,149161000000,0,196485000000,12556000000,3729000000,1756000000,0,17625000000,35666000000,46282000000,0,0,9505000000,55787000000,0,0,91453000000,0,50949000000,49032000000,-711000000,0,99270000000,105032000000,196485000000,5762000000,196485000000,19196000000,50011000000,41762000000,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/0000050863-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/intc-20241228.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-30,INTC,USD,0000050863,2024-01-26,2024-01-25 18:38:16,2023,FY,7079000000,17955000000,25034000000,3402000000,11127000000,3706000000,43269000000,97152000000,27591000000,4589000000,32180000000,5829000000,0,13142000000,148303000000,0,191572000000,8578000000,2300000000,1107000000,0,16068000000,28053000000,46978000000,0,0,6576000000,53554000000,0,0,81607000000,0,36649000000,69156000000,-215000000,0,105590000000,109965000000,191572000000,4375000000,191572000000,23784000000,49278000000,42199000000,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/0000050863-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/intc-20231230.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,INTC,USD,0000050863,2023-01-27,2023-01-26 18:31:20,2022,FY,11144000000,17194000000,28338000000,4133000000,13224000000,4712000000,50407000000,80860000000,27591000000,6018000000,33609000000,5912000000,3450000000,7865000000,131696000000,0,182103000000,9595000000,4323000000,2251000000,0,15986000000,32155000000,37684000000,0,202000000,8776000000,46662000000,0,0,78817000000,0,31580000000,70405000000,-562000000,0,101423000000,103286000000,182103000000,1863000000,182103000000,23106000000,42051000000,30907000000,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/0000050863-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/intc-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-25,INTC,USD,0000050863,2022-01-27,2022-01-26 18:34:53,2021,FY,4827000000,24426000000,29253000000,9457000000,10776000000,9072000000,58558000000,63245000000,26963000000,7270000000,34233000000,6298000000,0,6072000000,109848000000,0,168406000000,5747000000,4600000000,1076000000,0,16039000000,27462000000,33510000000,185000000,2667000000,9191000000,45553000000,0,0,73015000000,0,28006000000,68265000000,-880000000,0,95391000000,95391000000,168406000000,0,168406000000,30724000000,38101000000,33274000000,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/0000050863-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/intc-20211225.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-27,INTC,USD,0000050863,2026-01-23,2026-01-23 10:22:51,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/50863/000005086326000001/intc-20251231.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086326000001/intc-20251231.htm,income_statement,52853000000,34478000000,18375000000,0.3476623843,13774000000,0,0,4607000000,0,18398000000,52876000000,1007000000,1091000000,11706000000,14354000000,0.2715834484,-23000000,-0.0004351692,1580000000,1557000000,0.0294590657,1531000000,-267000000,-0.0050517473,-0.0817,-0.0817,4856000000,4856000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-28,INTC,USD,0000050863,2025-01-31,2025-01-31 17:13:51,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/0000050863-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/intc-20241228.htm,income_statement,53101000000,35756000000,17345000000,0.3266416828,16546000000,4651000000,856000000,5507000000,6970000000,29023000000,64779000000,1805000000,824000000,11379000000,1203000000,0.0226549406,-11678000000,-0.2199205288,468000000,-11210000000,-0.2111071355,8023000000,-18756000000,-0.3532136871,-4.38,-4.38,4280000000,4280000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-30,INTC,USD,0000050863,2024-01-26,2024-01-25 18:38:16,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/0000050863-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/intc-20231230.htm,income_statement,54228000000,32517000000,21711000000,0.400365125,16046000000,4684000000,950000000,5634000000,0,21680000000,54135000000,1335000000,878000000,9602000000,11242000000,0.2073098768,93000000,0.0017149812,669000000,762000000,0.0140517814,-913000000,1689000000,0.0311462713,0.4,0.4,4190000000,4212000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,INTC,USD,0000050863,2023-01-27,2023-01-26 18:31:20,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/0000050863-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/intc-20221231.htm,income_statement,63054000000,36188000000,26866000000,0.4260792337,17528000000,5802000000,1200000000,7002000000,0,24530000000,60718000000,589000000,496000000,13035000000,21299000000,0.3377898309,2334000000,0.0370158911,5434000000,7768000000,0.1231959907,-249000000,8014000000,0.1270974086,1.95,1.94,4108000000,4123000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-25,INTC,USD,0000050863,2022-01-27,2022-01-26 18:34:53,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/0000050863-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/intc-20211225.htm,income_statement,79024000000,35209000000,43815000000,0.5544518121,15190000000,5443000000,1100000000,6543000000,2626000000,24359000000,59568000000,144000000,597000000,11792000000,33874000000,0.4286545859,19456000000,0.246203685,2247000000,21703000000,0.2746380846,1835000000,19868000000,0.2514172909,4.89,4.86,4059000000,4090000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-27,INTC,USD,0000050863,2026-01-23,2026-01-22 18:43:06,2025,FY,,,,,-138000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/0000050863-26-000011-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,cash_flow,,,,,,,,,,,,,,11706000000,,,,,,,,,26000000,,,,,,328000000,2434000000,-1747000000,-449000000,297000000,-1457000000,-3050000000,9697000000,-14646000000,0,-24319000000,16058000000,8086000000,-14821000000,-3750000000,13477000000,0,0,1860000000,11587000000,0,6463000000,14712000000,8249000000,9697000000,-14646000000,-4949000000
2024-12-28,INTC,USD,0000050863,2025-01-31,2025-01-31 17:13:51,2024,FY,,,,,-1105000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/0000050863-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/intc-20241228.htm,cash_flow,,,,,,,,,,,,,,11379000000,,,,,,,,,-19233000000,,,,,,6132000000,3410000000,1103000000,-75000000,634000000,1649000000,5497000000,8288000000,-23944000000,-82000000,-37940000000,42510000000,1200000000,-18256000000,687000000,12714000000,0,-1599000000,-664000000,11138000000,0,1170000000,8249000000,7079000000,8288000000,-23944000000,-15656000000
