date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-06-30,IREN,USD,0001878848,2025-08-28,2025-08-28 16:11:57,2025,FY,564526000,0,564526000,24983000,0,51664000,641173000,1935100000,0,0,0,333717000,0,30333000,2299150000,0,2940323000,81747000,404000,0,884000,66312000,149347000,963828000,0,7971000,1689000,973488000,0,1467000,1122835000,0,2355056000,-596167000,-30073000,88672000,1817488000,1817488000,2940323000,0,2940323000,333717000,964232000,399706000,https://www.sec.gov/Archives/edgar/data/1878848/000187884825000063/0001878848-25-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1878848/000187884825000063/iren-20250630.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,IREN,USD,0001878848,2024-08-28,2024-08-28 16:31:20,2024,FY,404601000,6530000,411131000,29367000,0,11888000,452386000,442920000,0,0,0,0,0,257727000,700647000,0,1153033000,27345000,289000,1389000,2558000,19491000,51072000,1032000,0,3125000,119000,4276000,0,1321000,55348000,0,1764289000,-683110000,-34994000,51286000,1097471000,1097471000,1152819000,0,1152819000,6530000,1321000,-403280000,https://www.sec.gov/Archives/edgar/data/1878848/000162828024038677/0001628280-24-038677-index.htm,https://www.sec.gov/Archives/edgar/data/1878848/000162828024038677/iren-20240630.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,IREN,USD,0001878848,2023-09-13,2023-09-13 16:40:28,2023,FY,68894000,0,68894000,6543000,0,13793000,89230000,242476000,0,0,0,0,8000,359999,242844000,0,332074000,11544000,192000,32000,0,12233000,24001000,1256000,0,1365000,91000,2712000,0,1448000,26713000,0,965857000,-654276000,-34655000,28435000,305361000,305361000,332074000,0,332074000,0,1448000,-67446000,https://www.sec.gov/Archives/edgar/data/1878848/000114036123043816/0001140361-23-043816-index.htm,https://www.sec.gov/Archives/edgar/data/1878848/000114036123043816/brhc20058647_20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,IREN,USD,0001878848,2022-09-13,2022-09-13 17:29:39,2022,FY,75620870,0,75620870,16265673,0,18312120,110198663,171097634,435970,0,435970,0,1536897,109007654,282078155,0,392276819,13230000,60484000,827930,0,10564070,85106000,47803000,0,189000,0,47992000,0,1266000,133098000,0,926581000,-482405000,-6814000,0,437362000,437362000,570460000,0,570460000,0,108287000,-1683000,https://www.sec.gov/Archives/edgar/data/1878848/000114036122033208/0001140361-22-033208-index.htm,https://www.sec.gov/Archives/edgar/data/1878848/000114036122033208/brhc10041484_20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,IREN,USD,0001878848,2021-06-30,2021-06-30 00:00:00,2021,FY,29271742,0,29271742,595344,0,485736,30352822,13017254,494744,0,494744,0,683933,56403097,70599028,0,100951851,409178,54043875,400149,137387,73128892,127982098,8889313,0,1214772,0,10104086,0,757542,138086185,0,7761632,-47025522,2134486,0,-37129403,-37129403,100956781,0,100956781,0,62933190,33660018,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,IREN,USD,0001878848,2025-08-28,2025-08-28 16:11:57,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1878848/000187884825000063/0001878848-25-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1878848/000187884825000063/iren-20250630.htm,income_statement,501023000,158992000,342031000,0.6826652669,0,124331000,2884000,127215000,197489000,324704000,483696000,7504000,11045000,181115000,201688000,0.4025523778,17327000,0.0345832427,76174000,93501000,0.1866201751,6560000,86941000,0.1735269638,0.41,0.39,214586767,223245651,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,IREN,USD,0001878848,2024-08-28,2024-08-28 16:31:20,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1878848/000162828024038677/0001628280-24-038677-index.htm,https://www.sec.gov/Archives/edgar/data/1878848/000162828024038677/iren-20240630.htm,income_statement,187192000,87067000,100125000,0.5348786273,0,65983000,2051000,68034000,59325000,127359000,214426000,5831000,98000,50415000,31212000,0.1667378948,-27234000,-0.1454869866,1767000,-25467000,-0.1360474807,3453000,-28920000,-0.1544937818,-0.29,-0.29,99641000,99641000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,IREN,USD,0001878848,2023-09-13,2023-09-13 16:40:28,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1878848/000114036123043816/0001140361-23-043816-index.htm,https://www.sec.gov/Archives/edgar/data/1878848/000114036123043816/brhc20058647_20f.htm,income_statement,75509000,39419000,36090000,0.4779562701,0,47436000,716000,48152000,145179000,193331000,232750000,924000,16363000,30636000,-9834000,-0.1302361308,-157241000,-2.0824140169,-12196000,-169437000,-2.243931187,2390000,-171827000,-2.2755830431,-3.14,-3.14,54775571,54775571,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,IREN,USD,0001878848,2022-09-13,2022-09-13 17:29:39,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1878848/000114036122033208/0001140361-22-033208-index.htm,https://www.sec.gov/Archives/edgar/data/1878848/000114036122033208/brhc10041484_20f.htm,income_statement,59037000,7448000,51589000,0.873841828,0,8628000,305000,8933000,42349000,51282000,58730000,57290,308526049,7682000,8144000,0.1379473889,307000,0.0052001287,-417353000,-417046000,-7.0641462134,2724000,-419770000,-7.1102867693,-10.25,-10.25,40941074,40941074,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,IREN,USD,0001878848,2021-06-30,2021-06-30 00:00:00,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,7898000,2221000,5677000,0.718789567,0,980000,29000,1009000,5192000,6201000,8422000,4475,45633161,1209000,729000,0.0923018486,-524000,-0.0663459104,-58627000,-59151000,-7.489364396,1239000,-60390000,-7.6462395543,-1.14,-1.07,52932939,56717471,,,,,,,,,,,,,,,,,,,,,,,,,,,
