date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-29,JNJ,USD,0000200406,2025-02-13,2025-02-13 16:07:39,2024,FY,24105000000,417000000,24522000000,18927000000,12444000000,0,55893000000,20518000000,44200000000,37618000000,81818000000,0,10461000000,11414000000,124211000000,0,180104000000,10311000000,5983000000,3772000000,0,30255000000,50321000000,30651000000,0,2448000000,25194000000,58293000000,0,0,108614000000,0,3120000000,155791000000,-11741000000,-75680000000,71490000000,71490000000,180104000000,0,180104000000,417000000,36634000000,12529000000,https://www.sec.gov/Archives/edgar/data/200406/000020040625000038/0000200406-25-000038-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040625000038/jnj-20241229.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,JNJ,USD,0000200406,2024-02-16,2024-02-16 16:12:22,2023,FY,21859000000,1068000000,22927000000,14873000000,11181000000,4514000000,53495000000,19898000000,36558000000,34175000000,70733000000,0,9279000000,14153000000,114063000000,0,167558000000,9632000000,3451000000,2993000000,0,30206000000,46282000000,25881000000,0,3193000000,23428000000,52502000000,0,0,98784000000,0,3120000000,153843000000,-12527000000,-75662000000,68774000000,68774000000,167558000000,0,167558000000,1068000000,29332000000,7473000000,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/0000200406-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/jnj-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,JNJ,USD,0000200406,2023-02-16,2023-02-16 16:01:53,2022,FY,12889000000,9392000000,22281000000,16915000000,10268000000,5830000000,55294000000,17982000000,36047000000,38489000000,74536000000,0,8947000000,30619000000,132084000000,0,187378000000,9889000000,12756000000,2220000000,0,30937000000,55802000000,26886000000,0,3991000000,23895000000,54772000000,0,0,110574000000,0,3120000000,128345000000,-12967000000,-41694000000,76804000000,76804000000,187378000000,0,187378000000,9392000000,39642000000,26753000000,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/0000200406-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/jnj-20230101.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,JNJ,USD,0000200406,2022-02-17,2022-02-17 16:06:50,2021,FY,14487000000,17121000000,31608000000,18984000000,10387000000,0,60979000000,18962000000,35246000000,46392000000,81638000000,0,10223000000,10216000000,121039000000,0,182018000000,11055000000,3766000000,1112000000,0,29293000000,45226000000,29985000000,0,7487000000,25297000000,62769000000,0,0,107995000000,0,3120000000,123060000000,-13058000000,-39099000000,74023000000,74023000000,182018000000,0,182018000000,17121000000,33751000000,19264000000,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/0000200406-22-000022-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/jnj-20220102.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,JNJ,USD,0000200406,2021-02-22,2021-02-22 16:36:14,2020,FY,13985000000,11200000000,25185000000,13576000000,9344000000,3132000000,51237000000,18766000000,36393000000,53402000000,89795000000,0,8534000000,6562000000,123657000000,0,174894000000,9505000000,2631000000,1392000000,0,28965000000,42493000000,32635000000,0,7214000000,29274000000,69123000000,0,0,111616000000,0,3120000000,113890000000,-15242000000,-38490000000,63278000000,63278000000,174894000000,0,174894000000,11200000000,35266000000,21281000000,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/0000200406-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/jnj-20210103.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,JNJ,USD,0000200406,2025-12-31,2025-12-30 19:00:00,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,94193000000,25635000000,68558000000,0.7278460183,14665000000,23676000000,0,23676000000,4621000000,42962000000,68597000000,85000000,0,0,32581000000,0.3458961919,25596000000,0.2717399382,6985000000,32581000000,0.3458961919,5777000000,26804000000,0.2845646704,0,11.03,2428600000,2429400000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-29,JNJ,USD,0000200406,2025-02-13,2025-02-13 16:07:39,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/200406/000020040625000038/0000200406-25-000038-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040625000038/jnj-20241229.htm,income_statement,88821000000,27471000000,61350000000,0.6907150336,17232000000,21969000000,0,21969000000,0,39201000000,66672000000,1332000000,755000000,7339000000,24781000000,0.2789993357,22149000000,0.2493667038,-5462000000,16687000000,0.1878722374,2621000000,14066000000,0.1583634501,5.84,5.79,2407300000,2429400000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,JNJ,USD,0000200406,2024-02-16,2024-02-16 16:12:22,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/0000200406-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/jnj-20231231.htm,income_statement,85159000000,26553000000,58606000000,0.6881950234,15085000000,20112000000,0,20112000000,0,35197000000,61750000000,1261000000,772000000,7486000000,23320000000,0.273840698,23409000000,0.2748858019,-8347000000,15062000000,0.1768691506,1736000000,35153000000,0.412792541,13.88,13.72,2533500000,2560400000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,JNJ,USD,0000200406,2023-02-16,2023-02-16 16:01:53,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/0000200406-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/jnj-20230101.htm,income_statement,79990000000,24596000000,55394000000,0.6925115639,14135000000,20246000000,0,20246000000,0,34381000000,58977000000,490000000,276000000,6970000000,26605000000,0.3326040755,21013000000,0.2626953369,-1654000000,19359000000,0.2420177522,2989000000,17941000000,0.2242905363,6.83,6.73,2613597000,2663900000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,JNJ,USD,0000200406,2022-02-17,2022-02-17 16:06:50,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/0000200406-22-000022-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/jnj-20220102.htm,income_statement,78740000000,23402000000,55338000000,0.7027940056,14277000000,20118000000,0,20118000000,0,34395000000,57797000000,53000000,183000000,7390000000,26751000000,0.3397383795,20943000000,0.265976632,-1765000000,19178000000,0.2435610871,1377000000,20878000000,0.2651511303,7.93,7.81,2628965000,2674000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
