date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,KGC,USD,0000701818,2025-03-27,2025-03-27 16:55:21,2024,FY,621330200,0,621330200,45472935,1242460519,116230824,2025494478,7963860117,0,0,0,141016070,5296847,723469411,8833642445,0,10859136923,83850094,204478299,236700000,0,534441038,1059469431,1247157723,0,548673443,1007400421,2803231589,0,12392624,3862701020,0,4484630864,-8176433599,-87348012,10636669330,6857518583,6996435903,10859136923,138917320,10859136923,141016070,1451636023,830305823,https://www.sec.gov/Archives/edgar/data/701818/000110465925028819/0001104659-25-028819-index.htm,https://www.sec.gov/Archives/edgar/data/701818/000110465925028819/kgc-20241231x40f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,KGC,USD,0000701818,2024-03-27,2024-03-27 16:18:46,2023,FY,360346876,0,360346876,47853905,1147100906,130429252,1685730941,7922457879,0,0,0,62578184,12436046,806154262,8803626372,0,10489357314,113118276,10048325,92424695,0,466401479,681992776,2238587812,0,447399199,967325421,3653312434,0,17410464,4335305211,0,4458670789,-8936642323,-60986370,10591531870,6052573965,6154052103,10489357314,101478137,10489357314,62578184,2248636138,1888289262,https://www.sec.gov/Archives/edgar/data/701818/000110465924039723/0001104659-24-039723-index.htm,https://www.sec.gov/Archives/edgar/data/701818/000110465924039723/kgc-20231231x40f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,KGC,USD,0000701818,2023-03-31,2023-03-31 16:02:54,2022,FY,428005860,0,428005860,99354933,1071713880,126942419,1726017094,7737890165,0,0,0,293067067,4597914,630114186,8665669333,0,10391686428,119046000,60472570,89400000,0,482240710,751159281,2578830265,0,301363304,880800477,3760994048,0,23089526,4512153329,0,4447482663,-9247405463,-41681093,10662663515,5821059621,5879533098,10391686428,58473476,10391686428,293067067,2639302836,2211296976,https://www.sec.gov/Archives/edgar/data/701818/000110465923040149/0001104659-23-040149-index.htm,https://www.sec.gov/Archives/edgar/data/701818/000110465923040149/kgc-20221231x40f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,KGC,USD,0000701818,2022-03-31,2022-03-31 17:15:37,2021,FY,542165125,0,542165125,89578581,1149741588,164776653,1946261949,7607388605,158585046,0,158585046,255853205,6491201,439404411,8467722470,0,10413984419,87681153,59619189,95000000,0,498096090,740396433,1622800383,0,436208743,973979824,3032988951,0,35052488,3773385384,0,4421706621,-8480904602,-18774552,10649964561,6571992027,6640599034,10413984419,68607006,10413984419,255853205,1682419573,1140254448,https://www.sec.gov/Archives/edgar/data/701818/000110465922041156/0001104659-22-041156-index.htm,https://www.sec.gov/Archives/edgar/data/701818/000110465922041156/kgc-20211231x40f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,KGC,USD,0000701818,2021-03-30,2021-03-30 16:48:18,2020,FY,1224600000,0,1224600000,84600000,1072900000,67600000,2449700000,7653500000,158800000,0,158800000,290900000,2700000,377600000,8483500000,0,10933200000,89100000,528100000,114500000,0,616700000,1348400000,1470500000,0,487800000,963500000,2921800000,0,46300000,4270200000,0,4473700000,-8562500000,-23700000,10709000000,6596500000,6663000000,10933200000,66500000,10933200000,290900000,1998600000,774000000,https://www.sec.gov/Archives/edgar/data/701818/000110465921043926/0001104659-21-043926-index.htm,https://www.sec.gov/Archives/edgar/data/701818/000110465921043926/tm2038115d1_40f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,KGC,USD,0000701818,2025-03-27,2025-03-27 16:55:21,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/701818/000110465925028819/0001104659-25-028819-index.htm,https://www.sec.gov/Archives/edgar/data/701818/000110465925028819/kgc-20241231x40f.htm,income_statement,5148800000,3270500000,1878300000,0.3648034493,0,126200000,0,126200000,211800000,338000000,3608500000,18200000,50500000,1147500000,2679400000,0.5203931013,1540300000,0.2991570851,-58900000,1481400000,0.2877175264,487400000,948800000,0.1842759478,0.77,0.77,1228855000,1234504000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,KGC,USD,0000701818,2024-03-27,2024-03-27 16:18:46,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/701818/000110465924039723/0001104659-24-039723-index.htm,https://www.sec.gov/Archives/edgar/data/701818/000110465924039723/kgc-20231231x40f.htm,income_statement,4239700000,3080100000,1159600000,0.2735099182,0,108700000,0,108700000,249500000,358200000,3438300000,40500000,69000000,986800000,1764400000,0.4161615209,801400000,0.1890228082,-92800000,708600000,0.1671344671,293200000,416300000,0.0981909097,0.34,0.34,1226985000,1236670000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,KGC,USD,0000701818,2023-03-31,2023-03-31 16:02:54,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/701818/000110465923040149/0001104659-23-040149-index.htm,https://www.sec.gov/Archives/edgar/data/701818/000110465923040149/kgc-20221231x40f.htm,income_statement,3455100000,2939700000,515400000,0.149170791,0,129800000,0,129800000,267900000,397700000,3337400000,18300000,68200000,784000000,958900000,0.2775317646,117700000,0.0340655842,-11000000,106700000,0.0308818848,76100000,-605200000,-0.1751613557,-0.47,-0.47,1280531000,1280531000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,KGC,USD,0000701818,2022-03-31,2022-03-31 17:15:37,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/701818/000110465922041156/0001104659-22-041156-index.htm,https://www.sec.gov/Archives/edgar/data/701818/000110465922041156/kgc-20211231x40f.htm,income_statement,2599600000,2058500000,541100000,0.2081474073,0,114400000,0,114400000,354600000,469000000,2527500000,10800000,71600000,695700000,851600000,0.3275888598,72100000,0.0277350362,12200000,84300000,0.0324280659,115000000,221200000,0.0850900138,0.17,0.17,1259059000,1269146000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,KGC,USD,0000701818,2021-03-30,2021-03-30 16:48:18,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/701818/000110465921043926/0001104659-21-043926-index.htm,https://www.sec.gov/Archives/edgar/data/701818/000110465921043926/tm2038115d1_40f.htm,income_statement,4213400000,1917100000,2296300000,0.544999288,0,117900000,0,117900000,279000000,396900000,2314000000,4300000,89600000,842300000,2730400000,0.6480277211,1899400000,0.4507998291,-100900000,1798500000,0.4268524232,439800000,1342400000,0.3186025538,1.12,1.11,1257200000,1268000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
