date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,KO,USD,0000021344,2025-02-20,2025-02-20 15:17:12,2024,FY,10828000000,3743000000,14571000000,3569000000,4728000000,3129000000,25997000000,11485000000,18139000000,13301000000,31440000000,19275000000,1319000000,11033000000,74552000000,0,100549000000,5468000000,2437000000,1387000000,0,15957000000,25249000000,43298000000,0,2469000000,3161000000,48928000000,0,923000000,74177000000,0,1760000000,76054000000,-16843000000,-36115000000,24856000000,26372000000,100549000000,1516000000,100549000000,23018000000,45735000000,34907000000,https://www.sec.gov/Archives/edgar/data/21344/000002134425000011/0000021344-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134425000011/ko-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,KO,USD,0000021344,2024-02-20,2024-02-20 13:21:24,2023,FY,9366000000,4297000000,13663000000,3410000000,4424000000,5235000000,26732000000,9236000000,18358000000,14865000000,33223000000,19789000000,1561000000,7162000000,70971000000,0,97703000000,5590000000,6878000000,1569000000,0,9534000000,23571000000,36548000000,0,2639000000,7465000000,46652000000,0,1001000000,70223000000,0,1760000000,73782000000,-14275000000,-35326000000,25941000000,27480000000,97703000000,1539000000,97703000000,24086000000,43426000000,34060000000,https://www.sec.gov/Archives/edgar/data/21344/000002134424000009/0000021344-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134424000009/ko-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,KO,USD,0000021344,2023-02-21,2023-02-21 16:03:20,2022,FY,9519000000,2112000000,11631000000,3487000000,4233000000,3240000000,22591000000,9841000000,18782000000,14849000000,33631000000,18765000000,1746000000,6189000000,70172000000,0,92763000000,5307000000,3113000000,1203000000,0,10101000000,19724000000,37490000000,0,2914000000,6809000000,47213000000,0,1113000000,66937000000,0,1760000000,71019000000,-14895000000,-33779000000,24105000000,25826000000,92763000000,1721000000,92763000000,20877000000,40603000000,31084000000,https://www.sec.gov/Archives/edgar/data/21344/000002134423000011/0000021344-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134423000011/ko-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,KO,USD,0000021344,2022-02-22,2022-02-22 15:45:48,2021,FY,9684000000,2941000000,12625000000,3512000000,3414000000,2994000000,22545000000,9920000000,19363000000,15250000000,34613000000,18416000000,2129000000,6731000000,71809000000,0,94354000000,4602000000,4955000000,686000000,0,9707000000,19950000000,39277000000,0,2821000000,7446000000,49544000000,0,1161000000,69494000000,0,1760000000,69094000000,-14330000000,-33525000000,22999000000,24860000000,94354000000,1861000000,94354000000,21357000000,44232000000,34548000000,https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/0000021344-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/ko-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,KO,USD,0000021344,2021-02-25,2021-02-25 13:47:17,2020,FY,6795000000,4119000000,10914000000,3144000000,3266000000,1916000000,19240000000,10777000000,17506000000,11044000000,28550000000,20085000000,2460000000,6184000000,68056000000,0,87296000000,3517000000,2990000000,788000000,0,7306000000,14601000000,41425000000,0,1833000000,8153000000,51411000000,0,1300000000,66012000000,0,1760000000,66555000000,-14601000000,-34415000000,19299000000,21284000000,87296000000,1985000000,87296000000,24204000000,44415000000,37620000000,https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/0000021344-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/ko-20201231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,KO,USD,0000021344,2025-02-20,2025-02-20 15:17:12,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/21344/000002134425000011/0000021344-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134425000011/ko-20241231.htm,income_statement,47061000000,18324000000,28737000000,0.6106330082,0,9296000000,5146000000,14442000000,4303000000,18745000000,37069000000,988000000,1656000000,1075000000,15817000000,0.3360957056,9992000000,0.2123201802,3094000000,13086000000,0.2780646395,2437000000,10631000000,0.2258983022,2.47,2.46,4309000000,4320000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,KO,USD,0000021344,2024-02-20,2024-02-20 13:21:24,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/21344/000002134424000009/0000021344-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134424000009/ko-20231231.htm,income_statement,45754000000,18520000000,27234000000,0.5952266469,0,8978000000,5010000000,13988000000,1935000000,15923000000,34443000000,907000000,1527000000,1128000000,15607000000,0.3411067885,11311000000,0.2472133584,1641000000,12952000000,0.2830790751,2249000000,10714000000,0.2341653189,2.48,2.47,4323000000,4339000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,KO,USD,0000021344,2023-02-21,2023-02-21 16:03:20,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/21344/000002134423000011/0000021344-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134423000011/ko-20221231.htm,income_statement,43004000000,18000000000,25004000000,0.5814342852,0,8665000000,4000000000,12665000000,1430000000,14095000000,32095000000,449000000,882000000,1260000000,13828000000,0.3215514836,10909000000,0.2536740768,777000000,11686000000,0.2717421635,2115000000,9542000000,0.2218863362,2.2,2.19,4328000000,4350000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,KO,USD,0000021344,2022-02-22,2022-02-22 15:45:48,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/0000021344-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/ko-20211231.htm,income_statement,38655000000,15357000000,23298000000,0.6027163368,0,7865000000,4000000000,11865000000,1125000000,12990000000,28347000000,276000000,1597000000,1452000000,15474000000,0.4003104385,10308000000,0.2666666667,2117000000,12425000000,0.321433191,2621000000,9771000000,0.252774544,2.26,2.25,4315000000,4340000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,KO,USD,0000021344,2021-02-25,2021-02-25 13:47:17,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/0000021344-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/ko-20201231.htm,income_statement,33014000000,13433000000,19581000000,0.5931120131,0,6563000000,3000000000,9563000000,1021000000,10584000000,24017000000,370000000,1437000000,1536000000,12722000000,0.385351669,8997000000,0.2725207488,752000000,9749000000,0.2952989641,1981000000,7747000000,0.2346580239,1.8,1.79,4295000000,4323000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
