date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,LUV,USD,0000092380,2025-02-07,2025-02-07 16:00:58,2024,FY,7509000000,1216000000,8725000000,1110000000,800000000,639000000,11274000000,20425000000,970000000,300000000,1270000000,367000000,0,414000000,22476000000,0,33750000000,339000000,1958000000,371000000,6294000000,3314000000,12276000000,6100000000,1948000000,2167000000,909000000,11124000000,0,1359000000,23400000000,0,888000000,16332000000,-25000000,-6845000000,10350000000,10350000000,33750000000,0,33750000000,1583000000,8058000000,549000000,https://www.sec.gov/Archives/edgar/data/92380/000009238025000024/0000092380-25-000024-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238025000024/luv-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,LUV,USD,0000092380,2024-02-06,2024-02-06 17:09:57,2023,FY,9288000000,2186000000,11474000000,1154000000,807000000,520000000,13955000000,20598000000,970000000,296000000,1266000000,280000000,0,388000000,22532000000,0,36487000000,265000000,237000000,365000000,6551000000,4838000000,12256000000,8963000000,1728000000,2044000000,981000000,13716000000,0,1193000000,25972000000,0,888000000,16297000000,0,-6670000000,10515000000,10515000000,36487000000,0,36487000000,2466000000,9200000000,-88000000,https://www.sec.gov/Archives/edgar/data/92380/000009238024000027/0000092380-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238024000027/luv-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,LUV,USD,0000092380,2023-02-07,2023-02-06 17:38:32,2022,FY,9492000000,2800000000,12292000000,1040000000,790000000,686000000,14808000000,18736000000,970000000,296000000,1266000000,235000000,0,324000000,20561000000,0,35369000000,277000000,309000000,279000000,6064000000,3449000000,10378000000,9164000000,2186000000,1985000000,969000000,14304000000,0,1532000000,24682000000,0,888000000,16261000000,344000000,-6806000000,10687000000,10687000000,35369000000,0,35369000000,3035000000,9473000000,-19000000,https://www.sec.gov/Archives/edgar/data/92380/000009238023000010/0000092380-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238023000010/luv-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,LUV,USD,0000092380,2022-02-07,2022-02-04 17:59:21,2021,FY,12480000000,3024000000,15504000000,1357000000,537000000,638000000,18036000000,16432000000,970000000,295000000,1265000000,0,0,587000000,18284000000,0,36320000000,156000000,692000000,301000000,5566000000,2449000000,9164000000,11589000000,2159000000,1770000000,1224000000,16742000000,0,2013000000,25906000000,0,888000000,15774000000,388000000,-6636000000,10414000000,10414000000,36320000000,0,36320000000,3024000000,12281000000,-199000000,https://www.sec.gov/Archives/edgar/data/92380/000009238022000007/0000092380-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238022000007/luv-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,LUV,USD,0000092380,2021-02-08,2021-02-08 13:37:31,2020,FY,11063000000,2271000000,13334000000,1130000000,414000000,295000000,15173000000,17723000000,970000000,295000000,1265000000,0,0,427000000,19415000000,0,34588000000,111000000,526000000,133000000,3790000000,2946000000,7506000000,11673000000,3343000000,1634000000,1556000000,18206000000,0,2410000000,25712000000,0,888000000,14777000000,-105000000,-6684000000,8876000000,8876000000,34588000000,0,34588000000,2271000000,12199000000,1136000000,https://www.sec.gov/Archives/edgar/data/92380/000009238021000033/0000092380-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238021000033/luv-20201231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,LUV,USD,0000092380,2026-01-28,2026-01-28 16:15:19,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/92380/000009238026000002/0000092380-26-000002-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238026000002/er-12312025xerdoc.htm,income_statement,28063000000,23168000000,4895000000,0.1744289634,0,0,0,4467000000,0,4467000000,27635000000,205000000,113000000,1560000000,2236000000,0.0796778677,428000000,0.0152513986,135000000,563000000,0.0200620033,122000000,441000000,0.0157146421,0.82,0.79,540000000,558000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,LUV,USD,0000092380,2025-02-07,2025-02-07 16:00:58,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/92380/000009238025000024/0000092380-25-000024-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238025000024/luv-20241231.htm,income_statement,27483000000,23024000000,4459000000,0.1622457519,0,0,346000000,346000000,3792000000,4138000000,27162000000,497000000,214000000,1657000000,2469000000,0.089837354,321000000,0.0116799476,277000000,598000000,0.0217589055,133000000,465000000,0.0169195503,0.81,0.75,598000000,643000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,LUV,USD,0000092380,2024-02-06,2024-02-06 17:09:57,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/92380/000009238024000027/0000092380-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238024000027/luv-20231231.htm,income_statement,26091000000,21868000000,4223000000,0.1618565789,0,0,0,0,3999000000,3999000000,25867000000,583000000,236000000,1522000000,2391000000,0.0916407957,224000000,0.0085853359,409000000,633000000,0.0242612395,168000000,465000000,0.0178222376,0.81,0.76,595000000,640000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,LUV,USD,0000092380,2023-02-07,2023-02-06 17:38:32,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/92380/000009238023000010/0000092380-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238023000010/luv-20221231.htm,income_statement,23814000000,19062000000,4752000000,0.1995464853,0,0,0,0,3735000000,3735000000,22797000000,217000000,301000000,1351000000,2380000000,0.0999412111,1017000000,0.0427059713,-289000000,728000000,0.0305702528,189000000,539000000,0.0226337449,0.91,0.87,593000000,642000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,LUV,USD,0000092380,2022-02-07,2022-02-04 17:59:21,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/92380/000009238022000007/0000092380-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238022000007/luv-20211231.htm,income_statement,15790000000,11675000000,4115000000,0.2606079797,0,0,0,0,2394000000,2394000000,14069000000,13000000,431000000,1272000000,3028000000,0.1917669411,1721000000,0.1089930336,-396000000,1325000000,0.0839138695,348000000,977000000,0.0618746042,1.65,1.61,592000000,609000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
