date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,MAIN,USD,0001396440,2025-02-28,2025-02-28 11:18:25,2024,FY,78251000,0,78251000,98084000,0,0,176335000,0,0,0,0,0,0,4945006000,4945006000,0,5121341000,45390000,0,0,0,0,45390000,2122371000,0,0,155742000,2278113000,0,0,2323503000,0,884000,402462000,0,2394492000,2797838000,2797838000,5121341000,0,5121341000,0,2122371000,2044120000,https://www.sec.gov/Archives/edgar/data/1396440/000139644025000018/0001396440-25-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000139644025000018/main-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,MAIN,USD,0001396440,2024-02-23,2024-02-23 11:12:09,2023,FY,60083000,0,60083000,89337000,0,0,149420000,0,0,0,0,0,0,4294150000,4294150000,0,4443570000,37393000,0,0,0,0,37393000,1802344000,0,0,126434000,1928778000,0,0,1966171000,0,848000,206002000,0,2270549000,2477399000,2477399000,4443570000,0,4443570000,0,1802344000,1742261000,https://www.sec.gov/Archives/edgar/data/1396440/000139644024000055/0001396440-24-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000139644024000055/main-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,MAIN,USD,0001396440,2023-02-24,2023-02-24 11:27:33,2022,FY,49121000,0,49121000,381000,0,0,49502000,0,0,0,0,0,0,4192383000,4192383000,0,4241885000,34256000,0,0,0,0,34256000,1999102000,0,0,99941000,2099043000,0,0,2133299000,0,784000,77271000,0,2030531000,2108586000,2108586000,4241885000,0,4241885000,0,1999102000,1949981000,https://www.sec.gov/Archives/edgar/data/1396440/000139644023000035/0001396440-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000139644023000035/main-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,MAIN,USD,0001396440,2022-02-25,2022-02-25 15:45:16,2021,FY,32629000,0,32629000,35125000,0,0,67754000,0,0,0,0,0,0,3622536000,3622536000,0,3690290000,35196000,0,0,0,0,35196000,1796056000,0,0,70192000,1866248000,0,0,1901444000,0,707000,51793000,0,1736346000,1788846000,1788846000,3690290000,0,3690290000,0,1796056000,1763427000,https://www.sec.gov/Archives/edgar/data/1396440/000155837022002131/0001558370-22-002131-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000155837022002131/tmb-20211231x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,MAIN,USD,0001396440,2021-02-26,2021-02-26 11:39:04,2020,FY,31919000,0,31919000,49761000,0,-49761000,31919000,0,0,0,0,1113725000,0,1623720000,2737445000,0,2769364000,22547000,0,0,0,0,22547000,1208625000,0,0,23425000,1232050000,0,0,1254597000,0,677000,-101850000,0,1615940000,1514767000,1514767000,2769364000,0,2769364000,1113725000,1208625000,1176706000,https://www.sec.gov/Archives/edgar/data/1396440/000155837021001943/0001558370-21-001943-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000155837021001943/tmb-20201231x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,MAIN,USD,0001396440,2025-02-28,2025-02-28 11:18:25,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1396440/000139644025000018/0001396440-25-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000139644025000018/main-20241231.htm,income_statement,724680000,123429000,601251000,0.8296779268,0,-3741000,0,-3741000,66279000,62538000,185967000,541026000,123429000,0,538713000,0.7433805266,538713000,0.7433805266,0,538713000,0.7433805266,30633000,508080000,0.7011094552,5.85,5.85,88559000,88559000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,MAIN,USD,0001396440,2024-02-23,2024-02-23 11:12:09,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1396440/000139644024000055/0001396440-24-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000139644024000055/main-20231231.htm,income_statement,612455000,102575000,509880000,0.8325183075,0,-4008000,0,-4008000,62799000,58791000,161366000,500385000,102575000,0,451089000,0.7365259488,451089000,0.7365259488,0,451089000,0.7365259488,22642000,428447000,0.6995567021,5.23,5.23,81917000,81917000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,MAIN,USD,0001396440,2023-02-24,2023-02-24 11:27:33,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1396440/000139644023000035/0001396440-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000139644023000035/main-20221231.htm,income_statement,396464000,78276000,318188000,0.8025646717,0,3085000,0,3085000,50172000,53257000,131533000,376860000,78276000,0,264931000,0.6682346947,264931000,0.6682346947,0,264931000,0.6682346947,23325000,241606000,0.6094021147,3.24,3.24,74482000,74482000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,MAIN,USD,0001396440,2022-02-25,2022-02-25 15:45:16,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1396440/000155837022002131/0001558370-22-002131-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000155837022002131/tmb-20211231x10k.htm,income_statement,470007000,58836000,411171000,0.8748188857,0,2217000,0,2217000,45329000,47546000,106382000,289047000,58836000,0,363625000,0.7736586902,363625000,0.7736586902,0,363625000,0.7736586902,32863000,330762000,0.703738455,4.8,4.8,68961000,68961000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,MAIN,USD,0001396440,2021-02-26,2021-02-26 11:39:04,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1396440/000155837021001943/0001558370-21-001943-index.htm,https://www.sec.gov/Archives/edgar/data/1396440/000155837021001943/tmb-20201231x10k.htm,income_statement,100585000,49587000,50998000,0.5070139683,0,5273000,0,5273000,29883000,35156000,84743000,173676000,49587000,0,15842000,0.157498633,15842000,0.157498633,0,15842000,0.157498633,-13541000,29383000,0.2921210916,0.45,0.45,65706000,65706000,,,,,,,,,,,,,,,,,,,,,,,,,,,
