date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-03-31,MCHP,USD,0000827054,2025-05-23,2025-05-22 17:56:00,2025,FY,771700000,0,771700000,689700000,1293500000,236400000,2991300000,1183700000,6684800000,2389000000,9073800000,0,1728100000,397700000,12383300000,0,15374600000,160600000,35700000,99100000,213400000,646300000,1155100000,5630400000,0,33800000,1477000000,7141200000,0,35700000,8296300000,0,600000,5781100000,-1700000,1298300000,7078300000,7078300000,15374600000,0,15374600000,0,5666100000,4894400000,https://www.sec.gov/Archives/edgar/data/827054/000082705425000077/0000827054-25-000077-index.htm,https://www.sec.gov/Archives/edgar/data/827054/000082705425000077/mchp-20250331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,MCHP,USD,0000827054,2024-05-23,2024-05-23 17:24:35,2024,FY,319700000,0,319700000,1143700000,1316000000,233600000,3013000000,1194600000,6675400000,2781800000,9457200000,0,1596500000,611900000,12860200000,0,15873200000,213000000,1032000000,90800000,261800000,921800000,2519400000,5000400000,0,28800000,1666800000,6696000000,0,32600000,9215400000,0,500000,6759500000,-3500000,-98700000,6657800000,6657800000,15873200000,0,15873200000,0,6032400000,5712700000,https://www.sec.gov/Archives/edgar/data/827054/000082705424000098/0000827054-24-000098-index.htm,https://www.sec.gov/Archives/edgar/data/827054/000082705424000098/mchp-20240331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,MCHP,USD,0000827054,2023-05-25,2023-05-25 15:24:21,2023,FY,234000000,0,234000000,1305300000,1324900000,205100000,3069300000,1177900000,6673600000,3369000000,10042600000,0,1623300000,457200000,13301000000,0,16370300000,396900000,1429700000,106200000,121400000,1064400000,3118600000,5170300000,0,42700000,1525100000,6738100000,0,160100000,9856700000,0,500000,5764100000,-4100000,753100000,6513600000,6513600000,16370300000,0,16370300000,0,6600000000,6366000000,https://www.sec.gov/Archives/edgar/data/827054/000082705423000080/0000827054-23-000080-index.htm,https://www.sec.gov/Archives/edgar/data/827054/000082705423000080/mchp-20230331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,MCHP,USD,0000827054,2022-05-20,2022-05-20 15:17:15,2022,FY,317400000,2000000,319400000,1072600000,854400000,206200000,2452600000,967900000,6673600000,4043100000,10716700000,0,1797100000,265200000,13746900000,0,16199500000,344700000,67600000,121500000,73200000,792000000,1399000000,7816000000,0,39800000,1049900000,8905700000,0,162400000,10304700000,0,600000,4175200000,-20600000,1739600000,5894800000,5894800000,16199500000,0,16199500000,2000000,7849800000,7532400000,https://www.sec.gov/Archives/edgar/data/827054/000082705422000094/0000827054-22-000094-index.htm,https://www.sec.gov/Archives/edgar/data/827054/000082705422000094/mchp-20220331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,MCHP,USD,0000827054,2021-05-18,2021-05-17 19:06:34,2021,FY,280000000,2000000,282000000,997700000,665000000,200500000,2145200000,854700000,6670600000,4794800000,11465400000,0,1749200000,264300000,14333600000,0,16478800000,292400000,1362700000,43400000,0,711100000,2409600000,7706600000,0,43900000,981600000,8732100000,0,165200000,11141700000,0,500000,3393500000,-26200000,1969300000,5337100000,5337100000,16478800000,0,16478800000,2000000,9069300000,8789300000,https://www.sec.gov/Archives/edgar/data/827054/000082705421000106/0000827054-21-000106-index.htm,https://www.sec.gov/Archives/edgar/data/827054/000082705421000106/mchp-20210331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,MCHP,USD,0000827054,2025-05-23,2025-05-22 17:56:00,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/827054/000082705425000077/0000827054-25-000077-index.htm,https://www.sec.gov/Archives/edgar/data/827054/000082705425000077/mchp-20250331.htm,income_statement,4401600000,1933700000,2467900000,0.5606824791,983800000,0,0,617700000,570100000,2171600000,4105300000,9200000,251400000,750100000,1040400000,0.2363685932,296300000,0.0673164304,-257400000,38900000,0.0088376954,39400000,-500000,-0.0001135951,-0.005,-0.005,537300000,537300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,MCHP,USD,0000827054,2024-05-23,2024-05-23 17:24:35,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/827054/000082705424000098/0000827054-24-000098-index.htm,https://www.sec.gov/Archives/edgar/data/827054/000082705424000098/mchp-20240331.htm,income_statement,7634400000,2638700000,4995700000,0.6543670753,1097400000,0,0,734200000,593100000,2424700000,5063400000,7600000,198300000,879500000,3436400000,0.4501205072,2571000000,0.3367651682,-205100000,2365900000,0.3098999266,459000000,1906900000,0.2497773237,3.52,3.48,542000000,548000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,MCHP,USD,0000827054,2023-05-25,2023-05-25 15:24:21,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/827054/000082705423000080/0000827054-23-000080-index.htm,https://www.sec.gov/Archives/edgar/data/827054/000082705423000080/mchp-20230331.htm,income_statement,8438700000,2740800000,5697900000,0.6752106367,1118300000,0,0,797700000,665900000,2581900000,5322700000,2100000,203900000,998400000,4102500000,0.4861530805,3116000000,0.369251188,-206300000,2909700000,0.3448042945,672000000,2237700000,0.2651711757,4.07,4.02,550400000,557300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,MCHP,USD,0000827054,2022-05-20,2022-05-20 15:17:15,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/827054/000082705422000094/0000827054-22-000094-index.htm,https://www.sec.gov/Archives/edgar/data/827054/000082705422000094/mchp-20220331.htm,income_statement,6820900000,2371300000,4449600000,0.6523479306,989100000,0,0,718900000,892000000,2600000000,4971300000,500000,257000000,1143500000,2871500000,0.4209855004,1849600000,0.2711665616,-367100000,1482500000,0.2173466845,197000000,1285500000,0.1884648653,2.33,2.27,552300000,565900000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,MCHP,USD,0000827054,2021-05-18,2021-05-17 19:06:34,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/827054/000082705421000106/0000827054-21-000106-index.htm,https://www.sec.gov/Archives/edgar/data/827054/000082705421000106/mchp-20210331.htm,income_statement,5438400000,2059600000,3378800000,0.6212856723,836400000,0,0,610300000,934000000,2380700000,4440300000,1700000,356900000,1153300000,1832600000,0.33697411,998100000,0.1835282436,-658600000,339500000,0.062426449,-9900000,349400000,0.0642468373,0.67,0.65,519200000,541200000,,,,,,,,,,,,,,,,,,,,,,,,,,,
