date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-01-31,MRVL,USD,0001835632,2025-03-12,2025-03-12 16:05:32,2025,FY,948300000,0,948300000,1028400000,1029700000,113900000,3120300000,1036500000,11586900000,3111900000,14698800000,48200000,401200000,899500000,17084200000,0,20204500000,622200000,177800000,55600000,22100000,1149100000,2026800000,4165300000,0,33800000,551600000,4750700000,0,279300000,6777500000,0,1700000,-1109200000,400000,14534100000,13427000000,13427000000,20204500000,0,20204500000,48200000,4343100000,3394800000,https://www.sec.gov/Archives/edgar/data/1835632/000183563225000057/0001835632-25-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563225000057/mrvl-20250201.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,MRVL,USD,0001835632,2024-03-13,2024-03-13 16:04:10,2024,FY,950800000,0,950800000,1121600000,864400000,125900000,3062700000,959600000,11586900000,4354700000,15941600000,45800000,311900000,906900000,18165800000,0,21228500000,411300000,146700000,17800000,43200000,1195200000,1814200000,4254600000,0,58700000,269600000,4582900000,0,235400000,6397100000,0,1700000,-16700000,1100000,14845300000,14831400000,14831400000,21228500000,0,21228500000,45800000,4401300000,3450500000,https://www.sec.gov/Archives/edgar/data/1835632/000183563224000009/0001835632-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563224000009/mrvl-20240203.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,MRVL,USD,0001835632,2023-03-09,2023-03-09 16:03:34,2023,FY,911000000,0,911000000,1192200000,1068300000,109600000,3281100000,788700000,11586900000,5541500000,17128400000,36100000,465900000,821900000,19241000000,0,22522100000,465800000,628200000,118400000,45200000,1129100000,2386700000,4109300000,0,64200000,324700000,4498200000,0,245400000,6884900000,0,1700000,1123500000,0,14512000000,15637200000,15637200000,22522100000,0,22522100000,36100000,4737500000,3826500000,https://www.sec.gov/Archives/edgar/data/1835632/000183563223000013/0001835632-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563223000013/mrvl-20230128.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,MRVL,USD,0001835632,2022-03-10,2022-03-10 16:05:55,2022,FY,613500000,0,613500000,1048600000,720300000,111000000,2493400000,604800000,11511100000,6643600000,18154700000,30700000,493500000,331500000,19615200000,0,22108600000,461500000,101400000,23300000,39000000,763400000,1388600000,4625100000,0,34500000,358300000,5017900000,0,178500000,6406500000,0,1700000,1491400000,0,14209000000,15702100000,15702100000,22108600000,0,22108600000,30700000,4726500000,4113000000,https://www.sec.gov/Archives/edgar/data/1835632/000183563222000016/0001835632-22-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563222000016/mrvl-20220129.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,MRVL,USD,0001835632,2021-01-31,2021-01-31 00:00:00,2021,FY,748467000,0,748467000,536668000,268228000,63782000,1617145000,427536000,5336961000,2512944000,7849905000,7646000,672424000,190268000,9147779000,0,10764924000,252419000,232102000,2246000,16146000,574184000,1077097000,1097587000,0,22359000,132077000,1252023000,0,136878000,2329120000,0,1350000,2103441000,0,6331013000,8435804000,8435804000,10764924000,0,10764924000,7646000,1329689000,581222000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,MRVL,USD,0001835632,2025-03-12,2025-03-12 16:05:32,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1835632/000183563225000057/0001835632-25-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563225000057/mrvl-20250201.htm,income_statement,5767300000,3385100000,2382200000,0.4130529017,1950400000,0,0,798200000,353900000,3102500000,6487600000,15000000,189400000,1356900000,651600000,0.1129818112,-720300000,-0.1248937978,-174400000,-894700000,-0.1551332513,-9700000,-885000000,-0.1534513551,-1.02,-1.02,865500000,865500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,MRVL,USD,0001835632,2024-03-13,2024-03-13 16:04:10,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1835632/000183563224000009/0001835632-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563224000009/mrvl-20240203.htm,income_statement,5507700000,3214100000,2293600000,0.4164351726,1896200000,0,0,834000000,131100000,2861300000,6075400000,20700000,211700000,1397700000,850700000,0.1544564882,-567700000,-0.1030738784,-191000000,-758700000,-0.1377526009,174700000,-933400000,-0.1694718303,-1.08,-1.08,861300000,861300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,MRVL,USD,0001835632,2023-03-09,2023-03-09 16:03:34,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1835632/000183563223000013/0001835632-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563223000013/mrvl-20230128.htm,income_statement,5919600000,2932100000,2987500000,0.5046793702,1784300000,0,0,843600000,121600000,2749500000,5681600000,17700000,170600000,1392300000,1648000000,0.278397189,238000000,0.0402054193,-152900000,85100000,0.0143759713,248600000,-163500000,-0.0276201095,-0.19,-0.19,851400000,851400000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,MRVL,USD,0001835632,2022-03-10,2022-03-10 16:05:55,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1835632/000183563222000016/0001835632-22-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563222000016/mrvl-20220129.htm,income_statement,4462400000,2398200000,2064200000,0.4625761922,1424200000,0,0,955300000,32400000,2411900000,4810100000,800000,139300000,1245300000,901100000,0.2019316959,-347700000,-0.0779177124,-135800000,-483500000,-0.1083497669,-62500000,-421000000,-0.0943438508,-0.53,-0.53,796855000,796855000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,MRVL,USD,0001835632,2021-01-31,2021-01-31 00:00:00,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,2968900000,1480600000,1488300000,0.5012967766,1072700000,0,0,467200000,206800000,1746700000,3227300000,2600000,69300000,641500000,388600000,0.1308902287,-258400000,-0.0870356024,-63800000,-322200000,-0.1085250429,-44900000,-277300000,-0.0934015966,-0.41,-0.41,668772000,668772000,,,,,,,,,,,,,,,,,,,,,,,,,,,
