date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,NEM,USD,0001164727,2025-02-21,2025-02-20 20:20:57,2024,FY,3619000000,21000000,3640000000,1056000000,2184000000,5395000000,12275000000,33547000000,2658000000,0,2658000000,4471000000,124000000,3274000000,44074000000,0,56349000000,843000000,1031000000,410000000,0,5259000000,7543000000,7941000000,0,2820000000,7936000000,18697000000,0,496000000,26240000000,0,1813000000,-1320000000,-95000000,29530000000,29928000000,30109000000,56349000000,181000000,56349000000,4492000000,8972000000,5353000000,https://www.sec.gov/Archives/edgar/data/1164727/000116472725000011/0001164727-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472725000011/nem-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,NEM,USD,0001164727,2024-02-29,2024-02-29 07:51:31,2023,FY,3002000000,23000000,3025000000,1227000000,2642000000,618000000,7512000000,37563000000,3001000000,0,3001000000,4143000000,268000000,3019000000,47994000000,0,55506000000,960000000,2037000000,404000000,0,2597000000,5998000000,7399000000,0,2987000000,9917000000,20303000000,0,562000000,26301000000,0,1854000000,-2996000000,14000000,30155000000,29027000000,29205000000,55506000000,178000000,55506000000,4166000000,9436000000,6434000000,https://www.sec.gov/Archives/edgar/data/1164727/000116472724000016/0001164727-24-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472724000016/nem-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,NEM,USD,0001164727,2023-02-23,2023-02-23 07:11:58,2022,FY,2877000000,880000000,3757000000,690000000,1753000000,315000000,6515000000,24073000000,1971000000,0,1971000000,3278000000,173000000,2472000000,31967000000,0,38482000000,633000000,96000000,199000000,0,1998000000,2926000000,6036000000,0,1809000000,8178000000,16023000000,0,561000000,18949000000,0,1279000000,916000000,29000000,17130000000,19354000000,19533000000,38482000000,179000000,38482000000,4158000000,6132000000,3255000000,https://www.sec.gov/Archives/edgar/data/1164727/000116472723000011/0001164727-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472723000011/nem-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,NEM,USD,0001164727,2022-02-24,2022-02-24 07:05:54,2021,FY,4992000000,82000000,5074000000,337000000,1787000000,498000000,7696000000,24124000000,2771000000,0,2771000000,3243000000,269000000,2461000000,32868000000,0,40564000000,518000000,193000000,384000000,0,1559000000,2654000000,6109000000,0,2144000000,7796000000,16049000000,0,650000000,18703000000,0,1276000000,3098000000,-133000000,17781000000,22022000000,21861000000,40564000000,-161000000,40564000000,3325000000,6302000000,1310000000,https://www.sec.gov/Archives/edgar/data/1164727/000116472722000007/0001164727-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472722000007/nem-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,NEM,USD,0001164727,2021-02-18,2021-02-18 07:06:48,2020,FY,5540000000,290000000,5830000000,449000000,1790000000,436000000,8505000000,24281000000,2771000000,0,2771000000,3197000000,337000000,2278000000,32864000000,0,41369000000,493000000,657000000,657000000,0,1562000000,3369000000,6045000000,0,2073000000,6003000000,14121000000,0,671000000,17490000000,0,1287000000,4002000000,-216000000,17935000000,23008000000,23879000000,41369000000,871000000,41369000000,3487000000,6702000000,1162000000,https://www.sec.gov/Archives/edgar/data/1164727/000116472721000027/0001164727-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472721000027/nem-20201231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,NEM,USD,0001164727,2025-02-21,2025-02-20 20:20:57,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1164727/000116472725000011/0001164727-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472725000011/nem-20241231.htm,income_statement,18557000000,12133000000,6424000000,0.3461766449,197000000,442000000,0,442000000,37000000,676000000,12809000000,152000000,385000000,2904000000,7866000000,0.4238831708,5748000000,0.3097483429,-1038000000,4710000000,0.2538125775,1397000000,3348000000,0.1804170933,2.86,2.86,1146000000,1148000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,NEM,USD,0001164727,2024-02-29,2024-02-29 07:51:31,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1164727/000116472724000016/0001164727-24-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472724000016/nem-20231231.htm,income_statement,11775000000,10605000000,1170000000,0.0993630573,200000000,0,0,299000000,21000000,520000000,11125000000,148000000,248000000,3641000000,1858000000,0.1577919321,650000000,0.0552016985,-2618000000,-1968000000,-0.167133758,526000000,-2521000000,-0.2140976645,-2.9976,-2.9976,841000000,841000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,NEM,USD,0001164727,2023-02-23,2023-02-23 07:11:58,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1164727/000116472723000011/0001164727-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472723000011/nem-20221231.htm,income_statement,11949000000,9805000000,2144000000,0.1794292409,229000000,0,0,276000000,18000000,523000000,10328000000,78000000,227000000,3106000000,3282000000,0.2746673362,1621000000,0.1356598879,-1565000000,56000000,0.0046865847,455000000,-459000000,-0.0384132563,-0.5781,-0.5781,794000000,795000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,NEM,USD,0001164727,2022-02-24,2022-02-24 07:05:54,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1164727/000116472722000007/0001164727-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472722000007/nem-20211231.htm,income_statement,12190000000,9814000000,2376000000,0.1949138638,154000000,0,0,259000000,47000000,460000000,10274000000,18000000,266000000,4169000000,5543000000,0.4547169811,1916000000,0.1571780148,-642000000,1274000000,0.104511895,1098000000,1166000000,0.0956521739,1.4593,1.4557,799000000,801000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,NEM,USD,0001164727,2021-02-18,2021-02-18 07:06:48,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1164727/000116472721000027/0001164727-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1164727/000116472721000027/nem-20201231.htm,income_statement,11417000000,7869000000,3548000000,0.3107646492,122000000,0,0,269000000,193000000,584000000,8453000000,24000000,291000000,2666000000,6100000000,0.5342909696,2964000000,0.259612858,368000000,3332000000,0.2918454936,704000000,2829000000,0.2477883857,3.5187,3.5099,804000000,806000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
