date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,NOW,USD,0001373715,2026-01-29,2026-01-28 19:16:22,2025,FY,3726000000,2558000000,6284000000,2627000000,0,970000000,9881000000,3095000000,3578000000,1121000000,4699000000,5316000000,1056000000,1991000000,16157000000,0,26038000000,204000000,112000000,0,8314000000,1813000000,10443000000,3091000000,120000000,0,-580000000,2631000000,0,800000000,13074000000,0,1000000,5242000000,19000000,7702000000,12964000000,12964000000,26038000000,0,26038000000,7874000000,3203000000,-523000000,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000007/0001373715-26-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000007/now-20251231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,NOW,USD,0001373715,2025-01-30,2025-01-29 21:49:31,2024,FY,2304000000,3458000000,5762000000,2240000000,0,1185000000,9187000000,2456000000,1273000000,209000000,1482000000,4111000000,1385000000,1762000000,11196000000,0,20383000000,68000000,102000000,162000000,6819000000,1207000000,8358000000,2176000000,95000000,0,145000000,2416000000,0,687000000,10774000000,0,0,3494000000,-68000000,6183000000,9609000000,9609000000,20383000000,0,20383000000,7569000000,2278000000,-26000000,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000010/0001373715-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000010/now-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,NOW,USD,0001373715,2024-01-25,2024-01-25 16:59:25,2023,FY,1897000000,2980000000,4877000000,2036000000,0,864000000,7777000000,2073000000,1231000000,224000000,1455000000,3203000000,1508000000,1371000000,9610000000,0,17387000000,126000000,89000000,123000000,5785000000,1242000000,7365000000,2195000000,81000000,0,118000000,2394000000,0,707000000,9759000000,0,0,2069000000,-37000000,5596000000,7628000000,7628000000,17387000000,0,17387000000,6183000000,2284000000,387000000,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/0001373715-24-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/now-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,NOW,USD,0001373715,2023-01-31,2023-01-30 17:43:36,2022,FY,1470000000,2810000000,4280000000,1725000000,0,649000000,6654000000,1735000000,824000000,232000000,1056000000,2117000000,636000000,1101000000,6645000000,0,13299000000,274000000,96000000,109000000,4660000000,866000000,6005000000,2136000000,70000000,0,56000000,2262000000,0,650000000,8267000000,0,0,338000000,-102000000,4796000000,5032000000,5032000000,13299000000,0,13299000000,4927000000,2232000000,762000000,https://www.sec.gov/Archives/edgar/data/1373715/000137371523000035/0001373715-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371523000035/now-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,NOW,USD,0001373715,2022-02-03,2022-02-03 17:07:54,2021,FY,1728000000,1576000000,3304000000,1390000000,0,526000000,5220000000,1357000000,777000000,287000000,1064000000,1630000000,692000000,835000000,5578000000,0,10798000000,89000000,174000000,101000000,3836000000,749000000,4949000000,2040000000,63000000,0,51000000,2154000000,0,638000000,7103000000,0,0,-4000000,34000000,3665000000,3695000000,3695000000,10798000000,0,10798000000,3206000000,2214000000,486000000,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000024/0001373715-22-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000024/now-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,NOW,USD,0001373715,2026-01-29,2026-01-28 19:16:22,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000007/0001373715-26-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000007/now-20251231.htm,income_statement,13278000000,2983000000,10295000000,0.7753426721,2960000000,1123000000,4388000000,5511000000,0,8471000000,11454000000,451000000,0,738000000,2999000000,0.2258623287,1824000000,0.1373700859,437000000,2261000000,0.1702816689,513000000,1748000000,0.1316463323,1.69,1.67,1037000000,1047000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,NOW,USD,0001373715,2025-01-30,2025-01-29 21:49:31,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000010/0001373715-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000010/now-20241231.htm,income_statement,10984000000,2287000000,8697000000,0.7917880554,2543000000,936000000,3854000000,4790000000,0,7333000000,9620000000,419000000,23000000,465000000,2226000000,0.2026584122,1364000000,0.1241806264,374000000,1738000000,0.1582301529,313000000,1425000000,0.1297341588,1.38,1.37,1029170000,1042115000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,NOW,USD,0001373715,2024-01-25,2024-01-25 16:59:25,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/0001373715-24-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/now-20231231.htm,income_statement,8971000000,1921000000,7050000000,0.7858655668,2124000000,863000000,3301000000,4164000000,0,6288000000,8209000000,302000000,24000000,562000000,1594000000,0.1776836473,762000000,0.0849403634,246000000,1008000000,0.1123620555,-723000000,1731000000,0.1929550775,1.7,1.68,1020685000,1027955000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,NOW,USD,0001373715,2023-01-31,2023-01-30 17:43:36,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1373715/000137371523000035/0001373715-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371523000035/now-20221231.htm,income_statement,7245000000,1573000000,5672000000,0.7828847481,1768000000,735000000,2814000000,3549000000,0,5317000000,6890000000,82000000,27000000,342000000,768000000,0.1060041408,355000000,0.0489993099,44000000,399000000,0.0550724638,74000000,325000000,0.0448585231,0.32,0.32,1007150000,1017675000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,NOW,USD,0001373715,2022-02-03,2022-02-03 17:07:54,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000024/0001373715-22-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000024/now-20211231.htm,income_statement,5896000000,1353000000,4543000000,0.7705223881,1397000000,597000000,2292000000,2889000000,0,4286000000,5639000000,20000000,28000000,472000000,729000000,0.1236431479,257000000,0.0435888738,-8000000,249000000,0.0422320217,19000000,230000000,0.039009498,0.23,0.23,990470000,1015835000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,NOW,USD,0001373715,2026-01-29,2026-01-28 19:16:22,2025,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000007/0001373715-26-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000007/now-20251231.htm,cash_flow,,,,,,,,,,,,,,738000000,,,,,,,,,1748000000,,,,,,249000000,1955000000,29000000,-312000000,55000000,286000000,725000000,5444000000,-868000000,-1084000000,-3870000000,4138000000,-5000000,-1689000000,0,270000000,-1840000000,0,-770000000,-2340000000,1000000,1416000000,3726000000,2310000000,5444000000,-868000000,4576000000
2024-12-31,NOW,USD,0001373715,2025-01-30,2025-01-29 21:49:31,2024,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000010/0001373715-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000010/now-20241231.htm,cash_flow,,,,,,,,,,,,,,564000000,,,,,,,,,1425000000,,,,,,98000000,1746000000,-65000000,-254000000,-52000000,241000000,499000000,4267000000,-852000000,-113000000,-5212000000,3752000000,-76000000,-2501000000,0,0,-696000000,0,-647000000,-1343000000,-17000000,406000000,2310000000,1904000000,4267000000,-852000000,3415000000
2023-12-31,NOW,USD,0001373715,2024-01-25,2024-01-25 16:59:25,2023,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/0001373715-24-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/now-20231231.htm,cash_flow,,,,,,,,,,,,,,562000000,,,,,,,,,1731000000,,,,,,-857000000,1604000000,-101000000,-300000000,-142000000,341000000,459000000,3398000000,-694000000,-279000000,-4709000000,3522000000,-7000000,-2167000000,0,0,-538000000,0,-265000000,-803000000,1000000,429000000,1904000000,1475000000,3398000000,-694000000,2704000000
