date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,OKLO,USD,0001849056,2025-03-24,2025-03-24 20:16:36,2024,FY,97132000,130682000,227814000,1738000,0,2387000,231939000,2184000,0,0,0,47473000,0,140000,49797000,0,281736000,2970000,742000,202000,0,1422000,5336000,543000,0,0,25000000,25543000,0,1024000,30879000,0,14000,-135109000,2213000,383739000,250857000,250857000,281736000,0,281736000,178155000,1285000,-95847000,https://www.sec.gov/Archives/edgar/data/1849056/000162828025014490/0001628280-25-014490-index.htm,https://www.sec.gov/Archives/edgar/data/1849056/000162828025014490/oklo-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,OKLO,USD,0001849056,2024-03-29,2024-03-29 20:53:36,2023,FY,9868000,0,9868000,126000,0,4205000,14199000,661000,0,0,0,0,0,25000,686000,0,14885000,2274000,250000,0,0,680000,3204000,0,0,0,46042000,46042000,0,94000,49246000,0,7000,-61493000,0,27125000,-34361000,-34361000,14885000,0,14885000,0,250000,-9618000,https://www.sec.gov/Archives/edgar/data/1849056/000141057824000365/0001410578-24-000365-index.htm,https://www.sec.gov/Archives/edgar/data/1849056/000141057824000365/alcc-20231231x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,OKLO,USD,0001849056,2023-03-31,2023-03-31 19:44:13,2022,FY,9653528,0,9653528,391000,0,443724,10488252,447903,0,0,0,0,0,51270,499173,0,10987425,336621,210246,0,0,87169,634036,93935,0,0,38370520,38464455,0,304181,39098491,0,477,-29320787,0,1209244,-28111066,-28111066,10987425,0,10987425,0,304181,-9349347,https://www.sec.gov/Archives/edgar/data/1849056/000141057823000545/0001410578-23-000545-index.htm,https://www.sec.gov/Archives/edgar/data/1849056/000141057823000545/alcc-20221231x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,OKLO,USD,0001849056,2022-03-31,2022-03-31 19:39:59,2021,FY,10443901,0,10443901,0,0,9727.000000000771,10453628,502162,0,0,0,0,0,85459,587621,0,11041249,99906,190136,0,0,147118,437160,304181,0,0,4000000,4304181,0,494317,4741341,25030520,463,-19296896,0,565820.9999999999,6299908,6299908,11041249,0,11041249,0,494317,-9949584,https://www.sec.gov/Archives/edgar/data/1849056/000141057822000756/0001410578-22-000756-index.htm,https://www.sec.gov/Archives/edgar/data/1849056/000141057822000756/alcc-20211231x10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,OKLO,USD,0001849056,2025-03-24,2025-03-24 20:16:36,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1849056/000162828025014490/0001628280-25-014490-index.htm,https://www.sec.gov/Archives/edgar/data/1849056/000162828025014490/oklo-20241231.htm,income_statement,0,0,0,0,26711000,26003000,321000,26324000,-234000,52801000,52801000,7732000,0,268000,-52533000,0,-52801000,0,-20132000,-72933000,0,683000,-73616000,0,-0.7443,-0.7443,98910013,98910013,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,OKLO,USD,0001849056,2024-03-29,2024-03-29 20:53:36,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1849056/000141057824000365/0001410578-24-000365-index.htm,https://www.sec.gov/Archives/edgar/data/1849056/000141057824000365/alcc-20231231x10k.htm,income_statement,0,0,0,0,9763000,8743000,340000,9083000,-210000,18636000,18636000,180000,0,75000,-18561000,0,-18636000,0,-13537000,-32173000,0,0,-32173000,0,-0.467,-0.467,68891996,68891996,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,OKLO,USD,0001849056,2023-03-31,2023-03-31 19:44:13,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1849056/000141057823000545/0001410578-23-000545-index.htm,https://www.sec.gov/Archives/edgar/data/1849056/000141057823000545/alcc-20221231x10k.htm,income_statement,0,0,0,0,6024267,3869353,321238,4190591,-190047,10024811,10024811,7277660,0,29532,-9995279,0,-10024811,0,920,-10023891,0,0,-10023891,0,0.0614,0.0614,63950000,63950000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,OKLO,USD,0001849056,2022-03-31,2022-03-31 19:39:59,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1849056/000141057822000756/0001410578-22-000756-index.htm,https://www.sec.gov/Archives/edgar/data/1849056/000141057822000756/alcc-20211231x10k.htm,income_statement,0,0,0,0,2477237,2558903,272326,2831229,-147056,5161410,5161410,117677,0,2570,-5158840,0,-5161410,0,4874,-5156536,0,0,-5156536,0,-0.0165,-0.0165,63950000,63950000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,OKLO,USD,0001849056,2025-03-24,2025-03-24 20:16:36,2024,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1849056/000162828025014490/0001628280-25-014490-index.htm,https://www.sec.gov/Archives/edgar/data/1849056/000162828025014490/oklo-20241231.htm,cash_flow,,,,,,,,,,,,,,268000,,,,,,,,,-73616000,,,,,,0,12484000,-4870000,0,-1762000,-3108000,27344000,-38390000,-352000,0,-291620000,116198000,0,-175774000,10232,266196000,0,0,35221768,301428000,0,87264000,97132000,9868000,-38390000,-352000,-38742000
2023-12-31,OKLO,USD,0001849056,2024-03-29,2024-03-29 20:53:36,2023,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1849056/000141057824000365/0001410578-24-000365-index.htm,https://www.sec.gov/Archives/edgar/data/1849056/000141057824000365/alcc-20231231x10k.htm,cash_flow,,,,,,,,,,,,,,75.247,,,,,,,,,-32172,,,,,,-294084,777.4029999999999,-187657,0,0,-187657,-15484938,-15998000,-83.155,0,0,0,-82916,-83000,19325,-3030000,0,0,19305675,16295000,6076641,6290641,9868000,3577359,-15998000,-83000,-16081000
