date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-01-31,OKTA,USD,0001660134,2025-03-05,2025-03-05 16:01:29,2025,FY,409000000,2114000000,2523000000,621000000,0,272000000,3416000000,117000000,5448000000,138000000,5586000000,0,0,318000000,6021000000,0,9437000000,13000000,509000000,0,1691000000,310000000,2523000000,443000000,27000000,0,39000000,509000000,0,94000000,3032000000,0,0,-2802000000,-12000000,9219000000,6405000000,6405000000,9437000000,0,9437000000,2114000000,952000000,543000000,https://www.sec.gov/Archives/edgar/data/1660134/000166013425000049/0001660134-25-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013425000049/okta-20250131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,OKTA,USD,0001660134,2024-03-01,2024-03-01 16:02:15,2024,FY,334000000,1868000000,2202000000,559000000,0,219000000,2980000000,131000000,5406000000,182000000,5588000000,0,0,290000000,6009000000,0,8989000000,12000000,31000000,4000000,1488000000,247000000,1782000000,1266000000,23000000,16000000,14000000,1319000000,0,143000000,3101000000,0,0,-2830000000,-6000000,8724000000,5888000000,5888000000,8989000000,0,8989000000,1868000000,1297000000,963000000,https://www.sec.gov/Archives/edgar/data/1660134/000166013424000025/0001660134-24-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013424000025/okta-20240131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,OKTA,USD,0001660134,2023-03-03,2023-03-03 16:03:29,2023,FY,264000000,2316000000,2580000000,481000000,0,168000000,3229000000,181000000,5400000000,241000000,5641000000,0,0,256000000,6078000000,0,9307000000,12000000,32000000,5000000,1242000000,174000000,1465000000,2335000000,18000000,12000000,11000000,2376000000,0,174000000,3841000000,0,0,-2475000000,-33000000,7974000000,5466000000,5466000000,9307000000,0,9307000000,2316000000,2367000000,2103000000,https://www.sec.gov/Archives/edgar/data/1660134/000166013423000013/0001660134-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013423000013/okta-20230131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,OKTA,USD,0001660134,2022-03-07,2022-03-07 16:52:24,2022,FY,260000000,2242000000,2502000000,398000000,0,141000000,3041000000,213000000,5401000000,317000000,5718000000,0,0,234000000,6165000000,0,9206000000,20000000,43000000,7000000,973000000,200000000,1243000000,1987000000,23000000,9000000,22000000,2041000000,0,198000000,3284000000,0,0,-1816000000,-12000000,7750000000,5922000000,5922000000,9206000000,0,9206000000,2242000000,2030000000,1770000000,https://www.sec.gov/Archives/edgar/data/1660134/000166013422000010/0001660134-22-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013422000010/okta-20220131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,OKTA,USD,0001660134,2021-03-04,2021-03-04 16:02:41,2021,FY,434607000,2121584000,2556191000,194818000,0,127558000,2878567000,212387000,48023000,27009000,75032000,0,0,132811000,420230000,0,3298797000,8557000,932087000,2462000,502738000,99770000,1545614000,1036905000,10860000,3877000,7498000,1059140000,0,202921000,2604754000,0,13000,-967456000,5390000,1656096000,694043000,694043000,3298797000,0,3298797000,2121584000,1968992000,1534385000,https://www.sec.gov/Archives/edgar/data/1660134/000166013421000007/0001660134-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013421000007/okta-20210131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,OKTA,USD,0001660134,2025-03-05,2025-03-05 16:01:29,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1660134/000166013425000049/0001660134-25-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013425000049/okta-20250131.htm,income_statement,2610000000,618000000,1992000000,0.7632183908,642000000,448000000,965000000,1413000000,11000000,2066000000,2684000000,106000000,5000000,88000000,139000000,0.053256705,-74000000,-0.0283524904,120000000,46000000,0.0176245211,18000000,28000000,0.0107279693,0.17,0.06,169569000,175086000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,OKTA,USD,0001660134,2024-03-01,2024-03-01 16:02:15,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1660134/000166013424000025/0001660134-24-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013424000025/okta-20240131.htm,income_statement,2263000000,581000000,1682000000,0.7432611578,656000000,450000000,1036000000,1486000000,56000000,2198000000,2779000000,81000000,8000000,84000000,-245000000,-0.1082633672,-516000000,-0.2280159081,179000000,-337000000,-0.1489173663,18000000,-355000000,-0.1568714096,-2.17,-2.17,163634000,163634000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,OKTA,USD,0001660134,2023-03-03,2023-03-03 16:03:29,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1660134/000166013423000013/0001660134-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013423000013/okta-20230131.htm,income_statement,1858000000,546000000,1312000000,0.7061356297,620000000,409000000,1066000000,1475000000,29000000,2124000000,2670000000,22000000,11000000,114000000,-676000000,-0.3638320775,-812000000,-0.4370290635,11000000,-801000000,-0.4311087191,14000000,-815000000,-0.4386437029,-5.16,-5.16,158023000,158023000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,OKTA,USD,0001660134,2022-03-07,2022-03-07 16:52:24,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1660134/000166013422000010/0001660134-22-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013422000010/okta-20220131.htm,income_statement,1300000000,396405000,904000000,0.6953846154,469000000,432000000,771000000,1203000000,0,1672000000,2068000000,9000000,91000000,108000000,-651000000,-0.5007692308,-768000000,-0.5907692308,-82000000,-850000000,-0.6538461538,-2000000,-848000000,-0.6523076923,-5.73,-5.73,148036000,148036000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,OKTA,USD,0001660134,2021-03-04,2021-03-04 16:02:41,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1660134/000166013421000007/0001660134-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013421000007/okta-20210131.htm,income_statement,835000000,217681000,617000000,0.7389221557,223000000,171000000,427000000,598000000,0,821000000,1039000000,12891000,72660000,37000000,-156000000,-0.1868263473,-204000000,-0.2443113772,-62000000,-266000000,-0.3185628743,0,-266000000,-0.3185628743,-2.09,-2.09,127212000,127212000,,,,,,,,,,,,,,,,,,,,,,,,,,,
