date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,ONON,CHF,0001858985,2025-03-04,2025-03-04 06:13:52,2024,FY,924300000,43700000,968000000,246100000,419200000,126400000,1759700000,450800000,1800000,56500000,58300000,0,0,107900000,617000000,0,2376700000,166500000,59100000,105000000,0,329800000,660400000,288500000,0,0,36000000,324500000,0,347600000,984900000,0,33700000,232800000,395199999,730100000,1391800000,1391800000,2376700000,0,2376700000,43700000,347600000,-576700000,https://www.sec.gov/Archives/edgar/data/1858985/000185898525000003/0001858985-25-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1858985/000185898525000003/onholdingag-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,ONON,CHF,0001858985,2024-03-12,2024-03-12 07:13:10,2023,FY,494600000,17800000,512400000,204800000,356500000,77600000,1151300000,307500000,1800000,62800000,64600000,0,0,69600000,441700000,0,1593000000,65099999,38700000,23507960,0,178292040,305600000,190300000,0,0,22600000,212900000,0,229000000,518500000,0,33500000,-21000000,331800000,730200000,1074500000,1074500000,1593000000,0,1593000000,17800000,229000000,-265600000,https://www.sec.gov/Archives/edgar/data/1858985/000185898524000012/0001858985-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1858985/000185898524000012/onholdingag-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,ONON,CHF,0001858985,2023-03-21,2023-03-21 06:50:59,2022,FY,371000000,26300000,397300000,174600000,395600000,84000000,1051500000,228800000,1800000,68500000,70300000,0,0,31800000,330900000,0,1382400000,111000000,21600000,13900000,0,96200000,242700000,138800000,0,0,31400000,170200000,0,160400000,412900000,0,33500000,-109100000,314300000,730800000,969500000,969500000,1382400000,0,1382400000,26300000,160400000,-210600000,https://www.sec.gov/Archives/edgar/data/1858985/000185898523000011/0001858985-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1858985/000185898523000011/onholdingag-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,ONON,CHF,0001858985,2022-03-18,2022-03-18 06:07:13,2021,FY,653100000,23700000,676800000,99300000,134199999,54300000,964600000,212289000,1791000,55700000,57500000,0,0,2111000,271900000,0,1236500000,45900000,13600000,2400000,0,143100000,205000000,167200000,0,0,15900000,183100000,0,180800000,388100000,0,33500000,-189600000,272600000,731900000,848400000,848400000,1236500000,0,1236500000,23700000,180800000,-472300000,https://www.sec.gov/Archives/edgar/data/1858985/000185898522000006/0001858985-22-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1858985/000185898522000006/onholdingag-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,ONON,CHF,0001858985,2020-12-31,2020-12-31 00:00:00,2020,FY,90642000,9864000,100506000,51631000,102878000,27249000,282264000,39723000,1791000,52876000,54667000,0,5915000,0,100305000,0,382569000,41543000,4554000,7169000,0,33097000,86363000,19174000,0,0,31939000,51113000,0,23482000,137476000,0,2172000,-27715000,95411000,175225000,245093000,245093000,382569000,0,382569000,9864000,23728000,-66914000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,ONON,CHF,0001858985,2025-03-04,2025-03-04 06:13:52,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1858985/000185898525000003/0001858985-25-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1858985/000185898525000003/onholdingag-20241231.htm,income_statement,2318300000,912600000,1405700000,0.6063494802,0,461100000,733100000,1194200000,-100000,1194100000,2106700000,24222408,23810111,104600000,400000000,0.1725402234,211600000,0.0912737782,68000000,279600000,0.1206056162,37400000,242300000,0.1045162403,0.71,0.71,338888888,338888888,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,ONON,CHF,0001858985,2024-03-12,2024-03-12 07:13:10,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1858985/000185898524000012/0001858985-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1858985/000185898524000012/onholdingag-20231231.htm,income_statement,1792100000,724800000,1067300000,0.5955582836,8900000,286600000,568600000,855200000,23000000,887100000,1611900000,10946965,10756582,26500000,206300000,0.115116344,180200000,0.1005524245,-111100000,69100000,0.0385581162,-10500000,79600000,0.0444171642,0.25,0.25,323257314,323257314,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,ONON,CHF,0001858985,2023-03-21,2023-03-21 06:50:59,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1858985/000185898523000011/0001858985-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1858985/000185898523000011/onholdingag-20221231.htm,income_statement,1222100000,537200000,684900000,0.5604287701,0,233100000,366700000,599800000,0,599800000,1137000000,5516912,6194427,46400000,128600000,0.1052287047,85100000,0.0696342362,-7200000,77900000,0.0637427379,20200000,57700000,0.0472138123,0.18,0.18,316739245,319782887,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,ONON,CHF,0001858985,2022-03-18,2022-03-18 06:07:13,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1858985/000185898522000006/0001858985-22-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1858985/000185898522000006/onholdingag-20211231.htm,income_statement,724600000,294300000,430300000,0.5938448799,0,321900000,249500000,571400000,0,571400000,865700000,0,3540231,31400000,-125800000,-0.1736130279,-141100000,-0.1947281259,-18500000,-159600000,-0.2202594535,10600000,-170200000,-0.2348882142,-0.55,-0.55,311407369,311407369,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,ONON,CHF,0001858985,2020-12-31,2020-12-31 00:00:00,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,425300000,194200000,231100000,0.5433811427,0,115900000,132300000,248200000,0,248200000,442400000,0,852299,12100000,-12000000,-0.0282153774,-17100000,-0.0402069128,-7300000,-24400000,-0.0573712673,3100000,-27500000,-0.0646602398,-0.0899,-0.0899,305726141,305726141,,,,,,,,,,,,,,,,,,,,,,,,,,,
