date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,PAAS,USD,0000771992,2025-02-19,2025-02-19 17:11:57,2024,FY,862800000,24500000,887300000,195800000,605700000,31600000,1720400000,5325100000,0,0,0,0,44500000,112800000,5482400000,-100000,7202700000,194400000,47400000,132500000,0,312700000,687000000,755900000,13300000,521700000,508200000,1799100000,0,94500000,2486100000,0,5939700000,-1299500000,-30900000,94200000,4703500000,4716600000,7202700000,13100000,7202700000,24500000,803300000,-59500000,https://www.sec.gov/Archives/edgar/data/771992/000077199225000015/0000771992-25-000015-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199225000015/paas-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,PAAS,USD,0000771992,2024-03-26,2024-03-26 15:49:50,2023,FY,399600000,41300000,440900000,200900000,711600000,36600000,1390000000,5675100000,0,0,0,0,80400000,67600000,5823100000,0,7213100000,198200000,52400000,72600000,0,301000000,624200000,749200000,13100000,541600000,512500000,1816400000,0,97900000,2440600000,0,5966500000,-1269500000,-30300000,94000000,4760700000,4772500000,7213100000,11800000,7213100000,41300000,801600000,402000000,https://www.sec.gov/Archives/edgar/data/771992/000077199224000031/0000771992-24-000031-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199224000031/paas-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,PAAS,USD,0000771992,2023-02-22,2023-02-22 17:28:49,2022,FY,107000000,35300000,142300000,176600000,471600000,13900000,804400000,2226400000,2775000,0,2775000,121200000,55900000,37825000,2444100000,0,3248500000,88800000,27300000,46300000,0,218400000,380800000,199500000,13900000,140300000,312400000,666100000,0,33100000,1046900000,0,3140000000,-1034800000,-3000000,93300000,2195500000,2201600000,3248500000,6100000,3248500000,156500000,226800000,119800000,https://www.sec.gov/Archives/edgar/data/771992/000077199223000021/0000771992-23-000021-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199223000021/paas-20221231_d2.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,PAAS,USD,0000771992,2022-02-24,2022-02-23 17:53:16,2021,FY,283550000,51723000,335273000,148432000,500462000,17002000,1001169000,2344551000,2775000,0,2775000,78657000,55953000,35479000,2517415000,0,3518584000,77461000,10663000,91471000,0,208080000,387675000,31798000,12516000,184785000,265802000,494901000,0,30561000,882576000,0,3136214000,-598035000,0,93375000,2631554000,2636008000,3518584000,4454000,3518584000,130380000,42461000,-241089000,https://www.sec.gov/Archives/edgar/data/771992/000077199222000024/0000771992-22-000024-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199222000024/paas-20211231_d2.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,PAAS,USD,0000771992,2021-02-18,2021-02-17 17:56:06,2020,FY,167113000,111946000,279059000,149807000,406191000,21867000,856924000,2415006000,2775000,0,2775000,71560000,57850000,29760000,2576951000,0,3433875000,80280000,12829000,86733000,0,181914000,361756000,20736000,13273000,175311000,256960000,466280000,0,33565000,828036000,0,3132140000,-623030000,0,93409000,2602519000,2605839000,3433875000,3320000,3433875000,183506000,33565000,-133548000,https://www.sec.gov/Archives/edgar/data/771992/000077199221000019/0000771992-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199221000019/a40-ffye2020v8.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,PAAS,USD,0000771992,2025-02-19,2025-02-19 17:11:57,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/771992/000077199225000015/0000771992-25-000015-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199225000015/paas-20241231.htm,income_statement,2818900000,2270400000,548500000,0.1945794459,0,69800000,0,69800000,-52000000,17800000,2288200000,0,50836068,571700000,1051000000,0.3728404697,530700000,0.188264926,-99000000,431700000,0.1531448437,319000000,111500000,0.0395544361,0.31,0.31,363361000,363401000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,PAAS,USD,0000771992,2024-03-26,2024-03-26 15:49:50,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/771992/000077199224000031/0000771992-24-000031-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199224000031/paas-20231231.htm,income_statement,2316100000,2019300000,296800000,0.1281464531,0,61400000,0,61400000,197300000,258700000,2278000000,16293421,58248980,484200000,476800000,0.2058633047,38100000,0.0164500669,-96900000,-58800000,-0.0253875049,46100000,-103700000,-0.0447735417,-0.32,-0.32,326540000,326540000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,PAAS,USD,0000771992,2023-02-22,2023-02-22 17:28:49,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/771992/000077199223000021/0000771992-23-000021-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199223000021/paas-20221231_d2.htm,income_statement,1494700000,1446300000,48400000,0.0323810798,0,29000000,0,29000000,281700000,310700000,1757000000,5158186,7319995,316000000,20300000,0.0135813207,-262300000,-0.1754867197,-38700000,-301000000,-0.201378203,39100000,-340063000,-0.2275125443,-1.62,-1.62,210521000,210521000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,PAAS,USD,0000771992,2022-02-24,2022-02-23 17:53:16,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/771992/000077199222000024/0000771992-22-000024-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199222000024/paas-20211231_d2.htm,income_statement,1632750000,1264812000,367938000,0.2253486449,0,34852000,0,34852000,12175000,47027000,1311839000,0,8651202,302958000,551609000,0.3378404532,320911000,0.1965463176,-75920000,244991000,0.1500480784,146429000,97428000,0.059671107,0.46,0.46,210298000,210435000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,PAAS,USD,0000771992,2021-02-18,2021-02-17 17:56:06,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/771992/000077199221000019/0000771992-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199221000019/a40-ffye2020v8.htm,income_statement,1338812000,1080740000,258072000,0.1927619412,0,36375000,0,36375000,11720000,48095000,1128835000,66353347,12469678,272444000,533672000,0.3986160865,209977000,0.1568383014,42035000,252012000,0.1882355402,75557000,177882000,0.1328655554,0.85,0.85,210100000,210295000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,PAAS,USD,0000771992,2025-02-19,2025-02-19 17:11:57,2024,FY,,,,,-67800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/771992/000077199225000015/0000771992-25-000015-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199225000015/paas-20241231.htm,cash_flow,,,,,,,,,,,,,,571700000,,,,,,,,,112700000,,,,,,319000000,400000,-127800000,-61100000,0,1100000,-151900000,724100000,-323300000,290400000,-5500000,2000000,3800000,-32600000,-57000000,1332780,-23133267,-145400000,100000,-225200000,-3100000,463200000,862800000,399600000,724100000,-323300000,400800000
2023-12-31,PAAS,USD,0000771992,2024-03-26,2024-03-26 15:49:50,2023,FY,,,,,38500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/771992/000077199224000031/0000771992-24-000031-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199224000031/paas-20231231.htm,cash_flow,,,,,,,,,,,,,,484200000,,,,,,,,,-104900000,,,,,,46100000,5500000,53200000,45900000,0,-31200000,-33900000,450200000,-379000000,614500000,0,158600000,3800000,397900000,-432500000,0,0,-130400000,11100000,-551800000,-3700000,292600000,399600000,107000000,450200000,-379000000,71200000
2022-12-31,PAAS,USD,0000771992,2023-02-22,2023-02-22 17:28:49,2022,FY,,,,,-49900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/771992/000077199223000021/0000771992-23-000021-index.htm,https://www.sec.gov/Archives/edgar/data/771992/000077199223000021/paas-20221231_d2.htm,cash_flow,,,,,,,,,,,,,,316000000,,,,,,,,,-340100000,,,,,,39100000,3900000,-42000000,-12600000,0,20500000,54900000,31800000,-274700000,0,0,10600000,8700000,-255400000,147100000,902754,0,-94700000,-300000,53000000,-6000000,-176600000,107000000,283600000,31800000,-274700000,-242900000
