date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,PLNT,USD,0001637207,2025-02-25,2025-02-25 16:55:43,2024,FY,293150000,114163000,407313000,96537000,6146000,78023000,588019000,819165000,720633000,323318000,1043951000,141318000,470197000,7058000,2481689000,0,3069708000,32887000,22500000,55556000,62111000,109441000,282495000,2553353000,31990000,1386000,415857000,3002586000,0,405324000,3285081000,0,9000,-822156000,-2348000,609115000,-215380000,-215373000,3069708000,7000,3069708000,255481000,2575853000,2282703000,https://www.sec.gov/Archives/edgar/data/1637207/000163720725000016/0001637207-25-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720725000016/plnt-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,PLNT,USD,0001637207,2024-02-22,2024-02-22 06:31:00,2023,FY,275842000,74901000,350743000,56276000,4677000,60121000,471817000,771415000,717502000,372507000,1090009000,128393000,504188000,3871000,2497876000,0,2969693000,23788000,20750000,41294000,59591000,105906000,251329000,2344463000,32047000,1644000,459201000,2837355000,0,381589000,3088684000,0,9000,-691461000,172000,575631000,-115649000,-118991000,2969693000,-3342000,2969693000,203294000,2365213000,2089371000,https://www.sec.gov/Archives/edgar/data/1637207/000163720724000020/0001637207-24-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720724000020/plnt-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,PLNT,USD,0001637207,2023-03-01,2023-03-01 16:17:48,2022,FY,409840000,0,409840000,66688000,5266000,73737000,555531000,695757000,702690000,417067000,1119757000,25122000,454565000,3857000,2299058000,0,2854589000,20578000,20750000,31940000,53759000,117503000,244530000,2319974000,33152000,1471000,467023000,2821620000,0,341843000,3066150000,0,9000,-703717000,-448000,505144000,-199012000,-211561000,2854589000,-12549000,2854589000,25122000,2340724000,1930884000,https://www.sec.gov/Archives/edgar/data/1637207/000163720723000005/0001637207-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720723000005/plnt-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,PLNT,USD,0001637207,2022-03-01,2022-03-01 16:08:19,2021,FY,545909000,0,545909000,44449000,1155000,70901000,662414000,364017000,228569000,200937000,429506000,18760000,539264000,2022000,1353569000,0,2015983000,27892000,17500000,20302000,28351000,82565000,176610000,1937955000,33428000,0,510835000,2482218000,0,197682000,2658828000,0,9000,-708804000,12000,63428000,-645355000,-642845000,2015983000,2510000,2015983000,18760000,1955455000,1409546000,https://www.sec.gov/Archives/edgar/data/1637207/000163720722000011/0001637207-22-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720722000011/plnt-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,PLNT,USD,0001637207,2021-03-01,2021-03-01 16:15:55,2020,FY,439478000,0,439478000,38662000,473000,88203000,566816000,324929000,227821000,217075000,444896000,0,511200000,1896000,1282921000,0,1849737000,19388000,17500000,488200000,26691000,-439884000,111895000,1919336000,32587000,881000,490711000,2443515000,0,167910000,2555410000,0,9000,-751578000,27000,45673000,-705869000,-705673000,1849737000,196000,1849737000,0,1936836000,1497358000,https://www.sec.gov/Archives/edgar/data/1637207/000163720721000009/0001637207-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720721000009/plnt-20201231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,PLNT,USD,0001637207,2025-02-25,2025-02-25 16:55:43,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1637207/000163720725000016/0001637207-25-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720725000016/plnt-20241231.htm,income_statement,1181654000,566638000,615016000,0.5204704592,0,127214000,43467000,170681000,120137000,290818000,857456000,23115000,100037000,160346000,507111000,0.4291535424,324198000,0.2743594995,-81512000,242686000,0.2053782241,68443000,172042000,0.1455942264,2.01,2,85621000,85827000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,PLNT,USD,0001637207,2024-02-22,2024-02-22 06:31:00,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1637207/000163720724000020/0001637207-24-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720724000020/plnt-20231231.htm,income_statement,1071326000,513740000,557586000,0.5204634257,0,0,0,124930000,159792000,284722000,798462000,17741000,86576000,149413000,443530000,0.414000967,272864000,0.2546974497,-67317000,205547000,0.1918622343,58512000,138313000,0.1291044929,1.63,1.62,84896000,85184918,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,PLNT,USD,0001637207,2023-03-01,2023-03-01 16:17:48,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1637207/000163720723000005/0001637207-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720723000005/plnt-20221231.htm,income_statement,936772000,462738000,474034000,0.5060292152,0,0,0,114853000,129103000,243956000,706694000,5005000,88628000,124022000,374088000,0.3993372987,230078000,0.2456072556,-69107000,160971000,0.1718358363,50515000,99402000,0.1061111989,1.18,1.18,84136819,84544098,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,PLNT,USD,0001637207,2022-03-01,2022-03-01 16:08:19,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1637207/000163720722000011/0001637207-22-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720722000011/plnt-20211231.htm,income_statement,587023000,271151000,315872000,0.5380913525,0,0,0,94540000,77937000,172477000,443628000,878000,81211000,62800000,195971000,0.3338387082,143395000,0.2442749262,-91435000,51781000,0.0882094909,5659000,42774000,0.0728659695,0.51,0.51,83295580,83894149,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,PLNT,USD,0001637207,2021-03-01,2021-03-01 16:15:55,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1637207/000163720721000009/0001637207-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720721000009/plnt-20201231.htm,income_statement,406618000,220007000,186611000,0.4589344299,0,0,0,68585000,58266000,126851000,346858000,2937000,82117000,53832000,121432000,0.2986390175,59760000,0.1469684077,-74277000,-14517000,-0.0357018135,687000,-14991000,-0.0368675268,-0.19,-0.19,80303277,80303277,,,,,,,,,,,,,,,,,,,,,,,,,,,
