date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,PLTR,USD,0001321655,2026-02-02,2026-02-02 16:06:08,2025,FY,1423796000,5753247000,7177043000,1042065000,0,139066000,8358174000,252065000,0,0,0,0,0,290153000,542218000,0,8900392000,8064000,45864000,0,408963000,712690000,1175581000,183474000,46216000,0,7110000,236800000,0,229338000,1412381000,0,2391000,-3562390000,13941999,10933325000,7387268000,7488011000,8900392000,100743000,8900392000,5753247000,229338000,-1194458000,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000004/0001321655-26-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000004/a2025q4ex991earningsrelease.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,PLTR,USD,0001321655,2025-02-18,2025-02-18 06:06:00,2024,FY,2098524000,3131463000,5229987000,575048000,0,129254000,5934289000,240378000,0,18058000,18058000,0,0,148159000,406595000,0,6340884000,103000,43993000,0,524876000,427046000,996018000,195226000,41548000,0,13685000,250459000,0,239219000,1246477000,0,2339000,-5187423000,-5611000,10193970000,5003275000,5094407000,6340884000,91132000,6340884000,3131463000,239219000,-1859305000,https://www.sec.gov/Archives/edgar/data/1321655/000132165525000022/0001321655-25-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000132165525000022/pltr-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,PLTR,USD,0001321655,2024-02-20,2024-02-20 06:15:02,2023,FY,831047000,2843132000,3674179000,364784000,0,99655000,4138618000,230621000,0,25902000,25902000,0,0,127284000,383807000,0,4522425000,12122000,54176000,47257000,456729000,175734000,746018000,175216000,29524000,0,10702000,215442000,0,229392000,961460000,0,2200000,-5649613000,801000,9122173000,3475561000,3560965000,4522425000,85404000,4522425000,2843132000,229392000,-601655000,https://www.sec.gov/Archives/edgar/data/1321655/000132165524000022/0001321655-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000132165524000022/pltr-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,PLTR,USD,0001321655,2023-02-21,2023-02-21 16:35:44,2022,FY,2598540000,35135000,2633675000,258346000,0,149556000,3041577000,269410000,0,0,0,0,0,150252000,419662000,0,3461239000,44788000,45099000,41326000,325339000,131389000,587941000,204305000,13901000,0,12655000,230861000,0,249404000,818802000,0,2099000,-5859438000,-5333000,8427998000,2565326000,2642437000,3461239000,77111000,3461239000,35135000,249404000,-2349136000,https://www.sec.gov/Archives/edgar/data/1321655/000132165523000011/0001321655-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000132165523000011/pltr-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,PLTR,USD,0001321655,2022-02-24,2022-02-24 06:20:34,2021,FY,2290674000,234153000,2524827000,190923000,0,147500000,2863250000,248202000,0,0,0,0,0,135998000,384200000,0,3247450000,74907000,39927000,22550000,389421000,133256000,660061000,220146000,73916000,0,2297000,296359000,0,260073000,956420000,0,2027000,-5485733000,-2349000,7777085000,2291030000,2291030000,3247450000,0,3247450000,234153000,260073000,-2030601000,https://www.sec.gov/Archives/edgar/data/1321655/000119312522050913/0001193125-22-050913-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000119312522050913/d273589d10k.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,PLTR,USD,0001321655,2026-02-02,2026-02-02 16:06:08,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000004/0001321655-26-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000004/a2025q4ex991earningsrelease.htm,income_statement,4475446000,789177000,3686269000,0.8236651721,557677000,657718000,1056859000,1714577000,0,2272254000,3061431000,229181000,0,26145000,1440160000,0.3217913924,1414015000,0.3159495165,243353000,1657368000,0.3703246559,22724000,1625033000,0.3630996777,0.69,0.63,2369612000,2565197000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,PLTR,USD,0001321655,2025-02-18,2025-02-18 06:06:00,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1321655/000132165525000022/0001321655-25-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000132165525000022/pltr-20241231.htm,income_statement,2865507000,565990000,2299517000,0.8024817249,507878000,593481000,887755000,1481236000,0,1989114000,2555104000,196792000,0,31587000,341990000,0.1193471173,310403000,0.1083239371,178770000,489173000,0.1707108027,21255000,462190000,0.1612943189,0.21,0.19,2250163000,2450818000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,PLTR,USD,0001321655,2024-02-20,2024-02-20 06:15:02,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1321655/000132165524000022/0001321655-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000132165524000022/pltr-20231231.htm,income_statement,2225012000,431105000,1793907000,0.8062459888,404624000,524325000,744992000,1269317000,0,1673941000,2105046000,132572000,3470000,33354000,153320000,0.0689074935,119966000,0.0539170126,117125000,237091000,0.1065571781,19716000,209825000,0.0943028622,0.0977,0.0913,2147446000,2297927000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,PLTR,USD,0001321655,2023-02-21,2023-02-21 16:35:44,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1321655/000132165523000011/0001321655-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000132165523000011/pltr-20221231.htm,income_statement,1905871000,408549000,1497322000,0.7856365935,359679000,596333000,702511000,1298844000,0,1658523000,2067072000,20309000,4058000,22522000,-138679000,-0.0727641063,-161201000,-0.0845812754,-199826000,-361027000,-0.1894288753,10067000,-373705000,-0.196080952,-0.18,-0.18,2063793000,2063793000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,PLTR,USD,0001321655,2022-02-24,2022-02-24 06:20:34,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1321655/000119312522050913/0001193125-22-050913-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000119312522050913/d273589d10k.htm,income_statement,1541889000,339404000,1202485000,0.7798777992,387487000,611532000,614512000,1226044000,0,1613531000,1952935000,1607000,3640000,14897000,-469957000,-0.3047930169,-411046000,-0.2665859864,-77448000,-488494000,-0.3168152831,31885000,-520379000,-0.337494463,-0.27,-0.27,1923617000,1923617000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,PLTR,USD,0001321655,2026-02-02,2026-02-02 16:06:08,2025,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000004/0001321655-26-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000004/a2025q4ex991earningsrelease.htm,cash_flow,,,,,,,,,,,,,,26145000,,,,,,,,,1634644000,,,,,,0,684033000,-209963000,-450429000,4659000,235807000,-386000,2134473000,-33882000,0,-7774984000,5026315000,-1000000,-2783551000,0,129107000,-74985000,0,-81032000,-26910000,-6444000,-682432000,1423796000,2106228000,2134473000,-33882000,2100591000
2024-12-31,PLTR,USD,0001321655,2025-02-18,2025-02-18 06:06:00,2024,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1321655/000132165525000022/0001321655-25-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000132165525000022/pltr-20241231.htm,cash_flow,,,,,,,,,,,,,,31587000,,,,,,,,,467918000,,,,,,0,691638000,-70097000,-211157000,-18841000,159901000,32819000,1153865000,-12634000,0,-5395913000,5073507000,-5615000,-340655000,0,0,-64196000,0,527560000,463364000,-6745000,1269829000,2119936000,850107000,1153865000,-12634000,1141231000
2023-12-31,PLTR,USD,0001321655,2024-02-20,2024-02-20 06:15:02,2023,FY,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1321655/000132165524000022/0001321655-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1321655/000132165524000022/pltr-20231231.htm,cash_flow,,,,,,,,,,,,,,33354000,,,,,,,,,217375000,,,,,,-4806000,475903000,6236000,-106159000,-31832000,144227000,-15879000,712183000,-15114000,0,-5636406000,2889268000,51072000,-2711180000,0,218238000,0,0,601000,218839000,2930000,-1777228000,850107000,2627335000,712183000,-15114000,697069000
