date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,RBLX,USD,0001315098,2026-02-05,2026-02-05 16:06:02,2025,FY,1205319000,1849823000,3055142000,900646000,0,942235000,4898023000,1535831000,142624000,18234000,160858000,2492593000,0,469813000,4659095000,0,9557118000,64947999,0,0,0,5061442000,5126390000,1636454000,0,0,2419294000,4055748000,0,643356000,9182138000,0,64000,-5060694000,16555000,5438559000,394484000,374980000,9557118000,-19504000,9557118000,4342416000,1636454000,431135000,https://www.sec.gov/Archives/edgar/data/1315098/000131509826000009/0001315098-26-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1315098/000131509826000009/ex991-q42025shareholder.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,RBLX,USD,0001315098,2025-02-18,2025-02-18 08:44:49,2024,FY,711683000,1697862000,2409545000,634528000,0,683957000,3728030000,1325474000,141688000,33983000,175671000,1610215000,0,335443000,3446803000,170000,7175003000,42885000,128857000,54609000,3004969000,431888000,3663208000,1676422000,1567007000,0,59712000,3303141000,0,798908000,6966349000,0,62000,-3995637000,-3895000,4220916000,221446000,208654000,7175003000,-12792000,7175003000,3308077000,1805279000,1093596000,https://www.sec.gov/Archives/edgar/data/1315098/000131509825000033/0001315098-25-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1315098/000131509825000033/rblx-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,RBLX,USD,0001315098,2024-02-21,2024-02-21 09:04:34,2023,FY,678466000,1514808000,2193274000,520466000,0,561673000,3275413000,1360467000,142129000,53060000,195189000,1043399000,0,293610000,2892665000,0,6168078000,60087000,111293000,59632000,2406292000,415062000,3052366000,1651506000,1373250000,0,22330000,3047086000,0,757799000,6099452000,0,61000,-3060253000,1536000,3134946000,76290000,68626000,6168078000,-7664000,6168078000,2558207000,1762799000,1084333000,https://www.sec.gov/Archives/edgar/data/1315098/000131509824000026/0001315098-24-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1315098/000131509824000026/rblx-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,RBLX,USD,0001315098,2023-02-28,2023-02-28 16:36:51,2022,FY,2977474000,0,2977474000,379353000,0,475751000,3838604000,1118376000,134335000,54717000,189052000,0,0,229455000,1536883000,0,5375487000,71182000,73235000,49361000,1941943000,345114000,2480835000,1483574000,1095291000,0,10752000,2589617000,0,567825000,5070452000,0,59000,-1908307000,671000,2213603000,306026000,305035000,5375487000,-991000,5375487000,0,1556809000,-1420665000,https://www.sec.gov/Archives/edgar/data/1315098/000131509823000035/0001315098-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1315098/000131509823000035/rblx-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,RBLX,USD,0001315098,2022-02-25,2022-02-25 16:13:28,2021,FY,3004300000,0,3004300000,307349000,0,438116000,3749765000,492637000,118071000,59666000,177737000,0,0,140457000,810831000,0,4560596000,64395000,51303000,43286000,1758022000,250086000,2167092000,1182339000,616834000,0,1408000,1800581000,0,245919000,3967673000,0,58000,-983941000,62000,1568638000,584817000,592923000,4560596000,8106000,4560596000,0,1233642000,-1770658000,https://www.sec.gov/Archives/edgar/data/1315098/000131509822000058/0001315098-22-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1315098/000131509822000058/rblx-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,RBLX,USD,0001315098,2026-02-05,2026-02-05 16:06:02,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1315098/000131509826000009/0001315098-26-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1315098/000131509826000009/ex991-q42025shareholder.htm,income_statement,4890551000,3728859000,1161692000,0.2375380606,1567747000,580114000,246173000,826287000,0,2394034000,6122893000,160153000,0,225820000,-1006522000,-0.2058095294,-1232342000,-0.2519842856,164317000,-1068025000,-0.218385413,3593000,-1065057000,-0.2177785284,-1.52,-1.52,701867328,701867000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,RBLX,USD,0001315098,2025-02-18,2025-02-18 08:44:49,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1315098/000131509825000033/0001315098-25-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1315098/000131509825000033/rblx-20241231.htm,income_statement,3601979000,801162000,2800817000,0.7775772707,1444207000,407507000,174181000,581688000,1838239000,3864134000,4665296000,179531000,41184000,226437000,-670250000,-0.1860782642,-1063317000,-0.2952035534,126817000,-936500000,-0.2599959633,4114000,-935384000,-0.2596861337,-1.44,-1.44,647482000,647482000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,RBLX,USD,0001315098,2024-02-21,2024-02-21 09:04:34,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1315098/000131509824000026/0001315098-24-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1315098/000131509824000026/rblx-20231231.htm,income_statement,2799274000,649115000,2150159000,0.7681130893,1253598000,390055000,146460000,536515000,1619113000,3409226000,4058341000,141818000,40707000,208142000,-910950000,-0.3254236634,-1259067000,-0.4497834081,100584000,-1158483000,-0.4138512343,454000,-1151946000,-0.4115159859,-1.87,-1.87,616445000,616445000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,RBLX,USD,0001315098,2023-02-28,2023-02-28 16:36:51,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1315098/000131509823000035/0001315098-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1315098/000131509823000035/rblx-20221231.htm,income_statement,2225052000,547658000,1677394000,0.7538673253,873477000,297317000,117448000,414765000,1312936000,2601178000,3148836000,38842000,39903000,130083000,-761864000,-0.3424027843,-923784000,-0.4151741173,-6805000,-930589000,-0.4182324728,3552000,-924366000,-0.4154356842,-1.55,-1.55,595559000,595559000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,RBLX,USD,0001315098,2022-02-25,2022-02-25 16:13:28,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1315098/000131509822000058/0001315098-22-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1315098/000131509822000058/rblx-20211231.htm,income_statement,1919181000,496870000,1422311000,0.741103106,533207000,303020000,86363000,389383000,994819000,1917409000,2414279000,92000,6998000,75622000,-421397000,-0.219571265,-495098000,-0.2579735835,-8702000,-503800000,-0.2625078093,-320000,-491651000,-0.2561775049,-0.97,-0.97,505858000,505858000,,,,,,,,,,,,,,,,,,,,,,,,,,,
