date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-01-31,RBRK,USD,0001943896,2025-03-20,2025-03-20 16:04:49,2025,FY,186331000,518813000,705144000,182164000,4183000,186150000,1077641000,53194000,100343000,0,100343000,0,0,191796000,345333000,0,1422974000,10439000,10087000,0,777135000,152515000,950176000,340723000,0,0,685809000,1026532000,0,28469000,1976708000,0,5000,-2837333000,-8235000,2291829000,-553734000,-553734000,1422974000,0,1422974000,518813000,350810000,164479000,https://www.sec.gov/Archives/edgar/data/1943896/000194389625000012/0001943896-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1943896/000194389625000012/rbrk-20250131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,RBRK,USD,0001943896,2024-01-31,2024-01-30 19:00:00,2024,FY,130031000,149220000,279251000,139900000,4807000,124755000,548713000,77706000,100343000,0,100343000,0,0,146848000,324897000,0,873610000,6867000,0,0,526480000,122934000,656281000,309294000,579781000,0,32798000,921873000,0,22252000,1578154000,714713000,1000,-1682513000,-2239000,265494000,-704544000,-704544000,873610000,0,873610000,149220000,309294000,179263000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,RBRK,USD,0001943896,2023-01-31,2023-01-30 19:00:00,2023,FY,135807000,160106000,295913000,155852000,9536000,45970000,507271000,83009000,4236000,0,4236000,10100000,0,164567000,261912000,0,769183000,8085000,9696000,0,0,417623000,435404000,206347000,0,0,500048000,706395000,0,36344000,1141799000,714713000,1000,-1328355000,-1301000,242326000,-372616000,-372616000,769183000,0,769183000,170206000,216043000,80236000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,RBRK,USD,0001943896,2022-01-31,2022-01-30 19:00:00,2022,FY,71018000,67789000,138807000,167490000,4400000,20259000,330956000,65786000,4236000,0,4236000,5586000,0,112420000,188028000,0,518984000,14079000,6307000,0,0,316961000,337347000,26907000,254161000,0,5198000,286266000,0,33214000,623613000,714713000,1000,-1050609000,-88000,231354000,-104629000,-104629000,518984000,0,518984000,73375000,33214000,-37804000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,RBRK,USD,0001943896,2021-01-31,2021-01-30 19:00:00,2021,FY,120099000,97212000,217311000,119630000,3400000,20764000,361105000,34106000,4236000,0,4236000,8280000,0,102188000,148810000,0,509915000,10242000,5975000,0,0,215523000,231740000,0,163542000,0,34761000,198303000,0,5975000,430043000,699734000,1000,-796205000,-199000,176541000,79872000,79872000,509915000,0,509915000,105492000,5975000,-114124000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,RBRK,USD,0001943896,2025-03-20,2025-03-20 16:04:49,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1943896/000194389625000012/0001943896-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1943896/000194389625000012/rbrk-20250131.htm,income_statement,886544000,265748000,620796000,0.7002427403,531615000,355695000,867518000,1223213000,0,1754828000,2020576000,25353000,41253000,28868000,-1078331000,-1.2163310563,-1134032000,-1.2791604252,-14420000,-1148452000,-1.2954258333,6368000,-1154820000,-1.302608782,-7.48,-7.48,154294000,154294000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,RBRK,USD,0001943896,2024-01-31,2024-01-30 19:00:00,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,627892000,238197000,389695000,0.6206401738,189822000,0,0,506379000,0,696201000,934398000,11216000,30295000,100835000,-196339000,-0.3126954954,-306506000,-0.4881508285,-20963000,-327469000,-0.5215371433,26689000,-354158000,-0.5640428609,-2.013,-2.013,175932212,175932212,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,RBRK,USD,0001943896,2023-01-31,2023-01-30 19:00:00,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,599819000,279568000,320251000,0.5339127303,158791000,0,0,423008000,0,581799000,861367000,5140000,11709000,103654000,-153787000,-0.2563890107,-261548000,-0.4360448735,-7602000,-269150000,-0.4487186968,8596000,-277746000,-0.4630496867,-1.5787,-1.5787,175932212,175932212,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,RBRK,USD,0001943896,2022-01-31,2022-01-30 19:00:00,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,506148000,236278000,269870000,0.5331839699,159576000,0,0,360084000,0,519659999,755938000,1530000,0,104657000,-144904000,-0.2862878051,-249790000,-0.4935117792,229000,-249561000,-0.4930593423,4843000,-254404000,-0.5026276899,-1.446,-1.446,175932212,175932212,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,RBRK,USD,0001943896,2021-01-31,2021-01-30 19:00:00,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,387751000,170551000,217200000,0.5601532943,127360000,0,0,298947000,0,426307000,596858000,2421000,0,82083000,-125508000,-0.3236819505,-209107000,-0.5392816524,1516000,-207591000,-0.5353719268,5497000,-213088000,-0.5495485505,-1.2112,-1.2112,175932212,175932212,,,,,,,,,,,,,,,,,,,,,,,,,,,
