date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,RDDT,USD,0001713445,2026-02-06,2026-02-05 18:07:09,2025,FY,953569000,1523242000,2476811000,590162000,0,69012000,3135985000,33498000,42174000,15521000,57695000,0,0,11995000,103188000,0,3239173000,62929000,7023000,0,18039000,183292000,271283000,32381998,0,0,6470000,38852000,0,16190999,310135000,0,19000,-671117000,4364000,3595772000,2929038000,2929038000,3239173000,0,3239173000,1523242000,39405000,-914164000,https://www.sec.gov/Archives/edgar/data/1713445/000171344526000022/0001713445-26-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1713445/000171344526000022/rddt-20251231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,RDDT,USD,0001713445,2025-02-13,2025-02-12 18:11:55,2024,FY,562092000,1278717000,1840809000,365729000,0,16863000,2223401000,35901000,42174000,25409000,67583000,0,0,9695000,113179000,15000,2336595000,45423000,6137000,0,14805000,109659000,176024000,20565000,0,0,9257000,29822000,0,26702000,205846000,0,17000,-1200838000,24000,3331546000,2130749000,2130749000,2336595000,0,2336595000,1278717000,26702000,-535390000,https://www.sec.gov/Archives/edgar/data/1713445/000171344525000018/0001713445-25-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1713445/000171344525000018/rddt-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,RDDT,USD,0001713445,2023-12-31,2023-12-30 19:00:00,2023,FY,401176000,811946000,1213122000,253045000,0,13520000,1479687000,38954000,26299000,30320000,56619000,0,0,19380000,114953000,1827000,1596467000,46514000,3707000,0,7250000,76099000,133570000,22040000,0,0,1853779000,1875819000,0,25747000,2009389000,0,6000,-716562000,814000,302820000,-412922000,-412922000,1596467000,0,1596467000,811946000,25747000,-375429000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,RDDT,USD,0001713445,2022-12-31,2022-12-30 19:00:00,2022,FY,435810000,830734000,1266544000,199081000,0,18302000,1483927000,30544000,26299000,41237000,67536000,0,0,17704000,115784000,0,1599711000,32944000,7802000,0,8020000,57691000,106457000,11690000,0,0,7136000,18826000,0,19492000,125283000,1853492000,6000,-625738000,-3792000,250460000,1474428000,1474428000,1599711000,0,1599711000,830734000,19492000,-416318000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,RDDT,USD,0001713445,2021-12-31,2021-12-30 19:00:00,2021,FY,1337798000,75334000,1413132000,162447000,0,25293000,1600872000,22832000,6471000,5662000,12133000,0,0,9272000,44237000,0,1645109000,22892000,6854000,0,7533000,33177000,70456000,6606000,0,0,567999,7173999,0,13460000,77630000,1853492000,6000,-467188000,-238000,181407000,1567479000,1567479000,1645109000,0,1645109000,75334000,13460000,-1324338000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,RDDT,USD,0001713445,2026-02-06,2026-02-05 18:07:09,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1713445/000171344526000022/0001713445-26-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1713445/000171344526000022/rddt-20251231.htm,income_statement,2202506000,194216000,2008290000,0.9118204445,783145000,279298000,503863000,783161000,0,1566306000,1760522000,0,0,15948000,457932000,0.2079140761,441984000,0.2006732331,86706000,528690000,0.2400402087,-1031000,529721000,0.2405083119,2.84,2.62,186383271,202107978,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,RDDT,USD,0001713445,2025-02-13,2025-02-12 18:11:55,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1713445/000171344525000018/0001713445-25-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1713445/000171344525000018/rddt-20241231.htm,income_statement,1300205000,123595000,1176610000,0.904941913,935152000,451447000,350579000,802026000,0,1737178000,1860773000,0,0,15643000,-544925000,-0.419106987,-560568000,-0.4311381667,75361000,-485207000,-0.3731773067,-931000,-484276000,-0.3724612657,-2.69,-2.69,180315979,180315979,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,RDDT,USD,0001713445,2023-12-31,2023-12-30 19:00:00,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,804029000,111011000,693018000,0.861931597,438346000,164658000,230175000,394833000,0,833179000,944190000,0,0,13702000,-126459000,-0.1572816403,-140161000,-0.1743233142,53138000,-87023000,-0.1082336582,3801000,-90824000,-0.1129610997,-0.56,-0.56,163346491,163346491,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,RDDT,USD,0001713445,2022-12-31,2022-12-30 19:00:00,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,666701000,104799000,561902000,0.8428095953,365164000,143822000,225078000,368900000,0,734064000,838863000,0,0,8000000,-164162000,-0.2462303191,-172162000,-0.2582297012,14234000,-157928000,-0.2368798007,622000,-158550000,-0.2378127526,-0.97,-0.97,163346491,163346491,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,RDDT,USD,0001713445,2021-12-31,2021-12-30 19:00:00,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,484916000,72565000,412351000,0.8503555255,256975000,144722000,137867000,282589000,0,539564000,612129000,0,0,2813000,-124400000,-0.2565392769,-127213000,-0.2623402816,-343000,-127556000,-0.2630476206,340000,-127896000,-0.263748773,-0.78,-0.78,163346491,163346491,,,,,,,,,,,,,,,,,,,,,,,,,,,
