date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,SE,USD,0001703399,2025-04-17,2025-04-17 16:05:54,2024,FY,2405153000,6215423000,8620576000,5996675000,143246000,2097171000,16857668000,2152484000,107625000,27310000,134935000,2694305000,517383000,268694000,5767801000,0,22625469000,350021000,1583361000,439853000,1405785000,7517132000,11296152000,2540772000,109895000,408000,200666000,2851741000,0,1117276000,14147893000,0,295000,-8155260000,-193148000,16703192000,8372335000,8477576000,22625469000,105241000,22625469000,8909728000,4124133000,1718980000,https://www.sec.gov/Archives/edgar/data/1703399/000119312525084311/0001193125-25-084311-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000119312525084311/d940352d20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,SE,USD,0001703399,2024-04-26,2024-04-26 16:06:32,2023,FY,2811056000,2547644000,5358700000,4378431000,125395000,1911408000,11773934000,2223680000,112782000,50821000,163603000,4262562000,328961000,130492000,7109298000,0,18883232000,342547000,592928000,223637221,1208892000,5800936779,8168941000,3869450000,72587000,133000,74536000,4016706000,0,1094845000,12185647000,0,285000,-8599276065,-91019000,15283840065,6593830000,6697584638,18883232000,103754638,18883232000,6810206000,4462378000,1651322000,https://www.sec.gov/Archives/edgar/data/1703399/000114036124022429/0001140361-24-022429-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036124022429/ef20015280_20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,SE,USD,0001703399,2023-04-06,2023-04-06 16:11:47,2022,FY,6029859000,864258000,6894117000,3286290000,109668000,2397937000,12688012000,2345735000,230208000,65019000,295227000,1253593000,245226000,175003000,4314784000,0,17002796000,258648000,392753000,176598000,1535083000,4572610000,6935692000,4107412000,63566000,9967000,75335000,4256280000,0,1041768000,11191972000,0,281000,-8745541000,-98725000,14559690000,5715705000,5810824000,17002796000,95119000,17002796000,2117851000,4485183000,-1544676000,https://www.sec.gov/Archives/edgar/data/1703399/000114036123017021/0001140361-23-017021-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036123017021/brhc10050860_20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,SE,USD,0001703399,2022-04-22,2022-04-22 16:25:14,2021,FY,9247762000,911281000,10159043000,2620934000,117499000,2237921000,15135397000,1679643000,539624000,52517000,592141000,1052861000,103755000,192228000,3620628000,0,18756025000,213580000,288010000,181400000,2644463000,3848983000,7176436000,3974043000,104826000,6992000,69319000,4155180000,0,686345000,11331616000,0,278000,-7201498000,-22375000,14622292000,7398697000,7424409000,18756025000,25712000,18756025000,1964142000,4253515000,-4994247000,https://www.sec.gov/Archives/edgar/data/1703399/000114036122015578/0001140361-22-015578-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036122015578/brhc10036000_20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,SE,USD,0001703399,2021-04-16,2021-04-16 16:14:04,2020,FY,6166880000,126099000,6292979000,1181825000,64219000,1399981000,8939004000,620956000,216278000,39773000,256051000,190482000,99904000,349274000,1516667000,0,10455671000,121637000,74558000,52306000,2311544000,2076022000,4636067000,2018361000,343297000,1526000,36181000,2399365000,0,252513000,7035432000,0,255000,-5150958000,7044000,8526571000,3382912000,3420239000,10455671000,37327000,10455671000,316581000,2092919000,-4073961000,https://www.sec.gov/Archives/edgar/data/1703399/000114036121013089/0001140361-21-013089-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036121013089/brhc10022673_20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,SE,USD,0001703399,2025-04-17,2025-04-17 16:05:54,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1703399/000119312525084311/0001193125-25-084311-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000119312525084311/d940352d20f.htm,income_statement,16819866000,9614778000,7205088000,0.4283677409,1206050000,1267706000,3472686000,4740392000,596494000,6542936000,16157714000,365585593,38316746,389673000,1051825000,0.0625346837,662152000,0.0393672577,106843000,768995000,0.0457194487,321168000,444321000,0.0264164411,0.77,0.73,574966327,604713980,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,SE,USD,0001703399,2024-04-26,2024-04-26 16:06:32,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1703399/000114036124022429/0001140361-24-022429-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036124022429/ef20015280_20f.htm,income_statement,13063560000,7229913000,5833647000,0.4465587482,1164126000,1134724000,2779223000,3913947000,530796000,5608869000,12838782000,331742804,41128658,440845000,783498000,0.0599758412,224778000,0.0172064889,200584000,425362000,0.0325609558,262680000,150726000,0.0115378963,0.27,0.25,566612815,594405604,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,SE,USD,0001703399,2023-04-06,2023-04-06 16:11:47,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1703399/000114036123017021/0001140361-23-017021-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036123017021/brhc10050860_20f.htm,income_statement,12449705000,7264428000,5185277000,0.4164979813,1376501000,1437612000,3269223000,4706835000,589449000,6672785000,13937213000,115569340,45417355,428344000,-704221000,-0.056565276,-1487508000,-0.1194813853,-1869000,-1489377000,-0.1196315093,168395000,-1651421000,-0.1326474001,-2.96,-2.96,558119948,558119948,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,SE,USD,0001703399,2022-04-22,2022-04-22 16:25:14,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1703399/000114036122015578/0001140361-22-015578-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036122015578/brhc10036000_20f.htm,income_statement,9955190000,6059455000,3895735000,0.3913270365,831703000,987868000,3829743000,4817611000,-170519000,5478795000,11538250000,36098759,136939577,279032000,-1304028000,-0.1309897651,-1583060000,-0.1590185622,-127105000,-1710165000,-0.1717862743,332865000,-2046759000,-0.205597181,-3.84,-3.84,532705795,532705795,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,SE,USD,0001703399,2021-04-16,2021-04-16 16:14:04,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1703399/000114036121013089/0001140361-21-013089-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036121013089/brhc10022673_20f.htm,income_statement,4375664000,3026759000,1348905000,0.3082743556,353785000,599706000,1830875000,2430581000,-132136000,2652230000,5678989000,24859096,124118087,180761000,-1122564000,-0.2565471206,-1303325000,-0.2978576509,-179192000,-1482517000,-0.338809607,141640000,-1618056000,-0.3697852486,-3.39,-3.39,477264888,477264888,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,SE,USD,0001703399,2025-04-17,2025-04-17 16:05:54,2024,FY,,,,,-26275368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1703399/000119312525084311/0001193125-25-084311-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000119312525084311/d940352d20f.htm,cash_flow,,,,,,,,,,,,,,389427000,,,,,,,,,444040000,,,,,,-193239000,715839000,907663000,-199246881,495271506,637914000,1013690000,3277420000,-321390000,-3934000,-9655409000,7462862000,-2522975000,-5040846000,-172763000,146081000,0,0,1711175000,1684493000,-83139000,-162072000,4081585000,4243657000,3277420000,-321593000,2955827000
2023-12-31,SE,USD,0001703399,2024-04-26,2024-04-26 16:06:32,2023,FY,,,,,-14857383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1703399/000114036124022429/0001140361-24-022429-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036124022429/ef20015280_20f.htm,cash_flow,,,,,,,,,,,,,,440845000,,,,,,,,,162682000,,,,,,-94674516,685030000,55109000,-267314749,478762612,-141481480,830696516,2079688000,-258598377,-43785000,-8319757000,3754406000,-936727623,-5804462000,-35290040,10643000,0,0,390658040,366011000,-7964000,-3366727000,4243657000,7610384000,2079688000,-258261000,1821427000
2022-12-31,SE,USD,0001703399,2023-04-06,2023-04-06 16:11:47,2022,FY,,,,,1441000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1703399/000114036123017021/0001140361-23-017021-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036123017021/brhc10050860_20f.htm,cash_flow,,,,,,,,,,,,,,428344000,,,,,,,,,-1657772000,,,,,,-140553000,705896000,-1369628000,98981000,43311000,-1513361000,978021000,-1055692000,-976283000,-60943000,-2630842000,2281019000,-1041760000,-2428809000,-640572000,50211000,0,0,990617000,400256000,-143511000,-3227756000,7610384000,10838140000,-1055692000,-976283000,-2031975000
2021-12-31,SE,USD,0001703399,2022-04-22,2022-04-22 16:25:14,2021,FY,,,,,-62735000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1703399/000114036122015578/0001140361-22-015578-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036122015578/brhc10036000_20f.htm,cash_flow,,,,,,,,,,,,,,279032000,,,,,,,,,-2043030000,,,,,,-975000,470324000,1276220000,-37066000,99639000,1276382000,227078000,208649000,-807176000,-34538000,-2505358000,798178000,-1218379000,-3767273000,2958350000,4050055000,0,0,393184000,7401589000,-58218000,3784747000,10838140000,7053393000,208649000,-807176000,-598527000
2020-12-31,SE,USD,0001703399,2021-04-16,2021-04-16 16:14:04,2020,FY,,,,,-38528000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1703399/000114036121013089/0001140361-21-013089-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036121013089/brhc10022673_20f.htm,cash_flow,,,,,,,,,,,,,,180761000,,,,,,,,,-1624157000,,,,,,-27451000,290246000,1526165000,-185664000,50860000,1699497000,210304000,555868000,-336274000,-77182000,-219548000,19541000,-273449000,-886912000,1060744000,2970248000,0,0,-297860000,3733132000,80727000,3482815000,7053393000,3570578000,555868000,-336274000,219594000
