date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-06-30,SMCI,USD,0001375365,2025-08-28,2025-08-28 17:00:22,2025,FY,5169911000,0,5169911000,2217687000,4680375000,233681000,12301654000,798180000,0,0,0,112367000,607416000,198812000,1716775000,0,14018429000,1281977000,96249000,0,628868000,337698000,2344792000,4682593000,362645000,0,326528000,5371766000,0,21189000,7716558000,0,2866449000,3434539000,705000,0,6301693000,6301871000,14018429000,178000,14018429000,112367000,4778842000,-391069000,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/0001375365-25-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,SMCI,USD,0001375365,2025-02-25,2025-02-25 16:43:51,2024,FY,1669766000,0,1669766000,2749270000,4333029000,179895000,8931960000,414008000,0,0,0,0,365172000,114952000,894132000,0,9826092000,1472381000,411594000,18268000,239994000,203484000,2345721000,1771799000,223324000,0,67878000,2063001000,0,9248000,4408722000,0,2830820000,2585680000,706000,0,5417206000,5417370000,9826092000,164000,9826092000,0,2183393000,513627000,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/0001375365-25-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,SMCI,USD,0001375365,2023-08-28,2023-08-25 19:32:29,2023,FY,440459000,0,440459000,1175991000,1445564000,117412000,3179426000,290240000,0,0,0,0,162654000,42409000,495303000,0,3674729000,776831000,170123000,129166000,134667000,163865000,1374652000,120179000,169781000,0,37947000,327907000,0,0,1702559000,0,538352000,1433014000,639000,0,1972005000,1972170000,3674729000,165000,3674729000,0,290302000,-150157000,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/0001375365-23-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,SMCI,USD,0001375365,2022-08-29,2022-08-26 19:14:09,2022,FY,267397000,0,267397000,858925000,1545606000,134387000,2806315000,285972000,0,0,0,6919000,69929000,35942000,398762000,0,3205077000,655403000,456285000,41743000,111313000,205280000,1470024000,164279000,122548000,0,22479000,309306000,0,23800000,1779330000,0,481741000,942923000,911000,0,1425575000,1425747000,3205077000,172000,3205077000,6919000,620564000,353167000,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000103/0001375365-22-000103-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000103/smci-20220630.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,SMCI,USD,0001375365,2021-08-27,2021-08-27 16:41:42,2021,FY,232266000,0,232266000,563755000,1040964000,30274000,1867259000,294760000,0,0,0,6134000,63288000,10523000,374705000,0,2241964000,612336000,69812000,12741000,179217000,94790000,968896000,49239000,100838000,0,26593000,176670000,0,20861000,1145566000,0,438012000,657760000,453000,0,1096225000,1096398000,2241964000,173000,2241964000,6134000,119051000,-113215000,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000060/0001375365-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000060/smci-20210630.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,SMCI,USD,0001375365,2025-08-28,2025-08-28 17:00:22,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/0001375365-25-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,income_statement,21972042000,19542120000,2429922000,0.1105915417,636550000,0,0,540378000,0,1176928000,20719048000,0,59573000,58344000,1329833000,0.0605238694,1252994000,0.0570267433,-47289000,1205705000,0.0548745083,156851000,1048854000,0.0477358454,1.77,1.68,593665000,628402000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,SMCI,USD,0001375365,2025-02-25,2025-02-25 16:43:51,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/0001375365-25-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,income_statement,14989251000,12927841000,2061409999,0.1375258843,463548000,0,0,387088000,0,850636000,13778477000,0,19352000,40985000,1274476000,0.0850259963,1210774000,0.0807761509,5186000,1215960000,0.0811221321,63294000,1152666000,0.0768995062,1.77,1.68,593665000,628402000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,SMCI,USD,0001375365,2023-08-28,2023-08-25 19:32:29,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/0001375365-23-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,income_statement,7123482000,5840470000,1283012000,0.1801102326,307260000,0,0,214610000,0,521870000,6362340000,0,10491000,34904000,799692000,0.1122613913,761142000,0.106849712,-10478000,750664000,0.1053788021,110666000,639998000,0.0898434221,2.17,2.01,555880000,602150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,SMCI,USD,0001375365,2022-08-29,2022-08-26 19:14:09,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000103/0001375365-22-000103-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000103/smci-20220630.htm,income_statement,5196099000,4396098000,800001000,0.1539618471,272273000,0,0,190561000,0,462834000,4858932000,0,6413000,32470999,375717000,0.0723075138,337167000,0.0648884865,872000,338039000,0.0650563047,52876000,285163000,0.0548802092,1.21,1.14,529250000,559700000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,SMCI,USD,0001375365,2021-08-27,2021-08-27 16:41:42,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000060/0001375365-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000060/smci-20210630.htm,income_statement,3557422000,3022884000,534538000,0.1502599354,224369000,0,0,186222000,0,410591000,3433475000,0,2485000,28185000,149298000,0.0419680319,123947000,0.034841804,-5146000,118801000,0.0333952508,6936000,111865000,0.0314455243,0.55,0.53,514780000,536150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
