date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,SQM,USD,0000909037,2025-04-24,2025-04-24 14:26:46,2024,FY,1377851000,1061262000,2439113000,589321000,1702200000,847806000,5578440000,4517715000,948000,34849000,35797000,643570000,157564000,562483000,5917129000,0,11495569000,448154000,1178745000,134966000,0,456951000,2218816000,3639943000,0,298379000,140364000,4078686000,0,83812000,6297502000,0,1577623000,3620612000,0,-37416000,5160819000,5198067000,11495569000,37248000,11495569000,1704832000,4818688000,3440837000,https://www.sec.gov/Archives/edgar/data/909037/000090903725000020/0000909037-25-000020-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000090903725000020/sqm-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,SQM,USD,0000909037,2024-04-30,2024-04-29 15:53:25,2023,FY,1041369000,1316797000,2358166000,845838000,1774594000,887543000,5866141000,3683130000,958000,155874000,156832000,338207000,302236000,1359024000,5839429000,0,11705570000,441780000,1274691000,47050000,9834000,577778000,2351133000,3270388000,0,394688000,122456000,3787532000,0,75158000,6138665000,0,1577643000,3838162000,114870000,0,5530675000,5566905000,11705570000,36230000,11705570000,1655004000,4545079000,3503710000,https://www.sec.gov/Archives/edgar/data/909037/000090903724000033/0000909037-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000090903724000033/sqm-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,SQM,USD,0000909037,2023-04-26,2023-04-25 21:18:49,2022,FY,2655236000,950167000,3605403000,1100493000,1784281000,501332000,6991509000,2928578000,967000,69486000,70453000,-886261000,604471000,1110351000,3827592000,0,10819101000,358711000,486578000,446568000,19341000,1740349000,3051547000,2443803000,0,289825000,101925000,2835553000,0,61734000,5887100000,0,1577643000,3350114000,-31125000,0,4896632000,4932001000,10819101000,35369000,10819101000,63906000,2910679000,255443000,https://www.sec.gov/Archives/edgar/data/909037/000155837023006738/0001558370-23-006738-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000155837023006738/sqm-20221231x20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,SQM,USD,0000909037,2022-04-26,2022-04-25 18:02:11,2021,FY,1515051000,905170000,2420221000,691057000,1183776000,291041000,4586095000,2214365000,34596000,56878000,91474000,-856323000,1002573000,6113000,2458202000,0,7044297000,279092000,48383000,214592000,639060000,-189418000,991709000,2634251000,3813000,110416000,88137000,2836617000,0,54223000,3828326000,0,1577643000,1648032000,-44155000,0,3181520000,3215971000,7044297000,34451000,7044297000,48847000,2609734000,1094683000,https://www.sec.gov/Archives/edgar/data/909037/000157587222000320/0001575872-22-000320-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000157587222000320/sqm-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,SQM,USD,0000909037,2021-03-16,2021-03-15 21:07:44,2020,FY,509102000,345459000,854561000,584838000,1093028000,36831000,2569258000,1767343000,41966000,196290000,238256000,100642000,139536000,3428000,2249205000,0,4818463000,203346000,42391000,25493000,6435000,198217000,475882000,1925059000,4027000,156101000,94816000,2180003000,0,31074000,2655885000,0,477386000,1638267000,7432000,0,2123085000,2162578000,4818463000,39493000,4818463000,100642000,1953939000,1444837000,https://www.sec.gov/Archives/edgar/data/909037/000110465921036513/0001104659-21-036513-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000110465921036513/tm219491d1_20f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,SQM,USD,0000909037,2025-04-24,2025-04-24 14:26:46,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/909037/000090903725000020/0000909037-25-000020-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000090903725000020/sqm-20241231.htm,income_statement,4528761000,3201654000,1327107000,0.2930397519,0,126779000,6433000,133212000,127997000,261209000,3462863000,93235000,188258000,5055000,1167727000,0.2578469034,1065898000,0.2353619456,-91484000,974414000,0.215161277,1372049000,-404359000,-0.0892868933,-1.42,-1.42,284789000,284789000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,SQM,USD,0000909037,2024-04-30,2024-04-29 15:53:25,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/909037/000090903724000033/0000909037-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000090903724000033/sqm-20231231.htm,income_statement,7467490000,4392436000,3075054000,0.4117921818,0,68339000,6611000,74950000,155710000,230660000,4623096000,118527000,140770000,3907000,2936319000,0.3932136501,2844394000,0.3809036236,-37376000,2807018000,0.3758984612,787275000,2012667000,0.2695238962,7.05,7.05,285637808,285637808,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,SQM,USD,0000909037,2023-04-26,2023-04-25 21:18:49,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/909037/000155837023006738/0001558370-23-006738-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000155837023006738/sqm-20221231x20f.htm,income_statement,10710578000,4973953000,5736625000,0.5356036808,0,73500000,5661000,79161000,126114000,205275000,5179228000,44698000,96008000,2782000,5579346000,0.5209192258,5531350000,0.5164380484,-44854000,5486496000,0.5122502259,1572212000,3906311000,0.3647152376,13.68,13.68,285637808,285637808,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,SQM,USD,0000909037,2022-04-26,2022-04-25 18:02:11,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/909037/000157587222000320/0001575872-22-000320-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000157587222000320/sqm-20211231.htm,income_statement,2862315000,1772208000,1090107000,0.3808480199,0,87940000,2415000,90355000,72464000,162819000,1935027000,4561000,83367000,2861000,926121000,0.3235566316,927288000,0.3239643435,-86067000,841221000,0.293895326,249016000,585454000,0.2045386339,2.05,2.05,285637808,285637808,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,SQM,USD,0000909037,2021-03-16,2021-03-15 21:07:44,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/909037/000110465921036513/0001104659-21-036513-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000110465921036513/tm219491d1_20f.htm,income_statement,1817191000,1334321000,482870000,0.2657233059,0,113634000,2377000,116011000,64354000,180365000,1514686000,12684000,84096000,3129000,326813000,0.1798451566,302505000,0.166468467,-63967000,238538000,0.1312674342,70179000,164518000,0.0905342366,0.62,0.62,267070271,267070271,,,,,,,,,,,,,,,,,,,,,,,,,,,
