date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-10-03,SWKS,USD,0000004127,2025-11-07,2025-11-07 16:08:12,2025,FY,1161300000,212900000,1374200000,598100000,754700000,350000000,3077000000,1387000000,2176700000,809000000,2985700000,14200000,375600000,77500000,4840000000,0,7917000000,236000000,536200000,0,0,551000000,1323200000,666900000,0,0,169800000,836700000,0,207300000,2159900000,0,37200000,5656900000,-5100000,68100000,5757100000,5757100000,7917000000,0,7917000000,227100000,1203100000,41800000,https://www.sec.gov/Archives/edgar/data/4127/000000412725000085/0000004127-25-000085-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412725000085/swks-20251003.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,SWKS,USD,0000004127,2024-11-15,2024-11-15 16:37:43,2024,FY,1368600000,194100000,1562700000,508800000,784800000,484700000,3341000000,1471900000,2176700000,900500000,3077200000,11400000,303500000,78300000,4942300000,0,8283300000,171800000,40400000,52500000,0,338000000,602700000,1180200000,0,0,163700000,1343900000,0,206100000,1946600000,0,40000000,6032900000,-5600000,269400000,6336700000,6336700000,8283300000,0,8283300000,205500000,1200400000,-168200000,https://www.sec.gov/Archives/edgar/data/4127/000000412724000131/0000004127-24-000131-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412724000131/swks-20240927.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,SWKS,USD,0000004127,2023-11-17,2023-11-17 16:42:37,2023,FY,718800000,15600000,734400000,864300000,1119700000,461100000,3179500000,1595500000,2176700000,1222100000,3398800000,4100000,192300000,56500000,5247200000,0,8426700000,159200000,327700000,58800000,0,410000000,955700000,1181600000,0,0,206700000,1388300000,0,217000000,2344000000,0,39900000,5876000000,-5600000,172400000,6082700000,6082700000,8426700000,0,8426700000,19700000,1509300000,790500000,https://www.sec.gov/Archives/edgar/data/4127/000000412723000030/0000004127-23-000030-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412723000030/swks-20230929.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,SWKS,USD,0000004127,2022-11-23,2022-11-22 20:03:09,2022,FY,566000000,20300000,586300000,1094000000,1212100000,337500000,3229900000,1827800000,2176700000,1444700000,3621400000,500000,52700000,141500000,5643900000,0,8873800000,274200000,517700000,48800000,0,386200000,1226900000,1896800000,0,0,281100000,2177900000,0,225400000,3404800000,0,40000000,5421900000,-4800000,11900000,5469000000,5469000000,8873800000,0,8873800000,20800000,2414500000,1848500000,https://www.sec.gov/Archives/edgar/data/4127/000000412722000038/0000004127-22-000038-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412722000038/swks-20220930.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,SWKS,USD,0000004127,2021-11-24,2021-11-24 16:48:16,2021,FY,882900000,137200000,1020100000,756200000,885000000,204100000,2865400000,1667700000,2176700000,1698600000,3875300000,7100000,119500000,55700000,5725300000,0,8590700000,236000000,33000000,88600000,0,300900000,658500000,2380100000,0,0,255000000,2635100000,0,177500000,3293600000,0,41300000,5185800000,-7900000,77900000,5297100000,5297100000,8590700000,0,8590700000,144300000,2413100000,1530200000,https://www.sec.gov/Archives/edgar/data/4127/000000412721000058/0000004127-21-000058-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412721000058/swks-20211001.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03,SWKS,USD,0000004127,2025-11-07,2025-11-07 16:08:12,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/4127/000000412725000085/0000004127-25-000085-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412725000085/swks-20251003.htm,income_statement,4086900000,2404800000,1682100000,0.4115833517,785500000,0,0,371500000,25100000,1182100000,3586900000,0,27100000,463000000,1016800000,0.2487949301,500000000,0.1223421175,26700000,526700000,0.1288751866,49600000,477100000,0.1167388485,3.09,3.08,154400000,155100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,SWKS,USD,0000004127,2024-11-15,2024-11-15 16:37:43,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/4127/000000412724000131/0000004127-24-000131-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412724000131/swks-20240927.htm,income_statement,4178000000,2457200000,1720800000,0.411871709,631700000,0,0,300800000,150900000,1083400000,3540600000,0,30700000,451300000,1118400000,0.2676878889,637400000,0.152561034,-1000000,636400000,0.152321685,40400000,596000000,0.1426519866,3.72,3.69,160100000,161500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,SWKS,USD,0000004127,2023-11-17,2023-11-17 16:42:37,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/4127/000000412723000030/0000004127-23-000030-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412723000030/swks-20230929.htm,income_statement,4772400000,2665100000,2107300000,0.4415598022,606800000,0,0,314000000,61500000,982300000,3647400000,0,64400000,613700000,1756900000,0.3681376247,1125000000,0.2357304501,-46200000,1078800000,0.2260497863,96000000,982800000,0.2059341212,6.17,6.13,159400000,160300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,SWKS,USD,0000004127,2022-11-23,2022-11-22 20:03:09,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/4127/000000412722000038/0000004127-22-000038-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412722000038/swks-20220930.htm,income_statement,5485500000,2881200000,2604300000,0.4747607328,617900000,0,0,329800000,129600000,1077300000,3958500000,0,47900000,690100000,2214600000,0.4037188953,1527000000,0.2783702488,-50400000,1476600000,0.2691823899,201400000,1275200000,0.2324674141,7.85,7.81,162400000,163300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,SWKS,USD,0000004127,2021-11-24,2021-11-24 16:48:16,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/4127/000000412721000058/0000004127-21-000058-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412721000058/swks-20211001.htm,income_statement,5109100000,2596700000,2512400000,0.4917500147,532300000,0,0,322500000,44900000,899700000,3496400000,1200000,13400000,436700000,2048800000,0.4010099626,1612700000,0.3156524633,-14000000,1598700000,0.3129122546,100400000,1498300000,0.293261044,9.07,8.97,165200000,167000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
