date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-09-27,SYM,USD,0001837240,2025-11-24,2025-11-24 16:07:35,2025,FY,1244993000,0,1244993000,368363000,164390000,92050000,1869796000,141118000,59871000,79149000,139020000,185334000,0,65929000,531401000,0,2401197000,286669000,7722000,0,1242312000,192720000,1729423000,47916000,124932000,0,15712999,188561000,0,23958000,1917984000,0,60000,-1340862000,-2695000,1564815000,221318000,483213000,2401197000,261895000,2401197000,185334000,55638000,-1189355000,https://www.sec.gov/Archives/edgar/data/1837240/000183724025000278/0001837240-25-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1837240/000183724025000278/sym-20250927.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,SYM,USD,0001837240,2024-12-04,2024-12-04 16:33:03,2024,FY,727310000,0,727310000,419781000,106136000,102310000,1355537000,97109000,0,3664000,3664000,81289000,0,40953000,223015000,0,1578552000,175188000,0,0,676314000,165644000,1017146000,0,129233000,0,42043000,171276000,0,0,1188422000,0,60000,-1323925000,-2594000,1523692000,197233000,390130000,1578552000,192897000,1578552000,81289000,0,-727310000,https://www.sec.gov/Archives/edgar/data/1837240/000183724024000232/0001837240-24-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1837240/000183724024000232/sym-20240928.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,SYM,USD,0001837240,2023-12-11,2023-12-11 15:12:54,2023,FY,258770000,286736000,545506000,190355000,136121000,119813000,991795000,34507000,0,217000,217000,0,0,24191000,58915000,0,1050710000,109918000,0,28322000,787227000,99992000,1025459000,0,0,0,27967000,27967000,0,0,1053426000,0,56000,-1310435000,-1687000,1312148000,82000,-2716000,1050710000,-2798000,1050710000,286736000,0,-258770000,https://www.sec.gov/Archives/edgar/data/1837240/000183724023000189/0001837240-23-000189-index.htm,https://www.sec.gov/Archives/edgar/data/1837240/000183724023000189/sym-20230930.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,SYM,USD,0001837240,2022-12-09,2022-12-09 16:05:37,2022,FY,353457000,0,353457000,105228000,91900000,54813000,605398000,24878000,0,650000,650000,0,0,337000,25865000,0,631263000,68448000,0,12953000,394244000,47312000,522957000,0,31465000,0,7901000,39366000,0,0,562323000,0,56000,-1286569000,-2294000,1295991000,7184000,68940000,631263000,61756000,631263000,0,0,-353457000,https://www.sec.gov/Archives/edgar/data/1837240/000183724022000049/0001837240-22-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1837240/000183724022000049/sym-20220924.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,SYM,USD,0001837240,2021-09-30,2021-09-30 00:00:00,2021,FY,156634000,0,156634000,63370000,33561000,6855000,260420000,18617000,0,1164000,1164000,320011000,-320011000,334000,20115000,0,280535000,28018000,0,18405000,259418000,31131000,336972000,0,216538000,0,840253000,1056791000,0,0,1393763000,0,16809000,-1154944000,-2092000,26999000,-1113228000,-1113228000,280535000,0,280535000,320011000,0,-156634000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-27,SYM,USD,0001837240,2025-11-24,2025-11-24 16:07:35,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1837240/000183724025000278/0001837240-25-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1837240/000183724025000278/sym-20250927.htm,income_statement,2246922000,1824312000,422610000,0.1880839655,216013000,0,0,298730000,22873000,537616000,2361928000,0,0,44129000,-48004000,-0.0213643375,-115006000,-0.0511837972,22347000,-92659000,-0.0412381916,-1627000,-16937000,-0.0075378674,-0.16,-0.16,108670159,108670159,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,SYM,USD,0001837240,2024-12-04,2024-12-04 16:33:03,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1837240/000183724024000232/0001837240-24-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1837240/000183724024000232/sym-20240928.htm,income_statement,1788179000,1509082000,279097000,0.1560788937,173457000,0,0,188934000,33431000,395822000,1904904000,0,0,23226000,-60068000,-0.0335917154,-116725000,-0.0652759036,36265000,-80460000,-0.0449954954,4212000,-13490000,-0.0075439875,-0.08,-0.08,95697368,95697368,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,SYM,USD,0001837240,2023-12-11,2023-12-11 15:12:54,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1837240/000183724023000189/0001837240-23-000189-index.htm,https://www.sec.gov/Archives/edgar/data/1837240/000183724023000189/sym-20230930.htm,income_statement,1176891000,967386000,209505000,0.1780156361,195042000,0,0,215627000,22066000,432735000,1400121000,0,0,11311000,-189853000,-0.1613174032,-223230000,-0.1896777187,10716000,-212514000,-0.1805723725,-4620000,-23866000,-0.0202788534,-0.37,-0.37,64338580,64338580,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,SYM,USD,0001837240,2022-12-09,2022-12-09 16:05:37,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1837240/000183724022000049/0001837240-22-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1837240/000183724022000049/sym-20220924.htm,income_statement,593312000,493665000,99647000,0.1679504207,124141000,0,0,115881000,0,240022000,733687000,0,0,5989000,-134386000,-0.2265014023,-140375000,-0.2365955855,1286000,-139089000,-0.2344280918,0,-78997000,-0.1331457985,-0.13,-0.13,54086381,54086381,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,SYM,USD,0001837240,2021-09-30,2021-09-30 00:00:00,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,251913000,241466000,10447000,0.0414706665,73386000,0,0,59442000,0,132828000,374294000,0,0,4491000,-117890000,-0.4679790245,-122381000,-0.4858066078,67000,-122314000,-0.485540643,0,-122314000,-0.485540643,-19.03,-19.03,50664146,50664146,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-27,SYM,USD,0001837240,2025-11-24,2025-11-24 16:07:35,2025,FY,,,,,-58876000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1837240/000183724025000278/0001837240-25-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1837240/000183724025000278/sym-20250927.htm,cash_flow,,,,,,,,,,,,,,39604000,,,,,,,,,-14109000,,,,,,-4205000,183936000,714028000,15075000,96904000,660925000,-52315000,866939000,-79030000,-141831000,-129881000,0,0,-350742000,0,4855000,0,-1175000,-3012000,668000,-26000,516839000,1247193000,730354000,866939000,-79030000,787909000
2024-09-30,SYM,USD,0001837240,2024-12-04,2024-12-04 16:33:03,2024,FY,,,,,103000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1837240/000183724024000232/0001837240-24-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1837240/000183724024000232/sym-20240928.htm,cash_flow,,,,,,,,,,,,,,23480000,,,,,,,,,-84672000,,,,,,3917000,112208000,-136585000,-132305000,65270000,-69653000,23575000,-58077000,-42237000,0,-139145000,340000000,-2137000,156481000,0,257985000,0,0,113051000,371036000,-4000,469436000,730354000,260918000,-58077000,-44374000,-102451000
2023-09-30,SYM,USD,0001837240,2023-12-11,2023-12-11 15:12:54,2023,FY,,,,,-66380000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1837240/000183724023000189/0001837240-23-000189-index.htm,https://www.sec.gov/Archives/edgar/data/1837240/000183724023000189/sym-20230930.htm,cash_flow,,,,,,,,,,,,,,11311000,,,,,,,,,-207894000,,,,,,-4620000,154227000,252583000,-65817000,41415000,343365000,25187000,230794000,-15688000,0,-408209000,130000000,-5567000,-299464000,0,0,0,0,-24101000,-24101000,232000,-92539000,260918000,353457000,230794000,-21326000,209468000
2022-09-30,SYM,USD,0001837240,2022-12-09,2022-12-09 16:05:37,2022,FY,,,,,-60559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1837240/000183724022000049/0001837240-22-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1837240/000183724022000049/sym-20220924.htm,cash_flow,,,,,,,,,,,,,,5989000,,,,,,,,,-139089000,,,,,,0,26858000,-47115000,-508000,41528000,-27576000,5110000,-148247000,-17950000,0,0,0,0,-17950000,0,384672000,0,0,-22224000,362448000,572000,196823000,353457000,156634000,-148247000,-17950000,-166197000
2021-09-30,SYM,USD,0001837240,2021-09-30,2021-09-30 00:00:00,2021,FY,,,,,-16817000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cash_flow,,,,,,,,,,,,,,4491000,,,,,,,,,-122314000,,,,,,0,97000,227240000,-1619000,22169000,223507000,53000,109567000,-12168000,0,0,0,0,-12168000,0,0,0,0,0,0,971000,98370000,156634000,58264000,109567000,-12168000,97399000
