date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,TSLA,USD,0001318605,2026-01-29,2026-01-28 19:00:00,2025,FY,16513000000,27546000000,44059000000,4576000000,12392000000,7615000000,68642000000,40643000000,257000000,135000000,392000000,0,6925000000,21204000000,69164000000,0,137806000000,13371000000,1640000000,0,3424000000,13279000000,31714000000,6736000000,3631000000,0,12860000000,23227000000,0,0,54941000000,0,3000000,39003000000,361000000,42770000000,82137000000,82865000000,137806000000,728000000,137806000000,27546000000,8376000000,-8137000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/0001628280-26-003952-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm#i39f9a11fdbe840828cbaefa2e098ffa8_199,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,TSLA,USD,0001318605,2025-01-30,2025-01-29 20:42:33,2024,FY,16139000000,20424000000,36563000000,4418000000,12017000000,5362000000,58360000000,51507000000,244000000,1226000000,1470000000,0,6524000000,4215000000,63716000000,-6000000,122070000000,12474000000,3263000000,1367000000,4161000000,7556000000,28821000000,10360000000,3317000000,0,5892000000,19569000000,0,5745000000,48390000000,0,3000000,35209000000,-670000000,38371000000,72913000000,73680000000,122070000000,767000000,122070000000,20424000000,13623000000,-2516000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/0001628280-25-003063-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,TSLA,USD,0001318605,2024-01-29,2024-01-26 21:00:20,2023,FY,16398000000,12696000000,29094000000,3508000000,13626000000,3388000000,49616000000,45123000000,253000000,362000000,615000000,0,6733000000,4532000000,57003000000,-1000000,106618000000,14431000000,3045000000,1204000000,3740000000,6328000000,28748000000,6528000000,3251000000,0,4482000000,14261000000,0,4916000000,43009000000,0,3000000,27882000000,-143000000,34892000000,62634000000,63609000000,106618000000,975000000,106618000000,12696000000,9573000000,-6825000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,TSLA,USD,0001318605,2023-01-31,2023-01-30 21:29:15,2022,FY,16253000000,5932000000,22185000000,2952000000,12839000000,2941000000,40917000000,36635000000,194000000,399000000,593000000,657000000,328000000,3208000000,41421000000,0,82338000000,15255000000,1987000000,1235000000,2810000000,5422000000,26709000000,3761000000,2804000000,82000000,3084000000,9731000000,0,3703000000,36440000000,0,3000000,12885000000,-361000000,32177000000,44704000000,45898000000,82338000000,1194000000,82338000000,6589000000,5748000000,-10505000000,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,TSLA,USD,0001318605,2022-02-07,2022-02-04 20:11:27,2021,FY,17576000000,131000000,17707000000,1913000000,5757000000,1723000000,27100000000,31176000000,200000000,1517000000,1717000000,522000000,0,1612000000,35027000000,4000000,62131000000,10025000000,1957000000,1122000000,2372000000,4229000000,19705000000,6916000000,2052000000,24000000,1851000000,10843000000,0,3531000000,30548000000,0,3000000,329000000,54000000,29803000000,30189000000,31583000000,62131000000,1394000000,62131000000,653000000,8873000000,-8703000000,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/0000950170-22-000796-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/tsla-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,TSLA,USD,0001318605,2026-01-29,2026-01-28 20:55:03,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/0001628280-26-003952-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,income_statement,94827000000,77733000000,17094000000,0.1802651144,6411000000,5834000000,0,5834000000,494000000,12739000000,90472000000,1680000000,338000000,6148000000,11764000000,0.1240574942,4355000000,0.0459257385,923000000,5278000000,0.0556592532,1423000000,3794000000,0.0400097019,1.18,1.08,3231000000,3539000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,TSLA,USD,0001318605,2025-01-30,2025-01-29 20:42:33,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/0001628280-25-003063-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,income_statement,97690000000,80240000000,17450000000,0.1786262668,4540000000,5150000000,0,5150000000,684000000,10374000000,90614000000,1569000000,350000000,5368000000,14708000000,0.1505578872,7076000000,0.0724332071,1914000000,8990000000,0.0920257959,1837000000,7130000000,0.072985976,2.2302,2.0383,3197000000,3498000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,TSLA,USD,0001318605,2024-01-29,2024-01-26 21:00:20,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm,income_statement,96773000000,79113000000,17660000000,0.1824889174,3969000000,4800000000,0,4800000000,0,8769000000,87882000000,1066000000,156000000,4667000000,14796000000,0.1528938857,8891000000,0.0918747998,1082000000,9973000000,0.1030556044,-5001000000,14999000000,0.1549915782,4.73,4.31,3173500000,3482750000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,TSLA,USD,0001318605,2023-01-31,2023-01-30 21:29:15,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm,income_statement,81462000000,60609000000,20853000000,0.2559843854,3075000000,3946000000,0,3946000000,176000000,7197000000,67806000000,297000000,191000000,3747000000,17657000000,0.2167513687,13656000000,0.167636444,63000000,13719000000,0.1684098107,1132000000,12583000000,0.1544646584,4.02,3.62,3130000000,3475000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,TSLA,USD,0001318605,2022-02-07,2022-02-04 20:11:27,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/0000950170-22-000796-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/tsla-20211231.htm,income_statement,53823000000,40217000000,13606000000,0.2527915575,2593000000,4517000000,0,4517000000,0,7110000000,47327000000,56000000,371000000,2911000000,9625000000,0.1788268956,6523000000,0.1211935418,-180000000,6343000000,0.1178492466,699000000,5524000000,0.1026327035,1.87,1.63,2959000000,3386000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
