date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,TWLO,USD,0001447669,2025-02-26,2025-02-26 16:12:41,2024,FY,421297000,1963102000,2384399000,588540000,0,474360000,3447299000,244447000,5243266000,238503000,5481769000,485835000,0,206122000,6418173000,0,9865472000,100169000,33685000,79731000,155680000,450955000,820220000,1076462000,0,0,15824000,1092286000,0,119560000,1912506000,0,153000,-7522010000,-1301000,15476124000,7952966000,7952966000,9865472000,0,9865472000,2448937000,1110147000,688850000,https://www.sec.gov/Archives/edgar/data/1447669/000144766925000035/0001447669-25-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766925000035/twlo-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,TWLO,USD,0001447669,2024-02-27,2024-02-27 16:21:51,2023,FY,655931000,3356064000,4011995000,562773000,0,329204000,4903972000,283598000,5243266000,350490000,5593756000,593582000,0,234799000,6705735000,0,11609707000,119615000,49872000,70913000,144499000,353398000,738297000,1109723000,0,0,29135000,1138858000,0,170642000,1877155000,0,182000,-5065972000,619000,14797723000,9732552000,9732552000,11609707000,0,11609707000,3949646000,1159595000,503664000,https://www.sec.gov/Archives/edgar/data/1447669/000144766924000034/0001447669-24-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766924000034/twlo-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,TWLO,USD,0001447669,2023-02-27,2023-02-24 19:51:29,2022,FY,651752000,3503317000,4155069000,547507000,0,281510000,4984086000,385320000,5284153000,849935000,6134088000,699911000,0,360899000,7580218000,0,12564304000,124605000,66093000,92319000,139110000,386031000,808158000,1173223000,0,0,23881000,1197104000,0,251934000,2005262000,0,186000,-3375836000,-121161000,14055853000,10559042000,10559042000,12564304000,0,12564304000,4203228000,1239316000,587564000,https://www.sec.gov/Archives/edgar/data/1447669/000144766923000049/0001447669-23-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766923000049/twlo-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,TWLO,USD,0001447669,2022-02-22,2022-02-22 16:22:54,2021,FY,1479452000,3878430000,5357882000,388215000,0,186131000,5932228000,489900000,5263166000,1050012000,6313178000,0,0,263292000,7066370000,0,12998598000,93333000,64695000,61975000,140389000,343158000,703550000,1222292000,0,0,41290000,1263582000,0,301080000,1967132000,0,180000,-2119691000,-18141000,13169118000,11031466000,11031466000,12998598000,0,12998598000,3878430000,1286987000,-192465000,https://www.sec.gov/Archives/edgar/data/1447669/000144766922000049/0001447669-22-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766922000049/twlo-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,TWLO,USD,0001447669,2021-02-26,2021-02-25 20:36:39,2020,FY,933885000,2105906000,3039791000,251167000,0,81377000,3372335000,441849000,4595394000,966573000,5561967000,0,0,111282000,6115098000,0,9487433000,60042000,57400000,48390000,87031000,195443000,448306000,549829000,0,13684000,22949000,586462000,0,305161000,1034768000,0,164000,-1169791000,9046000,9613246000,8452665000,8452665000,9487433000,0,9487433000,2105906000,607229000,-326656000,https://www.sec.gov/Archives/edgar/data/1447669/000144766921000070/0001447669-21-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766921000070/twlo-20201231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,TWLO,USD,0001447669,2025-02-26,2025-02-26 16:12:41,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1447669/000144766925000035/0001447669-25-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766925000035/twlo-20241231.htm,income_statement,4458036000,2228947000,2229089000,0.5000159263,1006880000,449071000,813573000,1262644000,0,2269524000,4498471000,90200000,0,225079000,136466000,0.0306112378,-40435000,-0.0090701376,-48178000,-88613000,-0.0198771387,20790000,-109403000,-0.0245406273,-0.66,-0.66,165925128,165925128,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,TWLO,USD,0001447669,2024-02-27,2024-02-27 16:21:51,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1447669/000144766924000034/0001447669-24-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766924000034/twlo-20231231.htm,income_statement,4153944999,2191155000,1962790000,0.4725122746,940877000,0,0,1408761000,0,2349638000,4540793000,77700000,0,311384000,-685345000,-0.1649865369,-386848000,-0.093127858,-609881000,-996729000,-0.239947568,18712000,-1015441000,-0.2444522015,-5.54,-5.54,183327844,183327844,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,TWLO,USD,0001447669,2023-02-27,2023-02-24 19:51:29,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1447669/000144766923000049/0001447669-23-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766923000049/twlo-20221231.htm,income_statement,3826321000,2061409999,1764911000,0.4612553416,1077401000,0,0,1680977000,0,2758378000,4819788000,64599999,0,326287000,-917345000,-0.2397459596,-993467000,-0.2596402654,-250165000,-1243632000,-0.3250203002,12513000,-1256145000,-0.3282905433,-6.86,-6.86,182994038,182994038,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,TWLO,USD,0001447669,2022-02-22,2022-02-22 16:22:54,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1447669/000144766922000049/0001447669-22-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766922000049/twlo-20211231.htm,income_statement,2841839000,1527469000,1314370000,0.4625068486,787959000,0,0,1427001000,0,2214960000,3742429000,55700000,0,307164000,-653765000,-0.2300499782,-900590000,-0.3169039485,-60339000,-960929000,-0.3381363265,-11029000,-949900000,-0.3342553889,-5.45,-5.45,174180465,174180465,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,TWLO,USD,0001447669,2021-02-26,2021-02-25 20:36:39,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1447669/000144766921000070/0001447669-21-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766921000070/twlo-20201231.htm,income_statement,1761776000,885108000,876668000,0.4976046898,530548000,0,0,817256000,0,1347804000,2232912000,32400000,24980000,188055000,-291391000,-0.1653961684,-471136000,-0.2674210569,-33290000,-504426000,-0.2863167622,-13447000,-490979000,-0.2786841233,-3.35,-3.35,146708663,146708663,,,,,,,,,,,,,,,,,,,,,,,,,,,
