date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-12-31,UAL,USD,0000100517,2026-01-20,2026-01-20 16:00:16,2025,FY,5942000000,6298000000,12240000000,2391000000,1556000000,670000000,16857000000,51710000000,4527000000,2655000000,7182000000,1330000000,0,-631000000,59591000000,0,76448000000,4567000000,5057000000,0,11852000000,4657000000,26133000000,31396000000,4056000000,2463000000,-2881000000,35034000000,0,5417000000,61167000000,0,0,0,0,15282000000,15282000000,15282000000,76448000000,0,76448000000,7628000000,36453000000,30511000000,https://www.sec.gov/Archives/edgar/data/100517/000010051726000014/0000100517-26-000014-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051726000014/ual_12312025erex991.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,UAL,USD,0000100517,2025-02-27,2025-02-27 16:04:27,2024,FY,8769000000,5706000000,14475000000,2163000000,1572000000,673000000,18883000000,46723000000,4527000000,2683000000,7210000000,1267000000,0,0,55200000000,0,74083000000,4193000000,3920000000,0,3403000000,11798000000,23314000000,29713000000,4038000000,1580000000,2763000000,38094000000,0,4977000000,61408000000,0,4000000,6880000000,188000000,5603000000,12675000000,12675000000,74083000000,0,74083000000,6973000000,33633000000,24864000000,https://www.sec.gov/Archives/edgar/data/100517/000010051725000046/0000100517-25-000046-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051725000046/ual-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,UAL,USD,0000100517,2024-02-29,2024-02-29 16:30:18,2023,FY,6058000000,8330000000,14388000000,1898000000,1561000000,640000000,18487000000,43729000000,4527000000,2725000000,7252000000,348000000,0,1288000000,52617000000,0,71104000000,3835000000,4823000000,0,3095000000,10450000000,22203000000,31916000000,4048000000,594000000,3019000000,39577000000,0,5079000000,61780000000,0,4000000,3831000000,-62000000,5551000000,9324000000,9324000000,71104000000,0,71104000000,8678000000,36739000000,30681000000,https://www.sec.gov/Archives/edgar/data/100517/000010051724000027/0000100517-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051724000027/ual-20231231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,UAL,USD,0000100517,2023-02-16,2023-02-16 17:27:38,2022,FY,7166000000,9248000000,16414000000,1801000000,1109000000,734000000,20058000000,38337000000,4527000000,2762000000,7289000000,1373000000,91000000,210000000,47300000000,0,67358000000,3395000000,3576000000,0,2693000000,10328000000,19992000000,32857000000,3982000000,844000000,2787000000,40470000000,0,5239000000,60462000000,0,4000000,1265000000,175000000,5452000000,6896000000,6896000000,67358000000,0,67358000000,10621000000,36433000000,29267000000,https://www.sec.gov/Archives/edgar/data/100517/000010051723000048/0000100517-23-000048-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051723000048/ual-20221231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,UAL,USD,0000100517,2022-02-18,2022-02-18 16:16:13,2021,FY,18283000000,123000000,18406000000,1663000000,983000000,782000000,21834000000,36719000000,4527000000,2803000000,7330000000,1420000000,659000000,213000000,46341000000,0,68175000000,2562000000,3634000000,0,8593000000,3515000000,18304000000,35732000000,4043000000,0,5067000000,44842000000,0,6003000000,63146000000,0,4000000,625000000,-942000000,5342000000,5029000000,5029000000,68175000000,0,68175000000,1543000000,39366000000,21083000000,https://www.sec.gov/Archives/edgar/data/100517/000010051722000009/0000100517-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051722000009/ual-20211231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,UAL,USD,0000100517,2026-01-20,2026-01-20 16:00:16,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/100517/000010051726000014/0000100517-26-000014-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051726000014/ual_12312025erex991.htm,income_statement,59070000000,21192000000,37878000000,0.6412392077,0,0,2109000000,2109000000,31056000000,33165000000,54357000000,610000000,1220000000,2938000000,7537000000,0.1275943795,4713000000,0.0797866938,-407000000,4306000000,0.0728965634,953000000,3353000000,0.0567631623,10.3,10.22,327000000,327000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,UAL,USD,0000100517,2025-02-27,2025-02-27 16:04:27,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/100517/000010051725000046/0000100517-25-000046-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051725000046/ual-20241231.htm,income_statement,57063000000,37643000000,19420000000,0.340325605,0,0,2231000000,2231000000,12093000000,14324000000,51967000000,726000000,1402000000,2928000000,8498000000,0.1489231201,5096000000,0.0893048035,-928000000,4168000000,0.0730420763,1019000000,3149000000,0.0551846205,9.58,9.45,333200000,333200000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,UAL,USD,0000100517,2024-02-29,2024-02-29 16:30:18,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/100517/000010051724000027/0000100517-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051724000027/ual-20231231.htm,income_statement,53717000000,38518000000,15199000000,0.2829458086,0,0,1977000000,1977000000,9011000000,10988000000,49506000000,827000000,1774000000,2671000000,7832000000,0.145801143,4211000000,0.0783923153,-824000000,3387000000,0.0630526649,769000000,2618000000,0.0487368989,7.99,7.89,331812000,331900000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,UAL,USD,0000100517,2023-02-16,2023-02-16 17:27:38,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/100517/000010051723000048/0000100517-23-000048-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051723000048/ual-20221231.htm,income_statement,44955000000,34315000000,10640000000,0.2366811256,0,0,1535000000,1535000000,6768000000,8303000000,42618000000,298000000,1673000000,2456000000,5119000000,0.113869425,2337000000,0.0519853187,-1347000000,990000000,0.022022022,253000000,737000000,0.0163941719,2.26,2.23,330100000,330100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,UAL,USD,0000100517,2022-02-18,2022-02-18 16:16:13,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/100517/000010051722000009/0000100517-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051722000009/ual-20211231.htm,income_statement,24634000000,23913000000,721000000,0.0292684907,0,0,677000000,677000000,1066000000,1743000000,25656000000,36000000,1577000000,2485000000,1505000000,0.0610944223,-1022000000,-0.0414873752,-1535000000,-2557000000,-0.1037996265,-593000000,-1964000000,-0.0797272063,-6.1,-6.1,321900000,321900000,,,,,,,,,,,,,,,,,,,,,,,,,,,
