date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-01-31,URBN,USD,0000912615,2025-04-01,2025-04-01 16:10:25,2025,FY,290481000,319949000,610430000,74014000,621146000,187206000,1492796000,2273743000,0,0,0,410208000,0,342733000,3026684000,0,4519480000,295767000,227149000,64036000,75404000,413323000,1075679000,871209000,0,0,101088000,972297000,0,1098358000,2047976000,0,9000,2503068000,-46640000,15067000,2471504000,2471504000,4519480000,0,4519480000,730157000,1098358000,807877000,https://www.sec.gov/Archives/edgar/data/912615/000095017025048506/0000950170-25-048506-index.htm,https://www.sec.gov/Archives/edgar/data/912615/000095017025048506/urbn-20250131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,URBN,USD,0000912615,2024-04-01,2024-04-01 16:10:45,2024,FY,178321000,286744000,465065000,67008000,550242000,200188000,1282503000,2206937000,0,0,0,314152000,0,307617000,2828706000,0,4111209000,253342000,226645000,36611000,69187000,408420000,994205000,851853000,0,0,152611000,1004464000,0,1078498000,1998669000,0,9000,2113735000,-39147000,37943000,2112540000,2112540000,4111209000,0,4111209000,600896000,1078498000,900177000,https://www.sec.gov/Archives/edgar/data/912615/000095017024039320/0000950170-24-039320-index.htm,https://www.sec.gov/Archives/edgar/data/912615/000095017024039320/urbn-20240131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,URBN,USD,0000912615,2023-04-03,2023-04-03 16:25:16,2023,FY,201260000,181378000,382638000,70339000,587510000,197232000,1237719000,2147171000,0,0,0,102844000,195178000,0,2445193000,0,3682912000,257620000,232672000,33857000,65697000,300528000,890374000,884696000,0,0,115159000,999855000,0,1117368000,1890229000,0,9000,1826061000,-48635000,15248000,1792683000,1792683000,3682912000,0,3682912000,284222000,1117368000,916108000,https://www.sec.gov/Archives/edgar/data/912615/000095017023011597/0000950170-23-011597-index.htm,https://www.sec.gov/Archives/edgar/data/912615/000095017023011597/urbn-20230131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,URBN,USD,0000912615,2022-04-01,2022-04-01 16:11:03,2022,FY,206575000,239420000,445995000,63760000,569699000,206293000,1285747000,2145340000,0,0,0,223557000,136703000,0,2505600000,0,3791347000,304246000,236315000,35977000,58147000,346788000,981473000,951080000,0,0,113054000,1064134000,0,1187395000,2045607000,0,10000,1770560000,-24830000,0,1745740000,1745740000,3791347000,0,3791347000,462977000,1187395000,980820000,https://www.sec.gov/Archives/edgar/data/912615/000156459022013232/0001564590-22-013232-index.htm,https://www.sec.gov/Archives/edgar/data/912615/000156459022013232/urbn-10k_20220131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,URBN,USD,0000912615,2021-04-01,2021-04-01 16:17:15,2021,FY,395635000,174695000,570330000,89952000,389618000,173432000,1223332000,2082184000,0,0,0,123662000,117167000,0,2323013000,0,3546345000,237386000,254703000,22417000,48171000,343455000,906132000,1074009000,0,0,88846000,1162855000,0,1328712000,2068987000,0,10000,1475108000,-17120000,19360000,1477358000,1477358000,3546345000,0,3546345000,298357000,1328712000,933077000,https://www.sec.gov/Archives/edgar/data/912615/000156459021017306/0001564590-21-017306-index.htm,https://www.sec.gov/Archives/edgar/data/912615/000156459021017306/urbn-10k_20210131.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,URBN,USD,0000912615,2025-04-01,2025-04-01 16:10:25,2025,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/912615/000095017025048506/0000950170-25-048506-index.htm,https://www.sec.gov/Archives/edgar/data/912615/000095017025048506/urbn-20250131.htm,income_statement,5550666000,3623996000,1926670000,0.347106095,0,1000926000,451980000,1452906000,0,1452906000,5076902000,37064000,6069000,115425000,621666000,0.1119984521,473764000,0.0853526406,26408000,500172000,0.0901102678,97710000,402462000,0.0725069748,4.34,4.26,92684000,94448000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,URBN,USD,0000912615,2024-04-01,2024-04-01 16:10:45,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/912615/000095017024039320/0000950170-24-039320-index.htm,https://www.sec.gov/Archives/edgar/data/912615/000095017024039320/urbn-20240131.htm,income_statement,5153237000,3425958000,1727279000,0.3351833032,0,0,0,1339205000,0,1339205000,4765163000,23631000,7662000,102487000,491756000,0.0954266221,388074000,0.0753068411,-6467000,381607000,0.0740519017,93933000,287674000,0.0558239413,3.1,3.05,92697751,94327785,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,URBN,USD,0000912615,2023-04-03,2023-04-03 16:25:16,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/912615/000095017023011597/0000950170-23-011597-index.htm,https://www.sec.gov/Archives/edgar/data/912615/000095017023011597/urbn-20230131.htm,income_statement,4795244000,3368028000,1427216000,0.2976315699,0,0,0,1200593000,0,1200593000,4568621000,2041000,1315000,102339000,324933000,0.0677615154,226623000,0.0472599517,-5344000,221279000,0.0461455142,61580000,159699000,0.0333036233,1.71,1.7,93199874,94144062,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,URBN,USD,0000912615,2022-04-01,2022-04-01 16:11:03,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/912615/000156459022013232/0001564590-22-013232-index.htm,https://www.sec.gov/Archives/edgar/data/912615/000156459022013232/urbn-10k_20220131.htm,income_statement,4548763000,3054813000,1493950000,0.328429949,0,0,0,1085384000,0,1085384000,4140197000,2343000,1104000,105672000,511407000,0.1124277084,408566000,0.0898191442,-3935000,404631000,0.0889540739,94015000,310616000,0.0682858175,3.17,3.13,98022583,99268705,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,URBN,USD,0000912615,2021-04-01,2021-04-01 16:17:15,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/912615/000156459021017306/0001564590-21-017306-index.htm,https://www.sec.gov/Archives/edgar/data/912615/000156459021017306/urbn-10k_20210131.htm,income_statement,3449749000,2587843000,861906000,0.2498460033,0,0,0,857934000,0,857934000,3445777000,3119000,3405000,103771000,110689000,0.0320861025,3972000,0.0011513881,-459000,3513000,0.001018335,2277000,1236000,0.0003582869,0.0126,0.0126,97817651,98522776,,,,,,,,,,,,,,,,,,,,,,,,,,,
