date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,VIK,USD,0001745201,2025-03-11,2025-03-11 09:05:31,2024,FY,2342372000,0,2342372000,239018000,91473000,543676000,3216539000,6659469000,0,61059000,61059000,12730000,55428000,115460000,6904146000,0,10120685000,236382000,498710000,27869000,4061344000,396260000,5220565000,5073753000,0,4697000,40647000,5119097000,0,236538000,10339662000,0,4479000,-5288833000,177221000,4884404000,-222729000,-218977000,10120685000,3752000,10120685000,12730000,5572463000,3230091000,https://www.sec.gov/Archives/edgar/data/1745201/000095017025036852/0000950170-25-036852-index.htm,https://www.sec.gov/Archives/edgar/data/1745201/000095017025036852/vik-20241231.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,VIK,USD,0001745201,2023-12-31,2023-12-30 19:00:00,2023,FY,1534211000,55288000,1589499000,357070000,54602000,351416000,2352587000,5891024000,0,62125000,62125000,10473000,42853000,136855000,6143330000,0,8495917000,244581000,277690000,18250000,3486579000,336791000,4363891000,5271231000,0,4082000,4206592000,9481905000,0,252626000,13845796000,0,2253000,-5503218000,0,147362000,-5353603000,-5349879000,8495917000,3724000,8495917000,65761000,5548921000,4014710000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,VIK,USD,0001745201,2022-12-31,2022-12-30 19:00:00,2022,FY,1253140000,945000,1254085000,577782000,45378000,288308000,2164608000,5466364000,7800000,58095000,65895000,6497000,16232000,137859000,5692847000,0,7857455000,194893000,274552000,14899000,3319178000,296958000,4100480000,5176999000,0,5263000,2068130000,7250392000,0,262410000,11350872000,0,2253000,-3594507000,0,95575000,-3496679000,-3493417000,7857455000,3262000,7857455000,7442000,5451551000,4198411000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,VIK,USD,0001745201,2021-12-31,2021-12-30 19:00:00,2021,FY,1812773000,100924000,1913697000,725290000,32696000,239146000,2910829000,4565200000,7800000,72566000,80366000,7164000,20472000,103870000,4777072000,0,7687901000,108158000,222554000,11938000,3486957000,212994000,4042601000,4624790000,0,4037000,2901133000,7529960000,0,98241000,11572561000,0,86000,-3946858000,0,59713000,-3887059000,-3884660000,7687901000,2399000,7687901000,108088000,4847344000,3034571000,,,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,VIK,USD,0001745201,2025-03-11,2025-03-11 09:05:31,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1745201/000095017025036852/0000950170-25-036852-index.htm,https://www.sec.gov/Archives/edgar/data/1745201/000095017025036852/vik-20241231.htm,income_statement,5333882000,3374925000,1958957000,0.3672666549,0,0,0,883889000,0,883889000,4258814000,69374000,380486000,260844000,811164000,0.152077605,1075068000,0.2015545151,-905234000,169834000,0.0318405994,16857000,152331000,0.0285591245,0.36,0.3,364015000,431604000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,VIK,USD,0001745201,2023-12-31,2023-12-30 19:00:00,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,4710493000,3105503000,1604990000,0.3407265439,0,0,0,789040000,0,789040000,3894543000,48027000,479947000,253719000,-1109791000,-0.2355997557,815950000,0.1732196609,-2659407000,-1843457000,-0.3913511813,6639000,-1850572000,-0.3928616389,-4.31,-4.31,431455024,431455024,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,VIK,USD,0001745201,2022-12-31,2022-12-30 19:00:00,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,3175979000,2428880000,747099000,0.235234238,0,0,0,684010000,0,684010000,3112890000,14044000,456637000,276513000,1140570000,0.3591239111,63089000,0.0198644261,344331000,407420000,0.1282817046,8902000,398563000,0.1254929582,0.92,0.92,431455024,431455024,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,VIK,USD,0001745201,2021-12-31,2021-12-30 19:00:00,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income_statement,625101000,916688000,-291587000,-0.4664638194,0,0,0,462162000,0,462162000,1378850000,1929000,397927000,204407000,-1504878000,-2.4074157616,-753749000,-1.2058035421,-1353463000,-2107212000,-3.3709944473,5030000,-2111994000,-3.3786444111,-4.9,-4.9,431455024,431455024,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,VIK,USD,0001745201,2025-03-11,2025-03-11 09:05:31,2024,FY,,,,,-36554000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1745201/000095017025036852/0000950170-25-036852-index.htm,https://www.sec.gov/Archives/edgar/data/1745201/000095017025036852/vik-20241231.htm,cash_flow,,,,,,,,,,,,,,260844000,,,,,,,,,152977000,,,,,,0,14111000,763134000,0,0,799688000,890943000,2082009000,-917424000,-8500000,0,0,72213000,-853711000,61529000,243927000,0,-18949000,-534410000,-247903000,-4436000,975959000,2489672000,1513713000,2082009000,-917424000,1164585000
2023-12-31,VIK,USD,0001745201,2023-12-31,2023-12-30 19:00:00,2023,FY,,,,,-9224000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cash_flow,,,,,,,,,,,,,,251311000,,,,,,,,,-1859077000,,,,,,0,17909000,299343000,-2420000,0,310987000,2661845000,1371331000,-676335000,0,0,0,42108000,-634227000,84744000,0,0,-49634000,-514761000,-479651000,3120000,260573000,1513713000,1253140000,1371331000,-676335000,694996000
