date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-03-31,VSAT,USD,0000797721,2025-05-27,2025-05-23 17:33:10,2024,FY,1612105000,0,1612105000,709552000,293943000,272343000,2887943000,7822154000,1622132000,2654462000,4276594000,0,160452000,301641000,12560841000,0,15448784000,264300000,569135000,0,294034000,549185000,1676654000,6946417000,786710000,1069717000,324726000,9127570000,0,479443000,10804224000,0,13000,-325530000,-46911000,4926259000,4553831000,4644560000,15448784000,90729000,15448784000,0,7515552000,5903447000,https://www.sec.gov/Archives/edgar/data/797721/000095017025077138/0000950170-25-077138-index.htm,https://www.sec.gov/Archives/edgar/data//000095017025077138/vsat-20250331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,VSAT,USD,0000797721,2024-05-29,2024-05-29 16:53:45,2023,FY,1901033000,0,1901033000,939710000,317878000,320283000,3478904000,7950283000,1621763000,2897599000,4519362000,353132000,163590000,-135907000,12850460000,0,16329364000,287206000,129615000,48538000,260264000,570258000,1295881000,7508879000,896402000,1228270000,327428000,9960979000,0,451205000,11256860000,0,13000,249432000,-21268000,4797253000,5025430000,5072504000,16329364000,47074000,16329364000,353132000,7638494000,5737461000,https://www.sec.gov/Archives/edgar/data/797721/000095017024066031/0000950170-24-066031-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000095017024066031/vsat-20240331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,VSAT,USD,0000797721,2023-05-22,2023-05-22 16:15:09,2022,FY,1348854000,0,1348854000,419934000,268563000,207161000,2244512000,4660040000,158542000,497292000,655834000,0,23724000,146227000,5485825000,0,7730337000,271548000,88578000,113905000,132187000,350501000,956719000,2694507000,84747000,85989000,47806000,2913049000,0,323645000,3869768000,0,8000,1318336000,-34713000,2540679000,3824310000,3860569000,7730337000,36259000,7730337000,0,2783085000,1434231000,https://www.sec.gov/Archives/edgar/data/797721/000095017023023444/0000950170-23-023444-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000095017023023444/vsat-20230331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,VSAT,USD,0000797721,2022-05-31,2022-05-27 21:49:57,2021,FY,310459000,0,310459000,312172000,197864000,338977000,1159472000,4048330000,168710000,515402000,684112000,840000,304642000,191950000,5229874000,0,6389346000,200673000,84899000,7872000,131623000,345354000,770421000,2767394000,88983000,16869000,63085000,2936331000,0,366166000,3706752000,0,7000,233530000,-21621000,2421950000,2633866000,2682594000,6389346000,48728000,6389346000,840000,2852293000,2541834000,https://www.sec.gov/Archives/edgar/data/797721/000095017022010881/0000950170-22-010881-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000095017022010881/vsat-20220331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,VSAT,USD,0000797721,2021-05-28,2021-05-28 13:50:37,2020,FY,295949000,0,295949000,238652000,336672000,119960000,991233000,3390939000,122300000,299557000,421857000,176938000,273288000,95212000,4358234000,0,5349467000,145134000,79368000,0,216594000,267341000,708437000,2116446000,84654000,0,52696000,2253796000,0,362658000,2962233000,0,7000,249064000,9803000,2092595000,2351469000,2387234000,5349467000,35765000,5349467000,176938000,2195814000,1899865000,https://www.sec.gov/Archives/edgar/data/797721/000156459021030718/0001564590-21-030718-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000156459021030718/vsat-10k_20210331.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,VSAT,USD,0000797721,2025-05-27,2025-05-23 17:33:10,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/797721/000095017025077138/0000950170-25-077138-index.htm,https://www.sec.gov/Archives/edgar/data//000095017025077138/vsat-20250331.htm,income_statement,4519571000,3029633000,1489938000,0.3296635898,142394000,992491000,19200000,1011691000,433333000,1587418000,4617051000,83920000,421944000,1360807000,1237457000,0.2737996593,-97480000,-0.0215684188,-434586000,-532066000,-0.1177248903,-941000,-574962000,-0.1272160566,-4.42,-4.48,130210000,130210000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,VSAT,USD,0000797721,2024-05-29,2024-05-29 16:53:45,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/797721/000095017024066031/0000950170-24-066031-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000095017024066031/vsat-20240331.htm,income_statement,4283758000,2902096000,1381662000,0.3225350265,150653000,0,0,1893650000,227165000,2271468000,5173564000,96258000,400398000,1157524000,363976000,0.0849665177,-889806000,-0.2077162155,-297165000,-1186971000,-0.2770863807,-139474000,-1068904000,-0.2495248331,-8.49,-9.12,125849088,117189000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,VSAT,USD,0000797721,2023-05-22,2023-05-22 16:15:09,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/797721/000095017023023444/0000950170-23-023444-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000095017023023444/vsat-20230331.htm,income_statement,2556158000,1834754000,721404000,0.282221991,183323000,636326000,22800000,659126000,34911000,877360000,2712114000,19512000,26809000,493571000,397115000,0.1553562026,-155956000,-0.061011878,-6265000,-162221000,-0.0634628219,49418000,1084806000,0.4243892592,-7.6,-7.6,75915000,75915000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,VSAT,USD,0000797721,2022-05-31,2022-05-27 21:49:57,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/797721/000095017022010881/0000950170-22-010881-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000095017022010881/vsat-20220331.htm,income_statement,2417179000,1711275000,705904000,0.2920362952,205974000,584242000,23100000,607342000,5729000,819045000,2530320000,504000,29391000,483341000,403700000,0.1670128691,-113141000,-0.0468070424,-25050000,-138191000,-0.0571703626,-36517000,-15534000,-0.0064264997,-0.21,-0.21,73397000,73397000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,VSAT,USD,0000797721,2021-05-28,2021-05-28 13:50:37,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/797721/000156459021030718/0001564590-21-030718-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000156459021030718/vsat-10k_20210331.htm,income_statement,1920878000,1355689000,565189000,0.2942347197,164701000,485159000,12000000,497159000,-50718000,611142000,1966831000,440000,32687000,340902000,294949000,0.1535490541,-45953000,-0.0239229144,-31691000,-77644000,-0.0404210991,-11194000,3691000,0.0019215171,0.0556,0.0551,66444000,67019999,,,,,,,,,,,,,,,,,,,,,,,,,,,
