date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,statement_type,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,WPM,USD,0001323404,2025-03-31,2025-03-31 17:09:02,2024,FY,818166000,0,818166000,6217000,0,3697000,828080000,6388271000,0,4617000,4617000,139396000,0,64093000,6596377000,0,7424457000,13553000,262000,2127000,0,13562000,29504000,4909000,0,0,130665000,135574000,0,5171000,165078000,0,3798108000,3524774000,-63503000,0,7259379000,7259379000,7424457000,0,7424457000,139396000,5171000,-812995000,https://www.sec.gov/Archives/edgar/data/1323404/000119312525068900/0001193125-25-068900-index.htm,https://www.sec.gov/Archives/edgar/data/1323404/000119312525068900/d893628d40f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,WPM,USD,0001323404,2024-03-28,2024-03-28 16:56:55,2023,FY,546527000,0,546527000,9335000,1372000,10177000,567411000,6130079000,0,6396000,6396000,260132000,0,67167000,6463774000,0,7031185000,13458000,604000,0,0,12013000,26075000,5625000,0,0,13969000,19594000,0,6229000,45669000,0,3777323000,3248284000,-40091000,0,6985516000,6985516000,7031185000,0,7031185000,260132000,6229000,-540298000,https://www.sec.gov/Archives/edgar/data/1323404/000119312524080810/0001193125-24-080810-index.htm,https://www.sec.gov/Archives/edgar/data/1323404/000119312524080810/d741247d40f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,WPM,USD,0001323404,2023-03-31,2023-03-31 16:45:17,2022,FY,696089000,0,696089000,9158000,10530000,4316000,720093000,5711229000,0,2270000,2270000,262701000,0,63613000,6039813000,0,6759906000,12570000,818000,2763000,0,14566000,30717000,1152000,0,0,10362000,11514000,0,1970000,42231000,0,3752662000,2898466000,66547000,0,6717675000,6717675000,6759906000,0,6759906000,262701000,1970000,-694119000,https://www.sec.gov/Archives/edgar/data/1323404/000119312523088220/0001193125-23-088220-index.htm,https://www.sec.gov/Archives/edgar/data/1323404/000119312523088220/d261928d40f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,WPM,USD,0001323404,2022-03-31,2022-03-31 16:52:13,2021,FY,226045000,0,226045000,11204000,8712000,3763000,249724000,5911306000,0,2652000,2652000,68083000,0,64386000,6046427000,0,6296151000,13939000,813000,132000,0,14807000,29691000,2060000,0,0,14283000,16343000,0,2873000,46034000,0,3698998000,2504083000,47036000,0,6250117000,6250117000,6296151000,0,6296151000,68083000,2873000,-223172000,https://www.sec.gov/Archives/edgar/data/1323404/000119312522091967/0001193125-22-091967-index.htm,https://www.sec.gov/Archives/edgar/data/1323404/000119312522091967/d639516d40f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,WPM,USD,0001323404,2021-03-31,2021-03-31 16:59:46,2020,FY,192683000,0,192683000,5429000,0,3719000,201831000,5494680000,0,3036000,3036000,202925000,0,54800000,5755441000,0,5957272000,13023000,773000,0,0,17373000,31169000,197864000,0,0,13668000,211532000,0,3637000,242701000,0,3646291000,1941398000,126881999,0,5714571000,5714571000,5957272000,0,5957272000,202925000,198637000,5954000,https://www.sec.gov/Archives/edgar/data/1323404/000119312521102453/0001193125-21-102453-index.htm,https://www.sec.gov/Archives/edgar/data/1323404/000119312521102453/d91774d40f.htm,balance_sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,WPM,USD,0001323404,2025-03-31,2025-03-31 17:09:02,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1323404/000119312525068900/0001193125-25-068900-index.htm,https://www.sec.gov/Archives/edgar/data/1323404/000119312525068900/d893628d40f.htm,income_statement,1284639000,482052000,802587000,0.6247568383,0,61570000,0,61570000,120185000,181755000,663807000,24826000,5549000,248303000,892931000,0.6950832101,620832000,0.4832735111,23512000,644344000,0.5015759291,115204000,529140000,0.4118978172,1.17,1.17,453460000,454119000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,WPM,USD,0001323404,2024-03-28,2024-03-28 16:56:55,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1323404/000119312524080810/0001193125-24-080810-index.htm,https://www.sec.gov/Archives/edgar/data/1323404/000119312524080810/d741247d40f.htm,income_statement,1016045000,442605000,573440000,0.5643844515,0,58367000,0,58367000,9803000,68170000,510775000,34862000,5510000,215926000,755191000,0.7432653081,505270000,0.4972909664,33788000,539058000,0.5305453991,1414000,537644000,0.5291537284,1.19,1.19,452814000,453463000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,WPM,USD,0001323404,2023-03-31,2023-03-31 16:45:17,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1323404/000119312523088220/0001193125-23-088220-index.htm,https://www.sec.gov/Archives/edgar/data/1323404/000119312523088220/d261928d40f.htm,income_statement,1065053000,499573000,565480000,0.5309407137,0,53187000,0,53187000,389000,53576000,553149000,6070545,5364667,233539000,903265000,0.8480939446,511904000,0.4806371138,157731000,669635000,0.6287339691,509000,669126000,0.6282560586,1.42,1.42,451570000,452344000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,WPM,USD,0001323404,2022-03-31,2022-03-31 16:52:13,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1323404/000119312522091967/0001193125-22-091967-index.htm,https://www.sec.gov/Archives/edgar/data/1323404/000119312522091967/d639516d40f.htm,income_statement,1201665000,542740000,658925000,0.5483433403,0,52124000,0,52124000,-147856000,-95732000,447008000,238879,5765816,256685000,1011653000,0.8418760636,754657000,0.6280094702,-41000,754616000,0.6279753509,-269000,754885000,0.6281992069,1.66,1.66,450138000,451170000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,WPM,USD,0001323404,2021-03-31,2021-03-31 16:59:46,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1323404/000119312521102453/0001193125-21-102453-index.htm,https://www.sec.gov/Archives/edgar/data/1323404/000119312521102453/d91774d40f.htm,income_statement,1096224000,510652000,585572000,0.5341718481,0,58017000,0,58017000,7681000,65698000,576350000,229000,16715000,245779000,763474000,0.6964580232,519874000,0.4742406661,-14545000,505329000,0.4609723925,-2475000,507804000,0.4632301427,1.19,1.19,448694000,450070000,,,,,,,,,,,,,,,,,,,,,,,,,,,
