ticker,exchange,market_cap,initial_suitability,score,classification,liquidity,price,dcf,rsi,technical_score,option_exp,option_volume,option_iv,next_earnings_date,roi,seeking_alpha_ticker_id,created_at,updated_at
A,NYQ,31709153280.00,False,91,High-quality compounder,WEAK,110.9400,78.8167,42.51,27.00,2026-04-17,1,0.3849,2026-05-27,2.0000,2087,2026-02-23 17:47:45.779151+00:00,2026-03-19 14:40:54.646285+00:00
AA,NYQ,17507086336.00,False,61,Higher risk,,,,,,,,,,,,2026-02-23 17:47:47.525564+00:00,2026-03-16 16:13:30.876465+00:00
AAL,NMS,6896881152.00,False,29,Higher risk,,,,,,,,,,,,2026-02-23 17:47:49.097543+00:00,2026-03-16 16:13:34.234735+00:00
AAOI,NGM,7159393280.00,,31,Higher risk,,,,,,,,,,,,2026-03-16 16:13:34.058329+00:00,2026-03-16 16:13:34.058329+00:00
AAON,NMS,6631950336.00,False,76,Quality (selective),WEAK,77.9850,-10.6430,47.16,51.00,2026-04-17,3,0.7566,2026-04-29,3.2500,,2026-02-23 17:47:49.204093+00:00,2026-03-19 14:40:54.648284+00:00
AAPL,NMS,3719971471360.00,False,96,High-quality compounder,GOOD,250.2500,156.2131,57.51,57.00,2026-04-17,318,0.2816,2026-05-07,2.2400,,2026-02-23 17:47:43.359842+00:00,2026-03-19 14:40:59.456532+00:00
ABBV,NYQ,391755497472.00,False,89,High-quality compounder,WEAK,207.3000,191.2281,53.83,76.67,2026-04-17,6,0.3468,2026-04-24,2.3400,,2026-02-23 17:47:43.519607+00:00,2026-03-19 14:41:01.227253+00:00
ABCB,NYQ,5172993536.00,False,64,Higher risk,,,,,,,,,,,,2026-02-23 17:47:50.805665+00:00,2026-03-16 16:13:35.752241+00:00
ABEV,NYQ,45522878464.00,False,100,High-quality compounder,WEAK,2.7750,8.2565,55.93,60.00,2026-04-17,,,2026-05-14,,,2026-02-23 17:47:45.254410+00:00,2026-03-19 14:41:01.682076+00:00
ABNB,NMS,77076512768.00,False,91,High-quality compounder,WEAK,129.5050,159.2747,49.33,91.01,2026-04-17,2,0.4087,2026-05-07,2.9600,,2026-02-23 17:47:44.722403+00:00,2026-03-19 14:41:08.303503+00:00
ABT,NYQ,189025140736.00,False,91,High-quality compounder,WEAK,109.0050,120.9653,43.46,33.60,2026-04-17,,,2026-04-15,,,2026-02-23 17:47:43.815238+00:00,2026-03-19 14:41:04.924473+00:00
ABVX,NGM,9759934464.00,False,31,Higher risk,,,,,,,,,,,,2026-02-23 17:47:48.563564+00:00,2026-03-16 16:13:32.797613+00:00
ACA,NYQ,5197791744.00,False,65,Quality (selective),,,,,,,,,,,,2026-02-23 17:47:50.390272+00:00,2026-03-16 16:13:35.717180+00:00
ACGL,NMS,34195628032.00,False,93,High-quality compounder,WEAK,92.4700,1407.7475,51.96,54.00,2026-04-17,1,0.2830,2026-05-05,2.0000,,2026-02-23 17:47:45.723503+00:00,2026-03-19 14:41:06.939619+00:00
ACGLO,NMS,11772567552.00,False,93,High-quality compounder,,20.1400,1407.7475,40.36,39.20,,,,2026-04-29,,,2026-02-23 17:47:48.093892+00:00,2026-03-19 14:41:09.157886+00:00
ACI,NYQ,9486540800.00,False,49,Higher risk,,,,,,,,,,,,2026-02-23 17:47:48.634989+00:00,2026-03-16 16:13:32.906151+00:00
ACLX,NMS,6690090496.00,False,36,Higher risk,,,,,,,,,,,,2026-02-23 17:47:50.070510+00:00,2026-03-16 16:13:34.393352+00:00
ACM,NYQ,11602361344.00,False,71,Quality (selective),,,,,,,,,,,,2026-02-23 17:47:48.146317+00:00,2026-03-16 16:13:32.240538+00:00
ACN,NYQ,122688274432.00,False,92,High-quality compounder,WEAK,200.3900,265.3637,32.52,41.00,2026-04-17,16,0.4487,2026-03-19,3.4600,,2026-02-23 17:47:44.048767+00:00,2026-03-19 14:41:12.516726+00:00
ACT,NMS,5938998272.00,False,81,High-quality compounder,,40.4200,113.0014,63.60,60.00,2026-04-17,,,2026-04-29,,,2026-02-23 17:47:50.360347+00:00,2026-03-19 14:41:12.975881+00:00
ADBE,NMS,104981274624.00,True,96,High-quality compounder,WEAK,246.3200,445.9759,31.85,56.00,2026-04-17,299,0.3958,2026-06-11,2.4000,,2026-02-23 17:47:44.251100+00:00,2026-03-19 14:41:19.126824+00:00
ADC,NYQ,9657760768.00,,61,Higher risk,,,,,,,,,,,,2026-02-23 17:47:48.833370+00:00,2026-03-16 16:13:32.864568+00:00
ADI,NMS,152058511360.00,,85,High-quality compounder,WEAK,307.8800,267.7605,63.06,60.00,2026-04-17,3,0.3983,2026-05-28,2.1000,,2026-02-23 17:47:43.891262+00:00,2026-03-19 14:41:14.998275+00:00
ADM,NYQ,34333751296.00,,48,Higher risk,,,,,,,,,,,,2026-02-23 17:47:45.874807+00:00,2026-03-16 16:13:29.032525+00:00
ADP,NMS,84547985408.00,,100,High-quality compounder,WEAK,211.2600,388.5472,33.25,62.00,2026-04-17,,,2026-04-29,,,2026-02-23 17:47:44.523597+00:00,2026-03-19 14:41:18.492358+00:00
ADSK,NMS,53327540224.00,,92,High-quality compounder,WEAK,249.2400,247.9794,44.07,68.00,2026-04-17,4,0.3989,2026-05-21,2.7700,,2026-02-23 17:47:45.338551+00:00,2026-03-19 14:41:23.559225+00:00
ADT,NYQ,5375898624.00,,63,Higher risk,,,,,,,,,,,,2026-02-23 17:47:50.209324+00:00,2026-03-16 16:13:35.537931+00:00
AEE,NYQ,31081172992.00,,51,Higher risk,,,,,,,,,,,,2026-02-23 17:47:45.955399+00:00,2026-03-16 16:13:29.325609+00:00
AEG,NYQ,10491218944.00,,64,Higher risk,,,,,,,,,,,,2026-02-23 17:47:48.331031+00:00,2026-03-16 16:13:32.535796+00:00
